Status,ACCURACY,RUNTIME,recent_samples_size,n_samples,const,max_depth,threshold
Completed,0.57,21,5000,3416,10.0,20,0.999
Completed,0.59,10,5000,3330,10.0,11,0.001
Completed,0.52,4,1,946,0.001,1,0.999
Completed,0.54,10,5000,5000,10.0,13,0.001
Completed,0.57,24,1,191,0.001,1,0.999
Completed,0.53,8,1,5000,0.001,15,0.999
Completed,0.54,8,5000,5000,0.001,1,0.001
Completed,0.52,6,1,3686,10.0,14,0.999
Completed,0.52,6,1,3937,0.001,14,0.999
Completed,0.55,8,5000,3731,0.001,12,0.999
Completed,0.84,2911,1033,1,0.001,1,0.999
Completed,0.52,18,1,3502,10.0,20,0.999
Completed,0.84,6118,4814,1,0.001,1,0.999
Completed,0.56,9,5000,4130,10.0,13,0.001
Completed,0.56,7,5000,3622,10.0,9,0.999
Completed,0.53,24,4770,1007,0.001,1,0.999
Completed,0.56,11,5000,3118,0.001,20,0.999
Completed,0.6,12,2153,256,0.001,1,0.999
Completed,0.53,4,1,5000,0.001,7,0.999
Completed,0.6,16,3535,1514,10.0,1,0.999
Completed,0.55,5,1,370,0.001,1,0.001
Completed,0.58,11,3206,1571,0.001,1,0.999
Completed,0.54,9,3428,2337,10.0,1,0.999
Completed,0.59,24,4279,884,10.0,1,0.001
Completed,0.54,13,3674,2320,10.0,1,0.408
Completed,0.54,26,1,726,0.001,20,0.001
Completed,0.57,7,3488,3018,10.0,1,0.001
Completed,0.56,13,727,860,0.001,1,0.001
Completed,0.57,17,3736,1653,0.001,20,0.999
Completed,0.54,8,1,2179,0.001,18,0.001
Completed,0.57,13,3714,3124,10.0,20,0.001
Completed,0.63,22,3604,1482,10.0,1,0.62
Completed,0.79,30,1,1,0.001,1,0.713
Completed,0.55,9,837,3456,0.001,20,0.492
Completed,0.83,3403,3351,1,0.001,20,0.999
Completed,0.59,15,3436,1277,10.0,1,0.999
Completed,0.59,6,2918,3150,0.001,1,0.001
Completed,0.56,10,3403,3656,0.001,20,0.095
Completed,0.54,20,3396,1931,10.0,20,0.999
Completed,0.56,7,2277,2082,0.001,1,0.999
Completed,0.62,44,3172,303,0.001,1,0.999
Completed,0.55,10,3210,1826,10.0,1,0.999
Completed,0.53,9,5000,3802,0.001,15,0.512
Completed,0.79,28,1,1,0.001,1,0.386
Completed,0.83,3288,3344,1,10.0,1,0.999
Completed,0.79,25,1,1,0.001,20,0.056
Completed,0.57,20,3454,3482,10.0,20,0.397
Completed,0.52,4,1,2817,0.001,1,0.654
Completed,0.6,24,4583,1394,10.0,1,0.001
Completed,0.52,4,1,1289,10.0,1,0.001
Completed,0.52,8,1,3040,0.001,20,0.001
Completed,0.57,16,5000,1750,10.0,1,0.001
Completed,0.79,25,1,1,10.0,1,0.999
Completed,0.53,5,1,1490,0.001,1,0.001
Completed,0.53,5,1,5000,10.0,1,0.001
Completed,0.55,19,5000,1209,0.001,1,0.001
Completed,0.54,4,1,1682,10.0,1,0.001
Completed,0.55,5,1,306,0.001,1,0.999
Completed,0.55,12,5000,4405,0.001,20,0.001
Completed,0.79,41,1,1,4.403,1,0.999
Completed,0.55,8,5000,4264,0.001,1,0.001
Completed,0.56,12,5000,2797,0.001,7,0.001
Completed,0.57,9,5000,3444,0.001,10,0.001
Completed,0.57,21,5000,1947,0.001,20,0.001
Completed,0.59,23,5000,1481,0.001,1,0.001
Completed,0.56,22,5000,2845,10.0,20,0.001
Completed,0.56,16,5000,2902,10.0,13,0.999
Completed,0.54,13,5000,5000,10.0,20,0.82
Completed,0.56,146,1,128,0.001,1,0.108
Completed,0.54,100,1,101,0.001,1,0.999
Completed,0.56,12,5000,2512,0.001,1,0.999
Completed,0.56,7,5000,4128,10.0,1,0.999
Completed,0.52,71,1,4590,0.001,12,0.001
Completed,0.58,5,1,222,10.0,1,0.999
Completed,0.55,16,5000,1817,0.001,1,0.674
Completed,0.52,4,1,3011,0.001,7,0.001
Completed,0.52,5,1,4474,10.0,10,0.999
Completed,0.54,4,1,1693,10.0,1,0.999
Completed,0.53,36,5000,4613,0.001,10,0.001
Completed,0.56,17,2700,597,10.0,1,0.001
Completed,0.52,8,1,2092,10.0,20,0.999
Completed,0.56,11,5000,2505,0.001,1,0.001
Completed,0.52,4,1,4272,10.0,1,0.001
Completed,0.52,8,1367,2018,10.0,1,0.001
Completed,0.57,10,1587,3135,10.0,20,0.999
Completed,0.52,8,1,2516,0.001,20,0.001
Completed,0.56,11,5000,4121,0.001,20,0.999
Completed,0.46,4,1,508,7.868,1,0.001
Completed,0.52,4,1,2089,0.001,1,0.001
Completed,0.56,33,5000,656,10.0,1,0.001
Completed,0.52,4,1,4253,0.001,1,0.999
Completed,0.53,4,1,2196,0.001,1,0.999
Completed,0.59,8,5000,3333,0.001,11,0.999
Completed,0.52,7,1,4227,0.001,15,0.001
Completed,0.57,11,5000,4098,0.001,20,0.001
Completed,0.52,11,5000,2217,10.0,1,0.999
Completed,0.56,16,5000,2808,0.001,20,0.999
Completed,0.52,8,1,2447,10.0,20,0.001
Completed,0.61,15,5000,1664,0.001,1,0.001
Completed,0.59,16,1544,1395,0.001,1,0.999
Completed,0.52,8,1,2580,0.001,20,0.999
Completed,0.57,11,5000,2093,0.001,1,0.001
Completed,0.56,8,5000,3016,0.001,1,0.999
Completed,0.53,9,1,2810,10.0,20,0.999
Completed,0.56,8,5000,3201,10.0,5,0.999
Completed,0.52,9,1,4407,0.001,20,0.001
Completed,0.52,4,1,991,10.0,1,0.001
Completed,0.61,15,5000,1598,10.0,1,0.999
Completed,0.53,9,1,4249,10.0,20,0.001
Completed,0.6,25,4680,1342,0.001,20,0.999
Completed,0.56,9,4728,3006,0.001,1,0.999
Completed,0.71,4675,4620,77,0.001,20,0.999
Completed,0.84,2730,3059,1,0.001,20,0.999
Completed,0.83,1710,2575,1,3.953,20,0.999
Completed,0.84,5433,1986,1,1.014,1,0.999
