Status,ACCURACY,RUNTIME,recent_samples_size,n_samples,const,max_depth,threshold
Completed,0.59,66,4424,957,7.464,1,0.999
Completed,0.53,40,2962,951,0.001,1,0.999
Completed,0.6,149,4295,842,0.001,5,0.001
Completed,0.56,51,5000,1496,1.226,2,0.999
Completed,0.56,45,5000,1488,6.456,1,0.999
Completed,0.6,392,4204,934,7.96,5,0.001
Completed,0.56,49,5000,1320,0.001,5,0.001
Completed,0.62,250,1293,218,0.001,1,0.001
Completed,0.56,46,4907,1477,0.633,4,0.001
Completed,0.6,109,5000,970,0.001,8,0.999
Completed,0.61,266,3674,187,0.001,1,0.999
Completed,0.55,39,3136,965,10.0,1,0.999
Completed,0.59,307,4833,983,8.688,5,0.798
Completed,0.55,48,5000,1525,0.001,1,0.001
Completed,0.58,3766,4532,1174,7.046,20,0.125
Completed,0.6,65,4240,953,3.632,3,0.999
Completed,0.51,2114,2893,1179,8.035,20,0.917
Completed,0.61,87,2976,319,0.001,3,0.999
Completed,0.58,6919,4689,1168,9.083,20,0.999
Completed,0.58,2028,4859,1179,5.09,19,0.001
Completed,0.55,73,5000,1636,0.001,13,0.168
Completed,0.56,4312,3539,1172,7.629,20,0.001
Completed,0.61,82,5000,739,10.0,1,0.999
Completed,0.43,5966,2391,1187,9.715,19,0.999
Completed,0.6,69,5000,1012,4.743,3,0.001
Completed,0.6,74,5000,879,4.897,3,0.999
Completed,0.55,51,5000,1736,5.526,1,0.999
Completed,0.59,80,5000,1083,10.0,1,0.001
Completed,0.58,56,2622,419,0.001,3,0.999
Completed,0.59,3257,4691,1194,6.745,19,0.999
Completed,0.59,105,3970,929,0.001,11,0.999
Completed,0.56,57,2411,385,3.928,1,0.001
Completed,0.61,118,5000,498,9.206,1,0.001
Completed,0.49,5099,2646,1187,5.647,19,0.001
Completed,0.59,71,5000,990,0.001,4,0.999
Completed,0.58,164,4255,1192,6.354,5,0.001
Completed,0.59,1495,5000,1141,5.362,19,0.001
Completed,0.55,604,2746,612,10.0,5,0.999
Completed,0.54,40,5000,1764,1.997,1,0.001
Completed,0.56,7069,2757,1,10.0,18,0.999
Completed,0.6,1251,4213,553,3.956,6,0.999
Completed,0.61,112,5000,462,5.579,1,0.999
Completed,0.61,116,1412,332,0.001,1,0.999
Completed,0.59,99,1832,1046,10.0,3,0.001
Completed,0.6,81,1799,659,10.0,1,0.999
Completed,0.61,127,3146,289,0.001,1,0.999
Completed,0.61,220,4333,284,0.001,1,0.999
Completed,0.55,51,1858,1314,10.0,3,0.001
Completed,0.62,204,3371,286,4.721,1,0.001
Completed,0.61,103,856,332,10.0,1,0.999
Completed,0.43,213,4632,4594,2.329,1,0.001
Completed,0.61,185,3940,312,10.0,1,0.999
Completed,0.48,40,1909,1907,10.0,1,0.001
Completed,0.61,255,1764,303,10.0,1,0.391
Completed,0.61,263,3077,247,4.661,1,0.001
Completed,0.43,22,4647,4687,0.001,1,0.001
Completed,0.61,79,885,326,0.001,1,0.999
Completed,0.43,105,4972,4692,0.705,1,0.001
Completed,0.56,56,809,627,10.0,1,0.001
Completed,0.6,101,1791,743,10.0,3,0.999
Completed,0.61,171,3382,250,8.375,1,0.999
Completed,0.61,159,3193,394,10.0,1,0.001
Completed,0.62,192,1740,326,5.376,1,0.001
Completed,0.55,53,1881,1445,10.0,2,0.001
Completed,0.61,102,3965,677,10.0,2,0.001
Completed,0.61,126,3423,300,0.001,1,0.999
Completed,0.62,224,3966,274,2.748,1,0.001
Completed,0.5,23,1928,3433,1.015,1,0.001
Completed,0.61,239,2951,263,10.0,1,0.001
Completed,0.61,99,1685,559,10.0,1,0.999
Completed,0.6,150,1822,822,10.0,3,0.001
Completed,0.49,29,874,1495,10.0,1,0.001
Completed,0.44,43,3792,4410,9.887,1,0.001
Completed,0.6,88,1755,560,0.001,4,0.999
Completed,0.42,70,3807,5000,0.001,13,0.001
Completed,0.53,70,3791,1672,0.001,18,0.001
Completed,0.41,20,1652,4304,8.562,1,0.001
Completed,0.6,81,1316,583,0.001,3,0.001
Completed,0.6,74,1032,504,0.001,3,0.999
Completed,0.5,37,4314,2605,1.929,1,0.851
Completed,0.42,2069,1307,4104,1.88,4,0.018
Completed,0.6,77,1791,798,0.001,1,0.001
Completed,0.42,19,3502,4323,8.792,1,0.001
Completed,0.48,27,1347,2574,0.001,1,0.999
Completed,0.43,99,4429,4967,0.001,15,0.001
Completed,0.4,357,1177,3943,0.389,6,0.001
Completed,0.38,42,1124,4891,0.001,12,0.001
Completed,0.44,23,1287,3245,1.684,1,0.999
Completed,0.43,2037,1459,4306,0.001,7,0.001
Completed,0.39,51,1042,3906,0.001,12,0.999
Completed,0.43,2794,1678,4251,1.124,5,0.001
Completed,0.35,1671,278,4150,2.505,3,0.001
Completed,0.56,158,1843,1348,3.903,4,0.999
Completed,0.32,13,2024,3739,0.001,8,0.999
Completed,0.55,214,4200,1673,9.022,7,0.001
Completed,0.55,45,4146,1698,10.0,1,0.001
Completed,0.56,82,4481,1381,4.663,3,0.001
Completed,0.5,51,4153,2029,2.996,1,0.001
Completed,0.59,95,4678,1158,0.001,17,0.999
Completed,0.54,47,1887,1674,0.001,1,0.999
Completed,0.5,33,1920,2043,0.001,2,0.999
Completed,0.51,128,4118,1837,10.0,4,0.999
Completed,0.31,9,2051,3852,0.001,1,0.001
Completed,0.47,31,4145,3767,0.001,9,0.999
Completed,0.55,54,5000,1694,0.001,10,0.001
Completed,0.49,32,5000,2250,0.001,2,0.001
Completed,0.5,32,808,982,4.914,1,0.999
Completed,0.49,53,5000,1874,0.001,1,0.001
Completed,0.52,43,2718,957,0.001,8,0.999
Completed,0.5,32,5000,2049,0.001,4,0.001
Completed,0.47,109,2680,1056,6.119,5,0.999
