Status,ACCURACY,RUNTIME,recent_samples_size,n_samples,const,max_depth,threshold
Completed,0.58,2,4943,128,9.904,1,0.531
Completed,0.56,74,5000,214,0.001,20,0.302
Completed,0.56,11,4346,19,4.113,1,0.999
Completed,0.55,0,1,4248,10.0,20,0.999
Completed,0.57,46,5000,150,10.0,9,0.999
Completed,0.55,0,1,3001,10.0,7,0.001
Completed,0.56,8,5000,174,10.0,9,0.999
Completed,0.57,7,4871,116,10.0,12,0.978
Completed,0.57,3,5000,115,10.0,4,0.941
Completed,0.57,11,4973,158,10.0,10,0.999
Completed,0.57,5,4820,118,10.0,8,0.975
Completed,0.55,0,1,4231,10.0,1,0.999
Completed,0.57,5,5000,139,10.0,9,0.999
Completed,0.56,32,5000,262,0.001,15,0.1
Completed,0.56,26,5000,240,0.001,20,0.001
Completed,0.57,3,4662,162,8.774,1,0.516
Completed,0.56,43,5000,263,0.001,11,0.001
Completed,0.55,0,49,1757,0.162,20,0.903
Completed,0.57,10,4840,43,3.165,20,0.999
Completed,0.55,0,1,3032,10.0,5,0.999
Completed,0.55,0,3151,2959,10.0,12,0.001
Completed,0.57,11,4472,78,10.0,15,0.808
Completed,0.55,0,616,3645,0.001,1,0.999
Completed,0.57,4,5000,132,10.0,7,0.999
Completed,0.55,0,1,4219,0.001,10,0.894
Completed,0.57,5,5000,113,0.001,12,0.974
Completed,0.57,3,4688,87,0.001,1,0.389
Completed,0.55,0,1,3638,0.001,11,0.999
Completed,0.55,0,1,453,0.001,1,0.999
Completed,0.55,0,1,3014,10.0,3,0.001
Completed,0.57,4,4985,82,0.001,1,0.766
Completed,0.55,0,1,3635,0.001,20,0.999
Completed,0.55,1,5000,508,10.0,1,0.999
Completed,0.55,0,5000,4230,0.001,3,0.001
Completed,0.58,5,5000,105,10.0,1,0.001
Completed,0.57,3,3554,81,0.001,1,0.754
Completed,0.57,5,5000,85,0.001,6,0.999
Completed,0.57,4,5000,95,10.0,3,0.806
Completed,0.55,0,2560,2200,0.001,11,0.999
Completed,0.55,0,5000,2173,0.001,20,0.999
Completed,0.57,7,5000,81,10.0,14,0.999
Completed,0.55,0,5000,2168,0.001,1,0.999
Completed,0.57,4,5000,96,0.001,3,0.999
Completed,0.57,7,5000,83,0.001,16,0.999
Completed,0.56,2,3018,90,10.0,1,0.202
Completed,0.57,4,4459,96,0.001,4,0.999
Completed,0.57,3,3886,98,9.567,3,0.999
Completed,0.55,0,2168,4236,0.001,17,0.999
Completed,0.55,0,5000,4224,10.0,1,0.001
Completed,0.57,3,4991,106,10.0,1,0.281
