Status,ACCURACY,RUNTIME,recent_samples_size,n_samples,const,max_depth,threshold
Completed,0.71,1793,5000,1760,0.001,1,0.001
Completed,0.65,107,4448,5000,7.21,1,0.461
Completed,0.67,201,5000,3438,0.001,1,0.949
Completed,0.67,141,5000,3339,1.146,1,0.538
Completed,0.61,2345,126,3630,6.904,4,0.557
Completed,0.66,131,3927,3918,2.617,2,0.941
Completed,0.67,121,3515,4539,3.142,6,0.722
Completed,0.8,2805,956,115,9.633,1,0.001
Completed,0.65,69,640,4175,2.919,1,0.104
Completed,0.65,67,975,5000,4.573,1,0.905
Completed,0.81,1982,1086,58,8.837,14,0.998
Completed,0.65,56,2454,4998,0.963,4,0.742
Completed,0.66,111,4255,4633,6.472,1,0.909
Completed,0.66,69,600,4362,6.847,3,0.464
Completed,0.71,557,721,1276,9.922,1,0.26
Completed,0.58,109,2040,4228,9.172,2,0.764
Completed,0.74,938,3964,864,10.0,1,0.692
Completed,0.68,2753,2271,1019,1.578,2,0.883
Completed,0.71,320,4811,1651,0.255,1,0.63
Completed,0.66,178,3985,3956,3.43,3,0.583
Completed,0.67,1083,2677,2976,4.524,3,0.283
Completed,0.61,156,153,3790,0.414,9,0.972
Completed,0.75,3032,454,404,6.232,1,0.168
Completed,0.66,185,3563,4831,2.733,10,0.821
Completed,0.67,105,1108,3380,2.371,1,0.389
Completed,0.7,1987,1405,1912,2.887,2,0.541
Completed,0.67,218,5000,2938,0.122,1,0.589
Completed,0.69,180,4713,2499,1.698,1,0.127
Completed,0.66,127,3650,4017,0.715,2,0.127
Completed,0.68,191,4997,3115,2.12,4,0.989
Completed,0.68,3318,1790,2765,5.442,3,0.67
Completed,0.66,126,5000,3939,7.315,1,0.001
Completed,0.77,1062,1062,349,10.0,1,0.999
Completed,0.74,393,841,717,10.0,1,0.999
Completed,0.71,303,3579,1421,7.859,1,0.999
Completed,0.72,773,4017,1241,10.0,1,0.7
Completed,0.74,990,3926,689,10.0,1,0.999
Completed,0.71,866,4106,1497,10.0,1,0.601
Completed,0.68,140,3638,3203,9.387,1,0.999
Completed,0.66,116,3345,4299,8.897,1,0.217
Completed,0.66,100,3559,4177,4.744,1,0.171
Completed,0.66,157,5000,4174,10.0,1,0.001
Completed,0.71,565,3744,1721,3.407,1,0.001
Completed,0.66,85,1192,5000,4.858,1,0.484
Completed,0.67,133,5000,4563,0.001,1,0.999
Completed,0.73,535,4320,1055,8.891,1,0.999
Completed,0.65,65,429,4118,0.001,1,0.535
Completed,0.58,35,1,2234,10.0,1,0.999
Completed,0.72,204,781,1062,10.0,1,0.999
Completed,0.68,182,1840,2622,8.915,1,0.63
Completed,0.65,113,5000,4689,6.272,1,0.001
Completed,0.66,98,1144,4971,1.985,1,0.999
Completed,0.67,149,1220,3032,8.368,1,0.999
Completed,0.65,76,738,4171,6.034,1,0.001
Completed,0.68,118,1403,3320,1.451,1,0.999
Completed,0.7,962,1057,1669,10.0,1,0.001
Completed,0.79,1616,1559,179,6.558,1,0.999
Completed,0.78,1423,4691,185,4.99,1,0.999
Completed,0.66,110,4248,4752,3.811,1,0.724
Completed,0.67,128,4882,4555,1.88,1,0.377
Completed,0.63,44,279,4450,7.62,1,0.816
Completed,0.68,139,1419,2768,1.116,1,0.31
Completed,0.65,98,1091,5000,10.0,1,0.001
Completed,0.75,555,1069,595,10.0,1,0.999
Completed,0.65,69,495,4063,10.0,1,0.999
Completed,0.66,82,932,4740,0.001,1,0.999
Completed,0.66,79,919,4813,6.481,1,0.089
Completed,0.66,105,3742,4984,0.001,1,0.001
Completed,0.69,190,4111,2430,9.232,1,0.999
Completed,0.77,610,972,473,10.0,1,0.999
Completed,0.71,212,996,1462,8.829,1,0.999
Completed,0.73,289,769,890,10.0,1,0.999
Completed,0.78,1141,1135,241,10.0,1,0.999
Completed,0.66,80,866,3724,8.538,1,0.667
Completed,0.71,345,5000,1630,0.001,1,0.999
Completed,0.66,105,1722,5000,7.292,1,0.999
Completed,0.7,236,1141,1852,0.001,1,0.741
Completed,0.65,73,617,4167,2.008,1,0.692
Completed,0.66,158,4817,4658,5.415,1,0.382
Completed,0.71,236,3346,1677,8.239,1,0.538
Completed,0.8,2572,1876,80,10.0,12,0.973
Completed,0.65,2622,1129,5000,1.832,11,0.225
Completed,0.81,3442,1562,48,10.0,9,0.647
Completed,0.7,235,4012,2039,0.001,4,0.999
Completed,0.66,172,5000,4485,1.24,1,0.999
Completed,0.65,65,684,4418,3.344,1,0.999
Completed,0.8,1535,1308,121,0.001,1,0.685
Completed,0.67,167,3892,3811,10.0,1,0.506
Completed,0.67,144,4956,3533,8.838,1,0.468
Completed,0.71,1106,887,1359,8.74,1,0.687
Completed,0.76,1317,4872,346,7.151,1,0.999
Completed,0.65,76,618,4423,7.658,1,0.001
Completed,0.74,821,5000,767,7.319,1,0.999
Completed,0.68,248,5000,2625,3.222,1,0.001
Completed,0.71,382,5000,1582,8.222,1,0.999
Completed,0.69,244,4504,2369,8.676,1,0.332
Completed,0.66,135,5000,4328,0.001,4,0.905
Completed,0.67,95,833,3014,0.596,4,0.456
Completed,0.68,130,2836,2717,8.064,1,0.169
Completed,0.65,1264,4071,4696,9.184,4,0.571
Completed,0.66,158,5000,4468,3.128,1,0.001
Completed,0.69,230,3652,2068,8.645,1,0.999
Completed,0.68,209,1751,2783,0.001,1,0.696
Completed,0.67,151,3941,3428,2.332,1,0.204
Completed,0.73,333,823,797,10.0,1,0.999
Completed,0.68,218,1585,2820,10.0,1,0.624
Completed,0.65,54,471,4444,4.91,1,0.579
Completed,0.75,371,897,650,10.0,1,0.999
Completed,0.66,174,4036,3735,7.892,1,0.999
Completed,0.76,510,938,533,10.0,1,0.999
Completed,0.74,2934,4619,822,0.001,1,0.424
Completed,0.66,114,1050,3468,5.37,1,0.001
Completed,0.68,5666,4494,2769,6.87,3,0.883
Completed,0.64,6438,2488,4993,9.403,6,0.182
Completed,0.73,1113,62,83,6.319,7,0.711
Completed,0.65,82,3268,4820,5.412,2,0.357
Completed,0.68,1551,664,2018,2.495,2,0.149
Completed,0.82,4874,930,55,6.591,15,0.339
Completed,0.66,141,3645,4109,1.994,3,0.175
Completed,0.7,6382,4214,1949,1.17,5,0.498
Completed,0.66,110,5000,4753,2.417,3,0.71
Completed,0.67,134,5000,3887,0.001,4,0.64
Completed,0.71,329,3749,1430,0.001,3,0.999
Completed,0.7,252,3777,2059,3.923,1,0.507
Completed,0.8,7095,4192,84,6.448,10,0.393
Completed,0.68,586,1523,2477,0.001,4,0.001
Completed,0.85,4110,367,10,0.001,13,0.897
Completed,0.84,4547,41,1,0.001,17,0.999
Completed,0.66,72,2870,4643,6.131,3,0.758
Completed,0.68,174,4134,2946,7.247,1,0.482
Completed,0.66,119,4717,4798,1.548,6,0.908
Completed,0.78,3103,1662,144,0.502,2,0.024
Completed,0.68,171,3961,3403,0.642,5,0.095
Completed,0.66,288,1633,4299,3.095,7,0.829
Completed,0.81,1909,2266,51,7.513,9,0.497
Completed,0.69,3364,4636,2201,6.212,2,0.701
Completed,0.6,35,2108,4399,1.654,1,0.804
Completed,0.63,106,2237,4256,5.145,5,0.681
Completed,0.67,560,1012,3177,6.518,3,0.094
Completed,0.73,844,3545,1000,0.764,1,0.412
Completed,0.65,242,2663,3515,4.047,5,0.283
Completed,0.64,2651,335,3786,2.218,8,0.517
Completed,0.66,136,3845,4664,1.953,8,0.445
Completed,0.68,148,1827,3065,4.324,1,0.74
Completed,0.65,5394,2625,4748,2.737,9,0.132
Completed,0.67,81,607,2523,0.992,1,0.928
Completed,0.67,1176,3710,3294,4.452,2,0.816
Completed,0.73,520,1159,1115,7.682,1,0.685
Completed,0.67,105,1391,3803,5.854,3,0.219
Completed,0.66,138,4935,4139,3.306,5,0.408
Completed,0.66,277,2610,2925,0.805,7,0.783
Completed,0.65,66,563,4523,2.96,4,0.02
Completed,0.69,141,2561,1543,3.416,1,0.099
Completed,0.66,136,3715,4027,1.384,4,0.22
Completed,0.62,45,110,4365,8.833,2,0.405
Completed,0.72,143,2380,720,7.005,1,0.998
Completed,0.68,159,4989,3543,0.236,3,0.505
Completed,0.66,4073,398,2425,1.631,5,0.736
Completed,0.67,640,3443,2791,0.117,8,0.321
Completed,0.66,70,810,4942,3.659,1,0.616
Completed,0.66,128,4765,4259,6.608,1,0.785
Completed,0.66,114,1585,4760,7.559,2,0.96
Completed,0.66,134,4582,4432,0.032,5,0.665
Completed,0.7,278,4213,1919,4.564,1,0.544
Completed,0.68,122,3356,3000,1.471,2,0.075
Completed,0.67,95,1110,4155,9.007,1,0.871
Completed,0.72,6677,4389,1303,3.929,2,0.685
Completed,0.63,607,2213,3739,8.171,2,0.28
Completed,0.67,92,258,1343,5.015,1,0.874
Completed,0.66,70,2725,4166,2.073,3,0.63
Completed,0.8,2829,3852,68,5.908,12,0.931
Completed,0.66,101,1842,4890,2.353,3,0.331
Completed,0.69,702,1943,2394,2.82,2,0.46
Completed,0.66,113,4488,4591,9.902,1,0.044
Completed,0.65,4969,1208,4422,5.285,7,0.493
Completed,0.83,1798,668,38,4.269,5,0.8
Completed,0.65,91,856,4437,4.677,4,0.736
Completed,0.66,123,4372,4787,5.359,3,0.893
Completed,0.65,886,1974,4122,5.13,5,0.096
Completed,0.66,230,2834,3852,4.914,2,0.251
Completed,0.71,4770,3700,1350,0.053,4,0.407
Completed,0.81,2206,2234,48,3.337,9,0.665
Completed,0.68,1687,4537,2806,3.56,4,0.973
Completed,0.67,2332,1992,3160,0.462,8,0.641
Completed,0.71,297,3782,1626,1.271,1,0.287
Completed,0.67,5165,3491,3155,5.479,4,0.439
Completed,0.66,5765,858,4128,8.245,6,0.734
Completed,0.66,148,2821,3790,0.718,9,0.888
Completed,0.61,42,181,3442,3.01,1,0.187
Completed,0.67,148,4086,3623,2.157,6,0.355
Completed,0.66,113,1416,3972,4.078,3,0.588
Completed,0.66,2625,2291,1476,1.113,3,0.717
Completed,0.69,212,3408,2238,5.643,1,0.047
Completed,0.83,1763,455,37,7.616,2,0.1
Completed,0.58,38,2,4074,0.812,6,0.668
Completed,0.67,214,4047,2969,2.538,1,0.411
Completed,0.66,126,3564,4325,3.99,5,0.812
Completed,0.7,219,3009,1822,1.046,2,0.968
Completed,0.65,94,1297,3972,5.967,1,0.533
Completed,0.66,160,4001,3800,0.94,5,0.529
Completed,0.64,2410,2396,4053,4.177,6,0.985
Completed,0.68,160,3548,2658,2.456,1,0.244
Completed,0.79,4184,3006,161,2.59,3,0.088
Completed,0.66,1141,3253,3741,6.874,3,0.367
Completed,0.71,457,2715,1244,8.258,1,0.461
Completed,0.68,211,1614,3315,3.18,2,0.023
Completed,0.66,91,3080,4666,0.209,7,0.779
Completed,0.64,70,151,1935,0.437,1,0.58
Completed,0.66,137,4603,4275,0.153,1,0.092
Completed,0.65,4562,620,4003,9.901,4,0.31
Completed,0.69,286,4156,2137,9.311,1,0.363
Completed,0.66,117,4859,4635,5.733,3,0.456
Completed,0.67,183,642,2409,0.656,5,0.019
Completed,0.62,41,248,4912,4.233,2,0.175
Completed,0.66,136,3821,3674,2.205,7,0.932
Completed,0.66,99,555,3000,6.466,1,0.63
Completed,0.65,2415,1024,4988,6.174,7,0.347
Completed,0.67,194,4910,3598,7.901,2,0.604
Completed,0.69,5608,4610,2057,1.096,6,0.161
Completed,0.72,377,689,902,2.823,1,0.917
Completed,0.64,59,298,3399,2.057,3,0.76
Completed,0.64,54,2307,4465,0.721,3,0.484
Completed,0.68,4901,3617,3204,2.746,7,0.725
Completed,0.66,1465,2541,4740,9.255,4,0.14
Completed,0.64,67,2405,3683,5.27,1,0.23
Completed,0.66,3669,1255,4646,1.729,10,0.628
Completed,0.81,1713,1076,76,7.057,11,0.899
Completed,0.67,5259,2794,3335,4.706,5,0.387
Completed,0.74,4517,3194,832,0.193,3,0.293
Completed,0.59,42,2032,2717,0.93,4,0.348
Completed,0.66,6653,3267,3994,2.657,9,0.606
Completed,0.8,4436,4109,97,4.372,19,0.957
Completed,0.66,234,3231,4590,9.649,2,0.701
Completed,0.66,93,1592,4938,0.377,3,0.921
Completed,0.66,87,2442,2440,4.571,1,0.765
Completed,0.66,77,785,3562,1.848,3,0.324
Completed,0.65,2002,4513,4712,4.824,8,0.566
Completed,0.58,4540,2011,2627,8.581,2,0.96
Completed,0.79,3177,1457,124,6.532,4,0.867
Completed,0.68,146,2871,2819,1.455,5,0.681
Completed,0.71,8349,1902,1581,7.187,2,0.518
Completed,0.81,3544,3376,54,8.459,8,0.375
Completed,0.78,8664,418,204,6.209,5,0.225
Completed,0.66,8416,4851,4335,7.339,6,0.996
Completed,0.68,128,1051,2809,8.304,1,0.108
Completed,0.68,148,3919,2996,0.483,4,0.428
Completed,0.6,3101,33,1044,0.855,2,0.439
Completed,0.64,426,2305,3476,2.912,4,0.584
Completed,0.66,136,3649,4816,1.202,9,0.342
Completed,0.74,614,1749,973,2.113,1,0.74
Completed,0.67,1612,2538,3279,7.035,3,0.804
Completed,0.7,1061,4262,1876,1.338,3,0.952
Completed,0.67,105,1122,3267,0.414,6,0.102
Completed,0.67,184,4811,4379,3.698,1,0.858
Completed,0.68,6257,903,2309,8.619,2,0.67
Completed,0.59,43,45,4808,6.259,5,0.514
Completed,0.65,1969,2299,2186,2.377,3,0.803
Completed,0.72,5811,3761,1308,2.186,2,0.072
Completed,0.67,351,4378,3894,4.905,4,0.191
Completed,0.68,1477,890,2920,0.743,9,0.828
Completed,0.65,63,576,4098,6.457,1,0.276
Completed,0.6,7561,2060,2721,5.479,4,0.981
Completed,0.67,92,2893,3084,3.302,2,0.552
Completed,0.78,2609,1338,219,4.194,2,0.442
Completed,0.71,360,3930,1711,6.996,1,0.564
Completed,0.66,124,4479,4214,8.107,3,0.72
Completed,0.64,60,339,3781,1.919,2,0.875
Completed,0.66,99,3351,4524,2.32,5,0.113
Completed,0.68,1628,2656,2026,2.813,2,0.206
Completed,0.66,138,1867,4721,7.734,1,0.27
Completed,0.66,108,3685,3826,1.46,1,0.813
Completed,0.66,618,1286,4166,9.906,3,0.65
Completed,0.62,109,2231,4107,1.714,9,0.965
Completed,0.8,1964,3110,112,0.579,2,0.192
Completed,0.68,110,1305,2941,6.111,1,0.398
Completed,0.66,618,1071,3986,7.086,4,0.844
Completed,0.7,13919,4594,1860,1.554,5,0.55
Completed,0.66,142,3978,4270,4.284,1,0.679
Completed,0.63,45,121,2671,0.112,6,0.292
Completed,0.66,14373,4623,4432,1.907,10,0.711
Completed,0.66,1994,650,3453,3.74,5,0.324
Completed,0.76,7492,2098,91,4.186,13,0.625
Completed,0.66,525,4304,3249,5.293,3,0.144
Completed,0.63,8079,347,4775,9.064,7,0.75
Completed,0.66,486,3288,4938,6.815,5,0.599
Completed,0.68,89,2672,2373,8.91,1,0.732
Completed,0.66,8979,2982,3602,1.007,8,0.047
Completed,0.67,98,1665,4576,4.637,2,0.934
Completed,0.7,562,2318,863,3.639,1,0.056
Completed,0.66,406,4884,3858,6.253,2,0.16
Completed,0.79,6397,373,154,5.652,8,0.975
Completed,0.58,32,14,4291,1.778,4,0.42
Completed,0.69,1851,833,1895,2.928,2,0.302
Completed,0.67,141,1932,3337,0.732,2,0.962
Completed,0.66,134,3163,4105,2.712,7,0.008
Completed,0.66,117,1750,4063,2.343,6,0.413
Completed,0.66,939,3440,4501,4.067,7,0.34
Completed,0.65,56,2452,3521,0.29,2,0.696
Completed,0.74,398,3135,771,5.852,1,0.9
Completed,0.68,9566,4151,2461,7.374,3,0.358
Completed,0.65,1252,4784,4851,9.635,2,0.475
Completed,0.69,114,803,2099,3.907,1,0.178
Completed,0.63,45,186,4664,1.812,4,0.062
Completed,0.68,689,3744,2503,2.684,3,0.079
Completed,0.66,67,2507,3246,0.206,6,0.429
Completed,0.66,374,2703,3420,2.978,6,0.385
Completed,0.66,142,1845,4050,0.489,2,0.734
Completed,0.61,4433,2075,2350,3.996,3,0.552
Completed,0.66,100,3336,4216,6.741,5,0.819
Completed,0.84,11075,1459,11,5.271,8,0.246
Completed,0.7,176,3098,1892,7.76,1,0.876
Completed,0.61,7707,52,2318,4.538,4,0.703
Completed,0.8,3262,1731,75,7.398,19,0.941
Completed,0.67,10560,4681,3148,3.174,7,0.459
Completed,0.65,56,669,4747,2.434,3,0.567
Completed,0.7,295,4996,1880,6.755,1,0.772
Completed,0.66,957,4362,4484,9.006,5,0.902
Completed,0.66,951,3347,3732,8.107,2,0.355
Completed,0.58,4125,2008,4634,6.288,8,0.743
Completed,0.67,128,1685,3312,0.91,5,0.176
Completed,0.65,9551,3974,4539,7.301,7,0.654
Completed,0.81,4098,2912,80,3.849,16,0.834
Completed,0.67,83,611,2657,9.792,1,0.477
Completed,0.66,521,1547,4427,8.658,3,0.964
Completed,0.67,8248,2411,1673,7.171,2,0.78
Completed,0.66,100,3665,4888,4.894,1,0.607
Completed,0.7,3244,2808,1509,0.918,4,0.665
Completed,0.77,4459,3483,281,9.701,1,0.576
Completed,0.67,244,2976,3536,6.218,3,0.708
Completed,0.73,8668,3244,997,0.128,4,0.894
Completed,0.66,109,1546,4714,2.028,7,0.21
Completed,0.67,125,2737,2690,3.914,1,0.758
Completed,0.65,114,4654,4861,3.557,4,0.374
Completed,0.64,48,410,4512,8.383,1,0.114
Completed,0.68,106,2890,2391,7.205,1,0.998
Completed,0.66,88,1316,4353,3.226,2,0.603
Completed,0.8,12005,4874,69,0.991,19,0.05
Completed,0.64,7383,2261,2802,5.058,4,0.628
Completed,0.65,62,698,4488,6.504,1,0.188
Completed,0.71,5913,4439,1452,4.245,2,0.451
Completed,0.67,122,4202,4949,0.258,3,0.259
Completed,0.65,6335,2659,4108,0.155,9,0.546
Completed,0.67,626,1801,3478,2.646,5,0.335
Completed,0.78,5002,4042,204,8.816,4,0.436
Completed,0.67,142,4897,3701,5.454,3,0.37
Completed,0.66,9077,909,4320,7.962,6,0.503
Completed,0.76,10088,1138,370,2.55,1,0.01
Completed,0.7,4698,4658,2241,0.042,7,0.86
