Status,ACCURACY,RUNTIME,recent_samples_size,n_samples,const,max_depth,threshold
Completed,0.75,12,2494,150,10.0,12,0.999
Completed,0.74,1,3529,4659,5.633,5,0.001
Completed,0.74,2,2833,1180,6.847,1,0.167
Completed,0.74,4104,1431,264,0.001,6,0.644
Completed,0.73,1,3035,4894,6.29,7,0.001
Completed,0.74,52,1387,233,1.831,15,0.999
Completed,0.73,1,250,2192,0.416,6,0.854
Completed,0.73,2,1822,2420,0.001,6,0.001
Completed,0.74,2,4339,2314,0.017,6,0.008
Completed,0.75,90,2598,160,0.539,9,0.001
Completed,0.75,302,3415,210,6.588,14,0.51
Completed,0.75,60,3041,221,8.297,8,0.682
Completed,0.75,1074,2609,174,8.75,16,0.001
Completed,0.73,1,325,2314,0.018,6,0.001
Completed,0.73,12,4444,4801,7.245,15,0.001
Completed,0.73,23,1152,4700,0.001,19,0.725
Completed,0.74,198,4929,1109,10.0,5,0.785
Completed,0.74,7,1057,293,0.778,1,0.477
Completed,0.74,15,1,1,0.001,13,0.364
Completed,0.73,5624,4073,4079,5.794,17,0.001
Completed,0.74,13,3764,4610,7.101,16,0.001
Completed,0.75,244,2570,136,8.079,17,0.01
Completed,0.74,2453,4205,1196,8.561,8,0.322
Completed,0.74,22,4066,1137,9.748,2,0.192
Completed,0.75,502,3023,182,0.001,12,0.716
Completed,0.75,270,2532,218,10.0,18,0.62
Completed,0.73,1,192,2563,0.001,6,0.27
Completed,0.73,1,320,2345,0.001,6,0.999
Completed,0.74,31,3401,229,7.687,7,0.544
Completed,0.74,68,4909,1070,0.001,3,0.347
Completed,0.75,7,3201,246,7.095,2,0.643
Completed,0.74,7,2926,181,2.069,3,0.72
Completed,0.74,395,4144,1150,0.001,5,0.137
Completed,0.75,7,3151,221,8.834,2,0.69
Completed,0.73,2,4294,2605,0.756,6,0.001
Completed,0.75,10,2532,181,9.349,15,0.601
Completed,0.75,382,3042,214,2.657,19,0.722
Completed,0.75,102,1626,230,3.192,11,0.669
Completed,0.75,17,1097,243,10.0,11,0.999
Completed,0.75,39,1039,227,7.364,18,0.999
Completed,0.75,108,3181,221,1.513,10,0.718
Completed,0.74,233,4560,1134,6.15,4,0.001
Completed,0.74,23,1004,228,9.148,14,0.999
Completed,0.75,5,2506,170,7.889,3,0.221
Completed,0.74,14,3175,236,2.907,10,0.999
Completed,0.74,155,1023,251,7.925,19,0.999
Completed,0.74,17,3585,4599,8.268,20,0.32
Completed,0.75,53,2521,173,5.778,13,0.33
Completed,0.74,8,3153,241,4.663,5,0.999
Completed,0.73,5814,4579,1136,2.427,8,0.001
Completed,0.74,90,4644,1125,2.878,4,0.001
Completed,0.73,2,1796,2355,1.043,6,0.001
Completed,0.75,6,2543,156,9.086,4,0.727
Completed,0.75,12,2552,173,6.704,11,0.999
Completed,0.75,35,2532,155,3.734,6,0.001
Completed,0.74,6,2549,170,6.333,6,0.985
Completed,0.74,27,1444,256,10.0,15,0.999
Completed,0.73,2,3677,4595,5.124,9,0.001
Completed,0.74,30,1895,3754,8.151,20,0.999
Completed,0.75,137,2507,164,0.577,14,0.307
Completed,0.73,3,4851,3612,4.24,8,0.999
Completed,0.74,2,1744,3763,5.372,8,0.001
Completed,0.74,462,4605,1129,7.6,5,0.001
Completed,0.75,40,2508,184,7.864,10,0.49
Completed,0.74,8,3218,189,6.007,4,0.999
Completed,0.75,7,3160,258,7.204,4,0.999
Completed,0.75,9,1533,241,7.561,5,0.999
Completed,0.75,552,2472,167,7.627,9,0.001
Completed,0.75,7,3200,200,2.698,2,0.999
Completed,0.75,335,2522,159,6.332,17,0.001
Completed,0.73,9,2060,5000,5.556,15,0.643
Completed,0.73,8,3539,4683,5.361,14,0.999
Completed,0.74,7,1909,3769,7.934,11,0.848
Completed,0.75,14,1442,252,10.0,9,0.999
Completed,0.73,1,3241,3048,2.613,6,0.615
Completed,0.74,11,3574,4652,8.448,16,0.001
Completed,0.75,17,2505,142,9.901,8,0.332
Completed,0.72,17,1538,3803,8.446,15,0.262
Completed,0.75,109,2506,109,1.403,9,0.001
Completed,0.73,5,1930,3790,4.645,10,0.271
Completed,0.75,43,3119,230,9.775,9,0.645
Completed,0.73,1,3475,4680,9.077,3,0.029
Completed,0.75,19,2555,176,0.001,3,0.999
Completed,0.75,218,2589,179,6.471,16,0.5
Completed,0.75,78,3177,215,0.001,4,0.611
Completed,0.74,2,4050,1929,7.806,3,0.617
Completed,0.74,2,4017,1713,5.885,3,0.999
Completed,0.71,1806,3218,1,8.461,11,0.999
Completed,0.73,220,2488,1,1.591,16,0.001
Completed,0.73,1,1,5000,9.357,8,0.001
Completed,0.7,569,2479,1,5.768,2,0.999
Completed,0.73,203,2488,1,1.774,13,0.001
Completed,0.74,1905,3232,630,0.741,10,0.999
Completed,0.74,853,3229,114,0.001,10,0.999
Completed,0.71,1542,3239,1,8.09,14,0.999
Completed,0.74,13,3208,622,3.331,3,0.999
Completed,0.73,205,2474,1,9.638,14,0.001
Completed,0.75,658,1442,491,0.172,10,0.999
Completed,0.74,29,1397,748,8.582,3,0.999
Completed,0.74,840,4197,2288,8.649,17,0.44
Completed,0.73,11,5000,4202,8.585,16,0.001
Completed,0.73,1296,2231,506,4.606,14,0.999
Completed,0.75,6,1963,569,10.0,2,0.999
Completed,0.75,6,1618,529,0.692,3,0.999
Completed,0.74,10,1630,461,4.941,4,0.999
Completed,0.74,2009,1658,431,10.0,10,0.999
Completed,0.73,496,2235,500,5.861,11,0.999
Completed,0.75,377,1164,467,6.714,10,0.999
Completed,0.75,1375,3466,488,6.39,10,0.968
Completed,0.75,792,1663,548,7.015,15,0.999
Completed,0.72,239,2040,511,9.147,10,0.999
Completed,0.75,5,1656,486,8.498,1,0.999
Completed,0.75,51,1744,295,1.696,9,0.999
Completed,0.75,54,2883,191,5.783,10,0.524
Completed,0.74,4074,3935,1785,0.001,11,0.868
Completed,0.73,164,2458,1,4.125,1,0.468
Completed,0.74,77,4232,1783,9.067,4,0.001
Completed,0.72,1,2269,3743,0.693,4,0.18
Completed,0.74,2,3823,1834,2.357,1,0.878
Completed,0.73,2,4820,2282,0.001,3,0.001
Completed,0.73,2,1,4797,0.001,9,0.001
Completed,0.74,169,2711,80,2.353,9,0.001
Completed,0.73,2,4439,2336,3.428,4,0.573
Completed,0.75,8,1366,558,7.007,4,0.999
Completed,0.72,2624,2014,403,1.603,9,0.999
Completed,0.75,6,1573,396,0.721,2,0.999
Completed,0.72,367,2023,501,5.44,10,0.999
Completed,0.75,6,1342,469,1.765,4,0.999
Completed,0.75,348,1750,533,7.942,10,0.999
Completed,0.74,149,2854,677,5.338,5,0.999
Completed,0.74,2276,1423,581,7.694,14,0.999
Completed,0.73,16,4215,4202,8.762,20,0.999
Completed,0.74,2,5000,1815,9.934,2,0.926
Completed,0.75,16,1193,389,8.402,4,0.999
Completed,0.74,2,4431,2410,2.677,1,0.76
Completed,0.74,1,1920,3755,0.725,2,0.999
Completed,0.73,2,4624,2147,3.218,4,0.001
Completed,0.75,68,2442,126,10.0,6,0.001
Completed,0.73,1217,3746,2870,0.001,9,0.412
Completed,0.73,1,1848,2865,4.066,2,0.933
Completed,0.73,1,2003,3266,0.305,5,0.724
Completed,0.74,4,1459,590,7.173,2,0.999
Completed,0.73,28,977,2755,9.403,3,0.95
Completed,0.74,368,4048,483,0.001,3,0.884
Completed,0.75,4,1405,544,2.571,1,0.999
Completed,0.73,1,1102,2748,1.136,3,0.622
Completed,0.73,2332,1274,2846,0.001,10,0.356
Completed,0.75,8,1684,634,0.001,1,0.999
Completed,0.74,4,1339,558,5.748,1,0.999
Completed,0.73,1,906,3070,7.013,2,0.799
Completed,0.73,5003,640,3028,9.851,15,0.999
Completed,0.75,4,1679,578,7.548,1,0.711
Completed,0.73,4027,1470,3073,9.107,15,0.458
Completed,0.74,2,4161,1840,9.04,1,0.863
Completed,0.74,102,3623,464,10.0,4,0.947
Completed,0.73,2,4066,2387,7.48,1,0.363
Completed,0.72,17,2101,722,3.409,3,0.999
Completed,0.73,127,2186,2670,8.198,5,0.001
Completed,0.73,5288,1079,2046,4.721,17,0.286
Completed,0.75,14,3763,366,1.052,2,0.981
Completed,0.75,1114,3457,510,10.0,18,0.999
Completed,0.73,2,4704,2542,6.211,4,0.999
Completed,0.74,86,1974,658,2.293,3,0.429
Completed,0.75,5,1224,384,3.515,1,0.999
Completed,0.74,153,2150,117,1.829,10,0.001
Completed,0.73,3217,3272,2003,10.0,16,0.13
Completed,0.74,1148,3595,378,6.123,5,0.188
Completed,0.73,7,4601,4041,7.71,13,0.001
Completed,0.73,1,915,3407,8.008,4,0.327
Completed,0.73,12,3032,3289,8.39,13,0.999
Completed,0.73,1,2725,2512,6.273,1,0.943
Completed,0.73,1,3860,4723,2.814,7,0.001
Completed,0.73,1,2800,3280,2.517,2,0.999
Completed,0.73,1,2718,2363,8.565,1,0.001
Completed,0.73,1,2611,3253,8.342,4,0.999
Completed,0.75,6,3656,452,8.893,1,0.72
Completed,0.73,4049,1078,3053,9.151,15,0.999
Completed,0.73,1,1464,3258,7.17,3,0.33
Completed,0.73,1,2939,2623,0.384,1,0.999
Completed,0.73,1,2661,3187,6.959,3,0.999
Completed,0.74,3,3666,1946,10.0,5,0.35
Completed,0.73,10,4735,3467,7.761,12,0.001
Completed,0.73,1,1,4044,3.088,4,0.999
Completed,0.73,1,1,3033,10.0,5,0.001
Completed,0.73,1,4591,4535,9.787,5,0.001
Completed,0.73,3077,152,2930,10.0,11,0.001
Completed,0.73,186,542,1,2.475,9,0.001
Completed,0.73,871,1306,2556,10.0,7,0.999
Completed,0.74,9,3866,297,5.281,5,0.999
Completed,0.73,1,2489,2954,10.0,7,0.12
Completed,0.74,2,4017,3506,7.062,6,0.001
Completed,0.74,48,1160,469,8.458,3,0.456
Completed,0.75,4,1449,541,10.0,1,0.152
Completed,0.75,126,2599,154,6.674,19,0.389
Completed,0.73,13,4885,3820,8.708,13,0.512
Completed,0.73,3001,3196,2052,10.0,17,0.954
Completed,0.72,5336,2810,1992,9.194,20,0.583
Completed,0.73,1515,1,1974,10.0,12,0.999
Completed,0.73,11,1787,4152,10.0,16,0.001
Completed,0.73,1,3433,4564,2.852,1,0.001
Completed,0.74,10,3621,1484,2.334,3,0.001
Completed,0.74,2939,4064,3564,0.001,14,0.001
Completed,0.74,3271,4101,1864,10.0,11,0.999
Completed,0.74,2,4002,3517,3.056,6,0.001
Completed,0.73,10,3274,2278,10.0,11,0.999
Completed,0.74,9,4229,1516,10.0,3,0.999
Completed,0.75,1146,3693,551,6.19,20,0.999
Completed,0.73,1,1,4145,2.678,3,0.001
Completed,0.74,19,1267,351,3.16,4,0.999
Completed,0.73,2,1,3446,8.396,8,0.001
Completed,0.73,1,1,4053,8.535,2,0.001
Completed,0.73,1,4881,4534,10.0,4,0.634
Completed,0.73,223,5000,1630,0.001,5,0.353
Completed,0.74,1,3836,3475,10.0,3,0.001
Completed,0.74,2,4118,2004,8.15,6,0.98
Completed,0.73,3727,3947,4776,2.427,15,0.912
Completed,0.74,2162,3868,1871,10.0,10,0.001
Completed,0.73,1,3881,4536,10.0,7,0.999
Completed,0.73,1,3447,4297,4.614,7,0.001
Completed,0.74,1,3786,3480,8.209,1,0.001
Completed,0.73,1,1931,4514,0.001,3,0.001
Completed,0.74,1,3972,4613,3.167,3,0.001
Completed,0.73,1,3392,4562,0.001,3,0.001
Completed,0.73,1,4362,3699,4.608,3,0.001
Completed,0.73,16,1981,4137,0.001,18,0.001
Completed,0.74,26,4086,1407,4.091,3,0.001
Completed,0.74,1976,4437,1801,10.0,9,0.999
Completed,0.73,2,3493,4578,1.744,9,0.159
Completed,0.74,2,4590,1421,1.584,2,0.001
Completed,0.73,36,4441,1880,2.565,5,0.999
Completed,0.73,2,3837,2184,0.887,1,0.001
Completed,0.74,1,3999,4617,6.424,1,0.001
Completed,0.75,1182,2562,171,10.0,14,0.001
Completed,0.74,93,3354,1005,10.0,3,0.001
Completed,0.74,1,1248,2242,5.389,2,0.999
Completed,0.73,4,958,4810,10.0,11,0.999
Completed,0.74,6,4081,4642,10.0,12,0.001
Completed,0.73,439,4003,1488,10.0,5,0.001
Completed,0.74,2,4179,1873,0.001,3,0.559
Completed,0.72,13,2774,5000,6.043,17,0.999
Completed,0.74,3,1997,3788,7.916,8,0.999
Completed,0.74,2,3790,3417,10.0,6,0.001
Completed,0.73,1,1087,2309,10.0,3,0.999
Completed,0.73,1,5000,2970,9.839,1,0.999
Completed,0.74,2,3706,3422,0.001,7,0.001
Completed,0.74,366,3450,3327,5.785,20,0.001
Completed,0.74,2,3884,1903,5.302,1,0.001
Completed,0.73,5,4164,4681,6.07,11,0.001
Completed,0.74,5,3645,3460,7.111,10,0.999
