Status,ACCURACY,RUNTIME,recent_samples_size,n_subspaces,feature_percentage,alpha,window_size,mode
Completed,0.72,2600,4806,92,0.007,0.787,990,EDFSMode.RANDOM
Completed,0.75,7642,741,52,0.071,0.023,814,EDFSMode.RANDOM
Completed,0.77,1629,2965,87,0.017,0.524,376,EDFSMode.RANDOM
Completed,0.75,6616,2411,48,0.047,0.764,285,EDFSMode.RANDOM
Completed,0.67,7305,3293,7,0.098,0.063,111,EDFSMode.RANDOM
Completed,0.76,362,173,59,0.004,0.151,181,EDFSMode.RANDOM
Completed,0.03,3278,1751,1,0.16,0.542,701,EDFSMode.RANDOM
Completed,0.78,4442,4281,100,0.078,0.915,215,EDFSMode.RANDOM
Completed,0.75,11582,1085,35,0.111,0.685,418,EDFSMode.RANDOM
Completed,0.74,6662,4462,20,0.061,0.389,485,EDFSMode.RANDOM
Completed,0.72,1388,680,12,0.026,0.353,968,EDFSMode.RANDOM
Completed,0.66,9687,2152,25,0.07,0.213,636,EDFSMode.RANDOM
Completed,0.31,7487,506,2,0.298,0.629,128,EDFSMode.RANDOM
Completed,0.75,1921,3707,34,0.011,0.977,717,EDFSMode.RANDOM
Completed,0.74,13946,1590,94,0.052,0.748,850,EDFSMode.RANDOM
Completed,0.72,2516,2326,84,0.009,0.255,551,EDFSMode.RANDOM
Completed,0.74,1195,4532,62,0.028,0.879,865,EDFSMode.RANDOM
Completed,0.54,11643,3620,4,0.183,0.304,457,EDFSMode.RANDOM
Completed,0.24,9305,2253,2,0.332,0.203,280,EDFSMode.RANDOM
Completed,0.6,12231,91,23,0.038,0.642,676,EDFSMode.RANDOM
Completed,0.65,1768,3790,9,0.003,0.614,298,EDFSMode.RANDOM
Completed,0.78,2960,350,50,0.075,0.318,154,EDFSMode.RANDOM
Completed,0.2,6961,3079,1,0.545,0.811,201,EDFSMode.RANDOM
Completed,0.76,7217,911,69,0.063,0.847,332,EDFSMode.RANDOM
Completed,0.73,12008,2791,22,0.094,0.942,403,EDFSMode.RANDOM
Completed,0.76,1634,1818,38,0.019,0.241,444,EDFSMode.RANDOM
Completed,0.78,2203,3471,98,0.044,0.471,196,EDFSMode.RANDOM
Completed,0.4,11296,998,3,0.188,0.095,607,EDFSMode.RANDOM
Completed,0.76,10275,1920,57,0.096,0.705,256,EDFSMode.RANDOM
Completed,0.74,889,1187,42,0.008,0.448,845,EDFSMode.RANDOM
