Status,ACCURACY,RUNTIME,recent_samples_size,n_subspaces,feature_percentage,alpha,window_size,mode
Completed,0.73,3,237,3,0.302,0.384,652,EDFSMode.RANDOM
Completed,0.74,236,1329,82,0.988,0.873,943,EDFSMode.RANDOM
Completed,0.74,14,4798,30,0.207,0.15,200,EDFSMode.RANDOM
Completed,0.75,23,4028,93,0.488,0.026,264,EDFSMode.RANDOM
Completed,0.75,9,3296,52,0.289,0.182,438,EDFSMode.RANDOM
Completed,0.74,3,784,14,0.135,0.776,960,EDFSMode.RANDOM
Completed,0.75,284,4651,59,0.651,0.408,386,EDFSMode.RANDOM
Completed,0.74,6,4341,3,0.967,0.314,486,EDFSMode.RANDOM
Completed,0.73,50,474,70,0.451,0.995,805,EDFSMode.RANDOM
Completed,0.74,6,2341,34,0.538,0.124,579,EDFSMode.RANDOM
Completed,0.74,13,3473,89,0.052,0.692,261,EDFSMode.RANDOM
Completed,0.74,51,3675,35,0.836,0.438,911,EDFSMode.RANDOM
Completed,0.74,101,2385,93,0.324,0.87,336,EDFSMode.RANDOM
Completed,0.75,7,429,4,0.657,0.249,111,EDFSMode.RANDOM
Completed,0.75,10,4140,75,0.175,0.568,687,EDFSMode.RANDOM
Completed,0.75,8,4450,19,0.491,0.661,645,EDFSMode.RANDOM
Completed,0.75,377,739,61,0.972,0.032,321,EDFSMode.RANDOM
Completed,0.72,339,2163,22,0.802,0.503,796,EDFSMode.RANDOM
Completed,0.73,5,25,83,0.218,0.382,569,EDFSMode.RANDOM
Completed,0.75,19,3893,41,0.699,0.808,214,EDFSMode.RANDOM
Completed,0.74,46,4833,96,0.883,0.965,199,EDFSMode.RANDOM
Completed,0.74,238,965,26,0.401,0.35,753,EDFSMode.RANDOM
Completed,0.74,6565,1405,78,0.846,0.156,733,EDFSMode.RANDOM
Completed,0.75,11,2538,45,0.36,0.535,163,EDFSMode.RANDOM
Completed,0.74,47,2916,66,0.764,0.841,632,EDFSMode.RANDOM
Completed,0.74,10,1627,12,0.278,0.475,278,EDFSMode.RANDOM
Completed,0.73,24,2494,41,0.708,0.998,879,EDFSMode.RANDOM
Completed,0.74,25,1088,64,0.022,0.259,716,EDFSMode.RANDOM
Completed,0.74,132,1848,65,0.61,0.722,979,EDFSMode.RANDOM
Completed,0.75,4,2981,7,0.098,0.088,424,EDFSMode.RANDOM
Completed,0.74,80,2740,80,0.529,0.283,869,EDFSMode.RANDOM
Completed,0.73,22,92,55,0.755,0.911,284,EDFSMode.RANDOM
Completed,0.74,49,1296,87,0.169,0.999,767,EDFSMode.RANDOM
Completed,0.74,176,1091,100,0.999,0.816,832,EDFSMode.RANDOM
Completed,0.74,7,3224,7,0.089,0.395,767,EDFSMode.RANDOM
Completed,0.75,68,4637,33,0.999,0.659,830,EDFSMode.RANDOM
Completed,0.74,10,3691,1,0.067,0.079,744,EDFSMode.RANDOM
Completed,0.75,26,4416,75,0.097,0.999,764,EDFSMode.RANDOM
Completed,0.75,10,4397,26,0.001,0.999,768,EDFSMode.RANDOM
Completed,0.75,7,4358,72,0.001,0.86,634,EDFSMode.RANDOM
Completed,0.74,9,3200,1,0.205,0.001,760,EDFSMode.RANDOM
Completed,0.75,54,4590,100,0.188,0.999,767,EDFSMode.RANDOM
Completed,0.74,34,3235,43,0.152,0.999,755,EDFSMode.RANDOM
Completed,0.74,16,3143,42,0.011,0.099,761,EDFSMode.RANDOM
Completed,0.73,9,3383,1,0.002,0.547,744,EDFSMode.RANDOM
Completed,0.75,7,581,7,0.999,0.029,258,EDFSMode.RANDOM
Completed,0.74,7,3259,1,0.211,0.874,769,EDFSMode.RANDOM
Completed,0.74,11,635,8,0.999,0.001,843,EDFSMode.RANDOM
Completed,0.73,10,3427,1,0.101,0.999,740,EDFSMode.RANDOM
Completed,0.74,5,3607,12,0.158,0.881,750,EDFSMode.RANDOM
Completed,0.75,36,991,100,0.999,0.204,259,EDFSMode.RANDOM
Completed,0.74,6,4320,58,0.001,0.574,791,EDFSMode.RANDOM
Completed,0.75,3,1280,21,0.057,0.999,752,EDFSMode.RANDOM
Completed,0.75,43,981,100,0.999,0.389,571,EDFSMode.RANDOM
Completed,0.75,45,1123,100,0.999,0.999,549,EDFSMode.RANDOM
Completed,0.75,35,4289,100,0.001,0.917,762,EDFSMode.RANDOM
Completed,0.74,8,2642,7,0.899,0.203,440,EDFSMode.RANDOM
Completed,0.74,4,3481,1,0.001,0.627,605,EDFSMode.RANDOM
Completed,0.75,113,1098,79,0.413,0.746,390,EDFSMode.RANDOM
Completed,0.74,11,4532,79,0.411,0.999,582,EDFSMode.RANDOM
Completed,0.74,27,618,80,0.417,0.286,100,EDFSMode.RANDOM
Completed,0.74,8,4612,79,0.412,0.999,905,EDFSMode.RANDOM
Completed,0.74,466,3773,62,0.792,0.999,393,EDFSMode.RANDOM
Completed,0.75,102,3878,100,0.474,0.999,370,EDFSMode.RANDOM
Completed,0.75,58,3862,78,0.415,0.999,375,EDFSMode.RANDOM
Completed,0.74,28,3041,80,0.416,0.001,169,EDFSMode.RANDOM
Completed,0.74,14,928,78,0.415,0.999,300,EDFSMode.RANDOM
Completed,0.74,39,678,63,0.784,0.84,100,EDFSMode.RANDOM
Completed,0.74,56,1206,81,0.418,0.999,330,EDFSMode.RANDOM
Completed,0.75,17,3079,19,0.999,0.053,288,EDFSMode.RANDOM
Completed,0.74,41,1215,93,0.576,0.7,298,EDFSMode.RANDOM
Completed,0.75,43,790,79,0.41,0.001,100,EDFSMode.RANDOM
Completed,0.75,16,667,80,0.409,0.999,206,EDFSMode.RANDOM
Completed,0.74,15,4404,81,0.42,0.999,429,EDFSMode.RANDOM
Completed,0.75,102,2322,100,0.85,0.001,100,EDFSMode.RANDOM
Completed,0.75,11,874,37,0.365,0.001,238,EDFSMode.RANDOM
Completed,0.74,30,1321,80,0.422,0.001,139,EDFSMode.RANDOM
Completed,0.75,22,4613,79,0.411,0.001,548,EDFSMode.RANDOM
Completed,0.74,606,4556,77,0.428,0.469,752,EDFSMode.RANDOM
Completed,0.75,136,3721,79,0.412,0.999,398,EDFSMode.RANDOM
Completed,0.75,19,3059,78,0.414,0.511,172,EDFSMode.RANDOM
Completed,0.75,245,1106,18,0.999,0.733,354,EDFSMode.RANDOM
Completed,0.75,502,1113,79,0.411,0.001,402,EDFSMode.RANDOM
Completed,0.75,11,2245,82,0.001,0.001,100,EDFSMode.RANDOM
Completed,0.73,43,772,79,0.411,0.001,1000,EDFSMode.RANDOM
Completed,0.75,20,593,40,0.514,0.662,100,EDFSMode.RANDOM
Completed,0.74,31,2930,79,0.408,0.999,100,EDFSMode.RANDOM
Completed,0.75,12,3829,80,0.414,0.999,557,EDFSMode.RANDOM
Completed,0.73,1542,892,26,0.999,0.001,394,EDFSMode.RANDOM
Completed,0.75,15,900,34,0.064,0.001,411,EDFSMode.RANDOM
Completed,0.73,631,858,10,0.757,0.001,360,EDFSMode.RANDOM
Completed,0.75,8,770,25,0.145,0.001,267,EDFSMode.RANDOM
Completed,0.75,10,2353,36,0.176,0.001,100,EDFSMode.RANDOM
Completed,0.75,9,1010,50,0.147,0.001,465,EDFSMode.RANDOM
Completed,0.74,17,790,15,0.001,0.001,378,EDFSMode.RANDOM
Completed,0.75,30,1106,34,0.677,0.001,490,EDFSMode.RANDOM
Completed,0.74,26,2125,57,0.432,0.001,100,EDFSMode.RANDOM
Completed,0.74,1124,894,85,0.512,0.001,406,EDFSMode.RANDOM
Completed,0.74,41,2514,27,0.999,0.001,100,EDFSMode.RANDOM
Completed,0.75,14,2197,30,0.677,0.999,100,EDFSMode.RANDOM
Completed,0.74,7,847,2,0.999,0.001,234,EDFSMode.RANDOM
Completed,0.75,17,882,14,0.808,0.909,437,EDFSMode.RANDOM
Completed,0.74,26,3109,27,0.999,0.999,100,EDFSMode.RANDOM
Completed,0.75,32,2498,55,0.449,0.001,100,EDFSMode.RANDOM
Completed,0.74,6,881,3,0.37,0.001,242,EDFSMode.RANDOM
Completed,0.74,1570,3577,30,0.833,0.001,389,EDFSMode.RANDOM
Completed,0.75,3,1009,16,0.001,0.999,516,EDFSMode.RANDOM
Completed,0.74,76,1961,86,0.504,0.001,100,EDFSMode.RANDOM
Completed,0.75,9,778,34,0.001,0.001,154,EDFSMode.RANDOM
Completed,0.74,6,1073,1,0.377,0.001,469,EDFSMode.RANDOM
Completed,0.74,82,1317,26,0.641,0.999,1000,EDFSMode.RANDOM
Completed,0.74,10,2610,33,0.062,0.001,100,EDFSMode.RANDOM
Completed,0.75,16,2243,26,0.999,0.999,100,EDFSMode.RANDOM
Completed,0.74,30,2088,26,0.948,0.001,100,EDFSMode.RANDOM
Completed,0.74,671,958,56,0.44,0.001,373,EDFSMode.RANDOM
Completed,0.75,51,791,54,0.122,0.001,357,EDFSMode.RANDOM
Completed,0.74,9,4371,3,0.391,0.001,1000,EDFSMode.RANDOM
Completed,0.75,4,4650,35,0.083,0.999,1000,EDFSMode.RANDOM
Completed,0.75,21,3894,100,0.696,0.999,455,EDFSMode.RANDOM
Completed,0.75,47,3123,51,0.999,0.999,449,EDFSMode.RANDOM
Completed,0.74,7,972,100,0.001,0.999,354,EDFSMode.RANDOM
Completed,0.75,21,2337,52,0.999,0.999,142,EDFSMode.RANDOM
Completed,0.75,5,4564,1,0.001,0.999,836,EDFSMode.RANDOM
Completed,0.74,4,4602,10,0.001,0.001,932,EDFSMode.RANDOM
Completed,0.74,5,4576,2,0.001,0.001,666,EDFSMode.RANDOM
Completed,0.75,10,844,100,0.001,0.001,217,EDFSMode.RANDOM
Completed,0.75,6,4579,1,0.999,0.999,950,EDFSMode.RANDOM
Completed,0.75,5,1282,1,0.855,0.999,459,EDFSMode.RANDOM
Completed,0.74,4,4606,1,0.001,0.999,872,EDFSMode.RANDOM
Completed,0.75,6,3921,1,0.31,0.999,618,EDFSMode.RANDOM
Completed,0.75,7,4625,7,0.539,0.001,835,EDFSMode.RANDOM
Completed,0.75,10,3276,1,0.999,0.001,164,EDFSMode.RANDOM
Completed,0.74,34,4016,52,0.999,0.999,880,EDFSMode.RANDOM
Completed,0.75,27,4390,26,0.999,0.999,605,EDFSMode.RANDOM
Completed,0.75,4,596,1,0.001,0.999,220,EDFSMode.RANDOM
Completed,0.75,4,1191,1,0.601,0.999,456,EDFSMode.RANDOM
Completed,0.75,6,546,1,0.999,0.001,134,EDFSMode.RANDOM
Completed,0.75,7,4559,1,0.312,0.001,616,EDFSMode.RANDOM
Completed,0.74,241,4486,100,0.999,0.001,964,EDFSMode.RANDOM
Completed,0.74,382,3927,100,0.999,0.999,657,EDFSMode.RANDOM
Completed,0.74,7,4639,1,0.999,0.001,519,EDFSMode.RANDOM
Completed,0.74,6,4707,1,0.999,0.001,882,EDFSMode.RANDOM
Completed,0.74,4,4555,1,0.001,0.999,931,EDFSMode.RANDOM
Completed,0.74,13,3855,100,0.458,0.999,518,EDFSMode.RANDOM
Completed,0.74,57,4047,100,0.724,0.999,600,EDFSMode.RANDOM
Completed,0.75,4,4536,1,0.134,0.999,828,EDFSMode.RANDOM
Completed,0.75,7,4631,1,0.999,0.999,640,EDFSMode.RANDOM
Completed,0.75,16,4558,60,0.405,0.999,838,EDFSMode.RANDOM
Completed,0.75,7,1198,49,0.191,0.518,543,EDFSMode.RANDOM
Completed,0.74,17,589,17,0.991,0.167,100,EDFSMode.RANDOM
Completed,0.74,7,3130,29,0.061,0.475,361,EDFSMode.RANDOM
Completed,0.74,17,3209,16,0.999,0.159,174,EDFSMode.RANDOM
Completed,0.75,6,590,1,0.001,0.386,125,EDFSMode.RANDOM
Completed,0.75,26,2346,71,0.576,0.758,100,EDFSMode.RANDOM
Completed,0.74,10,1178,32,0.594,0.939,562,EDFSMode.RANDOM
Completed,0.75,21,2346,59,0.269,0.537,100,EDFSMode.RANDOM
Completed,0.75,155,4101,100,0.212,0.001,396,EDFSMode.RANDOM
Completed,0.75,10,3169,1,0.731,0.537,337,EDFSMode.RANDOM
Completed,0.74,5,1231,1,0.714,0.615,594,EDFSMode.RANDOM
Completed,0.74,214,542,100,0.23,0.001,360,EDFSMode.RANDOM
Completed,0.74,21,3681,1,0.347,0.999,107,EDFSMode.RANDOM
Completed,0.74,6,1177,78,0.005,0.227,538,EDFSMode.RANDOM
Completed,0.74,4,1253,32,0.033,0.595,541,EDFSMode.RANDOM
Completed,0.75,7,2341,29,0.013,0.685,100,EDFSMode.RANDOM
Completed,0.75,194,3255,79,0.653,0.999,403,EDFSMode.RANDOM
Completed,0.75,58,2432,100,0.999,0.596,100,EDFSMode.RANDOM
Completed,0.75,52,3201,30,0.55,0.001,294,EDFSMode.RANDOM
Completed,0.75,24,3159,15,0.435,0.176,340,EDFSMode.RANDOM
Completed,0.74,17,2322,18,0.98,0.309,100,EDFSMode.RANDOM
Completed,0.75,9,3206,15,0.001,0.532,247,EDFSMode.RANDOM
Completed,0.75,9,1322,29,0.437,0.999,551,EDFSMode.RANDOM
Completed,0.75,7,1135,40,0.466,0.999,539,EDFSMode.RANDOM
Completed,0.75,15,3154,52,0.189,0.502,385,EDFSMode.RANDOM
Completed,0.74,19,587,22,0.457,0.001,100,EDFSMode.RANDOM
Completed,0.75,5,2395,1,0.178,0.707,100,EDFSMode.RANDOM
Completed,0.75,9,3184,29,0.247,0.47,302,EDFSMode.RANDOM
Completed,0.74,21,3292,62,0.26,0.589,140,EDFSMode.RANDOM
Completed,0.74,106,4367,88,0.164,0.001,387,EDFSMode.RANDOM
Completed,0.74,8,656,1,0.275,0.999,399,EDFSMode.RANDOM
Completed,0.74,10,4520,1,0.758,0.999,823,EDFSMode.RANDOM
Completed,0.74,11,1194,1,0.763,0.001,825,EDFSMode.RANDOM
Completed,0.74,13,4415,1,0.791,0.001,822,EDFSMode.RANDOM
Completed,0.75,3,3087,1,0.775,0.001,537,EDFSMode.RANDOM
Completed,0.75,35,2311,100,0.768,0.999,155,EDFSMode.RANDOM
Completed,0.74,3,4540,1,0.187,0.999,909,EDFSMode.RANDOM
Completed,0.75,66,3108,65,0.999,0.001,460,EDFSMode.RANDOM
Completed,0.75,30,953,100,0.269,0.999,418,EDFSMode.RANDOM
Completed,0.74,4,1173,1,0.203,0.001,651,EDFSMode.RANDOM
Completed,0.74,5,420,1,0.271,0.999,410,EDFSMode.RANDOM
Completed,0.74,2,1197,1,0.233,0.999,899,EDFSMode.RANDOM
Completed,0.75,40,4589,100,0.808,0.001,554,EDFSMode.RANDOM
Completed,0.74,9,1296,1,0.786,0.001,849,EDFSMode.RANDOM
Completed,0.75,7,3094,100,0.001,0.001,483,EDFSMode.RANDOM
Completed,0.74,95,4697,100,0.804,0.001,850,EDFSMode.RANDOM
Completed,0.74,3,1044,1,0.999,0.999,918,EDFSMode.RANDOM
Completed,0.74,10,4849,1,0.515,0.999,321,EDFSMode.RANDOM
Completed,0.75,5,643,1,0.712,0.999,247,EDFSMode.RANDOM
Completed,0.74,4,1321,1,0.133,0.999,657,EDFSMode.RANDOM
Completed,0.75,158,3200,100,0.804,0.001,256,EDFSMode.RANDOM
Completed,0.74,5,1130,1,0.999,0.001,624,EDFSMode.RANDOM
Completed,0.74,20,4073,1,0.753,0.001,157,EDFSMode.RANDOM
Completed,0.74,4,1232,1,0.001,0.001,836,EDFSMode.RANDOM
Completed,0.75,14,4913,1,0.855,0.001,256,EDFSMode.RANDOM
Completed,0.74,2,1131,1,0.715,0.999,822,EDFSMode.RANDOM
Completed,0.75,6,4678,1,0.788,0.999,539,EDFSMode.RANDOM
Completed,0.74,5,4373,1,0.644,0.999,930,EDFSMode.RANDOM
Completed,0.74,13,4699,1,0.21,0.999,217,EDFSMode.RANDOM
Completed,0.75,5,2384,1,0.773,0.001,167,EDFSMode.RANDOM
Completed,0.74,19,4559,61,0.67,0.999,594,EDFSMode.RANDOM
Completed,0.75,14,3100,61,0.69,0.001,528,EDFSMode.RANDOM
Completed,0.75,30,3121,51,0.717,0.001,465,EDFSMode.RANDOM
