Status,ACCURACY,RUNTIME,recent_samples_size,n_subspaces,feature_percentage,alpha,window_size,mode
Completed,0.89,473,3347,10,0.354,0.999,904,EDFSMode.RANDOM
Completed,0.92,538,3704,90,0.12,0.999,549,EDFSMode.RANDOM
Completed,0.92,2556,3929,45,0.34,0.001,566,EDFSMode.RANDOM
Completed,0.91,1978,1009,50,0.34,0.001,568,EDFSMode.RANDOM
Completed,0.93,365,4319,10,0.198,0.001,387,EDFSMode.RANDOM
Completed,0.81,1763,219,93,0.339,0.999,593,EDFSMode.RANDOM
Completed,0.92,699,4618,63,0.001,0.001,351,EDFSMode.RANDOM
Completed,0.91,299,4756,35,0.039,0.001,842,EDFSMode.RANDOM
Completed,0.92,6309,3163,93,0.396,0.001,109,EDFSMode.RANDOM
Completed,0.91,675,4462,9,0.359,0.999,895,EDFSMode.RANDOM
Completed,0.89,391,739,100,0.103,0.001,583,EDFSMode.RANDOM
Completed,0.92,4519,4612,92,0.332,0.001,594,EDFSMode.RANDOM
Completed,0.91,632,2355,48,0.296,0.181,284,EDFSMode.RANDOM
Completed,0.91,298,4751,10,0.168,0.861,795,EDFSMode.RANDOM
Completed,0.91,1126,3335,46,0.342,0.845,857,EDFSMode.RANDOM
Completed,0.88,818,714,50,0.346,0.841,656,EDFSMode.RANDOM
Completed,0.9,1314,2926,30,0.314,0.173,786,EDFSMode.RANDOM
Completed,0.7,627,9,63,0.296,0.19,257,EDFSMode.RANDOM
Completed,0.92,2251,3106,75,0.276,0.202,100,EDFSMode.RANDOM
Completed,0.82,1011,340,26,0.329,0.158,1000,EDFSMode.RANDOM
Completed,0.92,2120,1348,23,0.307,0.167,100,EDFSMode.RANDOM
Completed,0.92,618,3916,39,0.298,0.178,684,EDFSMode.RANDOM
Completed,0.9,354,4076,11,0.054,0.655,1000,EDFSMode.RANDOM
Completed,0.92,1360,4421,10,0.335,0.203,172,EDFSMode.RANDOM
Completed,0.91,1206,5000,29,0.338,0.233,1000,EDFSMode.RANDOM
Completed,0.92,1344,4195,8,0.388,0.281,173,EDFSMode.RANDOM
Completed,0.78,419,226,11,0.343,0.163,867,EDFSMode.RANDOM
Completed,0.78,624,2036,100,0.236,0.205,333,EDFSMode.RANDOM
Completed,0.92,1282,2339,73,0.384,0.854,100,EDFSMode.RANDOM
Completed,0.91,911,4827,24,0.288,0.173,745,EDFSMode.RANDOM
Completed,0.91,2605,4595,70,0.266,0.206,792,EDFSMode.RANDOM
Completed,0.82,158,419,11,0.078,0.726,1000,EDFSMode.RANDOM
Completed,0.87,974,1068,12,0.203,0.86,1000,EDFSMode.RANDOM
Completed,0.68,91,51,29,0.001,0.457,1000,EDFSMode.RANDOM
Completed,0.83,1908,472,50,0.331,0.844,1000,EDFSMode.RANDOM
Completed,0.91,2168,4488,9,0.275,0.168,100,EDFSMode.RANDOM
Completed,0.92,1096,4610,24,0.084,0.809,189,EDFSMode.RANDOM
Completed,0.91,366,2950,14,0.363,0.471,507,EDFSMode.RANDOM
Completed,0.91,312,677,13,0.361,0.376,344,EDFSMode.RANDOM
Completed,0.91,411,1799,78,0.167,0.146,793,EDFSMode.RANDOM
Completed,0.93,512,3175,46,0.19,0.263,226,EDFSMode.RANDOM
Completed,0.91,349,937,5,0.364,0.44,497,EDFSMode.RANDOM
Completed,0.93,449,1264,15,0.194,0.422,281,EDFSMode.RANDOM
Completed,0.92,746,3726,18,0.365,0.487,607,EDFSMode.RANDOM
Completed,0.87,257,3008,73,0.167,0.409,1000,EDFSMode.RANDOM
Completed,0.92,882,1348,38,0.361,0.448,398,EDFSMode.RANDOM
Completed,0.91,323,616,8,0.361,0.349,415,EDFSMode.RANDOM
Completed,0.76,212,2226,78,0.155,0.671,997,EDFSMode.RANDOM
Completed,0.92,477,4052,72,0.172,0.001,497,EDFSMode.RANDOM
Completed,0.93,1331,671,14,0.203,0.058,100,EDFSMode.RANDOM
Completed,0.93,601,682,39,0.194,0.131,162,EDFSMode.RANDOM
Completed,0.89,304,674,13,0.369,0.515,494,EDFSMode.RANDOM
Completed,0.66,135,2034,79,0.065,0.472,832,EDFSMode.RANDOM
Completed,0.89,2067,3320,17,0.57,0.926,940,EDFSMode.RANDOM
Completed,0.78,216,2339,79,0.118,0.001,988,EDFSMode.RANDOM
Completed,0.91,344,744,65,0.182,0.46,430,EDFSMode.RANDOM
Completed,0.91,409,4824,100,0.162,0.988,862,EDFSMode.RANDOM
Completed,0.92,374,4838,79,0.001,0.414,532,EDFSMode.RANDOM
Completed,0.92,321,1812,27,0.174,0.279,579,EDFSMode.RANDOM
Completed,0.92,376,4817,21,0.176,0.015,464,EDFSMode.RANDOM
Completed,0.91,628,3041,50,0.286,0.975,443,EDFSMode.RANDOM
Completed,0.92,810,1840,50,0.285,0.864,515,EDFSMode.RANDOM
Completed,0.91,362,2979,100,0.001,0.126,447,EDFSMode.RANDOM
