Status,ACCURACY,RUNTIME,recent_samples_size,n_subspaces,feature_percentage,alpha,window_size,mode
Completed,0.36,1206,4770,56,0.001,0.999,406,EDFSMode.RANDOM
Completed,0.21,662,2797,75,0.133,0.189,733,EDFSMode.RANDOM
Completed,0.35,1210,1715,100,0.001,0.999,376,EDFSMode.RANDOM
Completed,0.37,1778,273,100,0.161,0.999,100,EDFSMode.RANDOM
Completed,0.32,1288,5000,100,0.274,0.999,549,EDFSMode.RANDOM
Completed,0.16,4990,1136,1,0.999,0.999,374,EDFSMode.RANDOM
Completed,0.45,3670,4494,69,0.306,0.999,152,EDFSMode.RANDOM
Completed,0.18,5186,5000,1,0.999,0.999,530,EDFSMode.RANDOM
Completed,0.39,1778,5000,93,0.314,0.999,333,EDFSMode.RANDOM
Completed,0.25,607,4822,33,0.282,0.338,999,EDFSMode.RANDOM
Completed,0.39,1119,885,11,0.087,0.241,178,EDFSMode.RANDOM
Completed,0.18,778,796,70,0.343,0.401,918,EDFSMode.RANDOM
Completed,0.48,5755,4749,98,0.039,0.053,106,EDFSMode.RANDOM
Completed,0.03,955,17,46,0.161,0.305,818,EDFSMode.RANDOM
Completed,0.22,1359,3727,2,0.227,0.774,958,EDFSMode.RANDOM
Completed,0.43,2177,1980,30,0.391,0.678,195,EDFSMode.RANDOM
Completed,0.37,1060,1509,54,0.106,0.527,319,EDFSMode.RANDOM
Completed,0.18,601,2438,20,0.005,0.44,544,EDFSMode.RANDOM
Completed,0.27,758,3270,48,0.372,0.108,632,EDFSMode.RANDOM
Completed,0.15,1071,495,4,0.297,0.566,693,EDFSMode.RANDOM
Completed,0.37,985,3807,26,0.071,0.98,330,EDFSMode.RANDOM
Completed,0.26,767,960,82,0.199,0.732,592,EDFSMode.RANDOM
Completed,0.15,6092,5000,1,0.999,0.001,1000,EDFSMode.RANDOM
Completed,0.36,1495,5000,100,0.001,0.999,385,EDFSMode.RANDOM
Completed,0.23,4256,4617,1,0.999,0.999,327,EDFSMode.RANDOM
Completed,0.04,4327,1,1,0.999,0.999,333,EDFSMode.RANDOM
Completed,0.37,1269,3187,73,0.001,0.001,278,EDFSMode.RANDOM
Completed,0.31,1151,4313,89,0.28,0.001,603,EDFSMode.RANDOM
Completed,0.48,2888,1270,15,0.067,0.757,100,EDFSMode.RANDOM
Completed,0.37,807,2700,14,0.029,0.568,196,EDFSMode.RANDOM
Completed,0.03,5671,2035,1,0.997,0.001,884,EDFSMode.RANDOM
Completed,0.36,1310,978,100,0.001,0.326,272,EDFSMode.RANDOM
Completed,0.3,893,3177,100,0.001,0.385,472,EDFSMode.RANDOM
Completed,0.47,2707,3064,54,0.104,0.999,100,EDFSMode.RANDOM
Completed,0.25,734,4172,64,0.001,0.999,1000,EDFSMode.RANDOM
Completed,0.24,782,1919,89,0.001,0.999,1000,EDFSMode.RANDOM
Completed,0.38,1412,3539,81,0.166,0.569,288,EDFSMode.RANDOM
Completed,0.4,1733,3922,60,0.158,0.982,260,EDFSMode.RANDOM
Completed,0.04,1377,1,100,0.228,0.252,317,EDFSMode.RANDOM
Completed,0.25,614,5000,49,0.001,0.001,1000,EDFSMode.RANDOM
Completed,0.28,803,3139,73,0.001,0.999,550,EDFSMode.RANDOM
Completed,0.18,979,2057,49,0.001,0.22,100,EDFSMode.RANDOM
Completed,0.36,1367,2586,100,0.154,0.29,182,EDFSMode.RANDOM
Completed,0.45,3167,3882,74,0.126,0.721,154,EDFSMode.RANDOM
Completed,0.33,1054,3565,77,0.062,0.71,435,EDFSMode.RANDOM
Completed,0.37,1890,4891,98,0.215,0.122,341,EDFSMode.RANDOM
Completed,0.48,3154,3237,37,0.001,0.749,100,EDFSMode.RANDOM
Completed,0.36,1201,3607,79,0.002,0.549,352,EDFSMode.RANDOM
Completed,0.45,2864,3499,56,0.001,0.999,141,EDFSMode.RANDOM
Completed,0.37,1445,4777,76,0.135,0.587,359,EDFSMode.RANDOM
Completed,0.3,926,1595,100,0.138,0.527,540,EDFSMode.RANDOM
Completed,0.48,4562,1220,92,0.236,0.525,100,EDFSMode.RANDOM
Completed,0.37,1323,1388,100,0.183,0.502,314,EDFSMode.RANDOM
Completed,0.48,2783,3258,23,0.057,0.986,100,EDFSMode.RANDOM
Completed,0.31,1174,4469,100,0.001,0.436,608,EDFSMode.RANDOM
Completed,0.46,2740,957,46,0.175,0.666,100,EDFSMode.RANDOM
Completed,0.28,1018,1651,98,0.113,0.571,683,EDFSMode.RANDOM
Completed,0.34,1626,1432,100,0.153,0.552,405,EDFSMode.RANDOM
Completed,0.34,1710,4517,100,0.001,0.345,456,EDFSMode.RANDOM
Completed,0.49,6914,1784,10,0.377,0.999,100,EDFSMode.RANDOM
Completed,0.29,885,4208,100,0.06,0.497,749,EDFSMode.RANDOM
Completed,0.47,3840,1352,42,0.272,0.676,100,EDFSMode.RANDOM
Completed,0.42,2082,3082,1,0.002,0.999,100,EDFSMode.RANDOM
Completed,0.34,937,419,1,0.001,0.495,100,EDFSMode.RANDOM
Completed,0.47,4498,1243,100,0.36,0.439,100,EDFSMode.RANDOM
Completed,0.27,652,1114,52,0.001,0.32,616,EDFSMode.RANDOM
Completed,0.39,996,948,50,0.141,0.612,211,EDFSMode.RANDOM
Completed,0.27,802,5000,100,0.001,0.712,839,EDFSMode.RANDOM
Completed,0.4,2212,1344,100,0.196,0.467,225,EDFSMode.RANDOM
Completed,0.47,2703,3256,9,0.138,0.777,100,EDFSMode.RANDOM
Completed,0.31,1100,4015,100,0.035,0.001,643,EDFSMode.RANDOM
Completed,0.47,4789,1254,16,0.457,0.999,100,EDFSMode.RANDOM
Completed,0.43,2943,4662,100,0.001,0.465,180,EDFSMode.RANDOM
Completed,0.27,941,1322,100,0.014,0.621,673,EDFSMode.RANDOM
Completed,0.31,1374,4487,64,0.351,0.612,627,EDFSMode.RANDOM
Completed,0.35,1392,4201,100,0.04,0.024,433,EDFSMode.RANDOM
Completed,0.41,1600,3862,22,0.396,0.715,248,EDFSMode.RANDOM
Completed,0.22,1580,3043,1,0.286,0.65,365,EDFSMode.RANDOM
Completed,0.36,1110,1550,90,0.112,0.999,365,EDFSMode.RANDOM
Completed,0.41,1554,3415,27,0.047,0.844,213,EDFSMode.RANDOM
Completed,0.48,3163,3364,28,0.074,0.797,100,EDFSMode.RANDOM
Completed,0.24,673,3804,58,0.001,0.001,966,EDFSMode.RANDOM
Completed,0.07,1880,981,1,0.001,0.001,910,EDFSMode.RANDOM
Completed,0.23,899,1459,56,0.161,0.001,936,EDFSMode.RANDOM
Completed,0.19,760,997,100,0.138,0.999,970,EDFSMode.RANDOM
Completed,0.48,4825,1598,63,0.157,0.954,100,EDFSMode.RANDOM
Completed,0.05,1724,848,1,0.001,0.001,366,EDFSMode.RANDOM
Completed,0.13,3813,4545,1,0.428,0.001,892,EDFSMode.RANDOM
Completed,0.41,2347,1736,78,0.124,0.999,233,EDFSMode.RANDOM
Completed,0.32,1164,1549,83,0.122,0.999,463,EDFSMode.RANDOM
Completed,0.25,610,3653,21,0.001,0.437,914,EDFSMode.RANDOM
Completed,0.37,1102,3348,30,0.052,0.925,291,EDFSMode.RANDOM
Completed,0.08,1831,3285,1,0.001,0.999,1000,EDFSMode.RANDOM
Completed,0.33,1300,3495,100,0.306,0.001,434,EDFSMode.RANDOM
Completed,0.42,1922,1393,5,0.001,0.783,162,EDFSMode.RANDOM
Completed,0.38,1408,1911,78,0.179,0.661,330,EDFSMode.RANDOM
Completed,0.27,709,4442,56,0.109,0.999,810,EDFSMode.RANDOM
Completed,0.3,928,1547,70,0.137,0.001,579,EDFSMode.RANDOM
Completed,0.48,3293,1406,7,0.003,0.955,100,EDFSMode.RANDOM
Completed,0.42,1395,1481,20,0.001,0.736,216,EDFSMode.RANDOM
Completed,0.35,1219,3966,63,0.187,0.999,438,EDFSMode.RANDOM
Completed,0.07,1070,2086,84,0.083,0.001,396,EDFSMode.RANDOM
Completed,0.48,4948,3897,13,0.001,0.892,110,EDFSMode.RANDOM
Completed,0.21,907,3367,100,0.145,0.569,1000,EDFSMode.RANDOM
Completed,0.39,1121,873,66,0.001,0.001,195,EDFSMode.RANDOM
Completed,0.26,831,4257,70,0.107,0.596,911,EDFSMode.RANDOM
Completed,0.29,867,1771,60,0.142,0.999,660,EDFSMode.RANDOM
Completed,0.25,795,5000,78,0.137,0.999,1000,EDFSMode.RANDOM
Completed,0.27,553,4850,26,0.076,0.999,854,EDFSMode.RANDOM
Completed,0.28,1052,4120,15,0.149,0.999,756,EDFSMode.RANDOM
Completed,0.29,784,4315,60,0.001,0.999,745,EDFSMode.RANDOM
Completed,0.26,1048,1268,100,0.257,0.001,690,EDFSMode.RANDOM
Completed,0.3,1104,4346,93,0.237,0.999,686,EDFSMode.RANDOM
Completed,0.28,780,4653,82,0.09,0.018,791,EDFSMode.RANDOM
