Status,ACCURACY,RUNTIME,recent_samples_size,n_subspaces,feature_percentage,alpha,window_size,mode
Completed,0.91,0,1069,17,0.001,0.139,973,EDFSMode.RANDOM
Completed,0.91,0,120,45,0.001,0.936,167,EDFSMode.RANDOM
Completed,0.91,0,4943,27,0.001,0.882,547,EDFSMode.RANDOM
Completed,0.91,0,3242,1,0.001,0.835,1000,EDFSMode.RANDOM
Completed,0.91,1,1417,47,0.001,0.936,150,EDFSMode.RANDOM
Completed,0.91,2,3062,81,0.001,0.999,221,EDFSMode.RANDOM
Completed,0.91,2,2718,1,0.999,0.999,100,EDFSMode.RANDOM
Completed,0.91,0,2986,72,0.001,0.999,282,EDFSMode.RANDOM
Completed,0.91,1,3063,99,0.001,0.999,154,EDFSMode.RANDOM
Completed,0.91,2,2561,1,0.001,0.999,101,EDFSMode.RANDOM
Completed,0.91,1,2624,1,0.001,0.999,196,EDFSMode.RANDOM
Completed,0.91,0,3153,69,0.001,0.999,331,EDFSMode.RANDOM
Completed,0.91,1,2971,79,0.001,0.999,252,EDFSMode.RANDOM
Completed,0.92,3,3056,100,0.001,0.999,119,EDFSMode.RANDOM
Completed,0.91,1,2052,1,0.999,0.902,100,EDFSMode.RANDOM
Completed,0.91,0,2227,1,0.001,0.999,254,EDFSMode.RANDOM
Completed,0.91,0,1,100,0.001,0.001,665,EDFSMode.RANDOM
Completed,0.9,1,2869,100,0.001,0.999,191,EDFSMode.RANDOM
Completed,0.91,0,1,1,0.001,0.999,1000,EDFSMode.RANDOM
Completed,0.91,0,5000,60,0.001,0.999,364,EDFSMode.RANDOM
Completed,0.91,0,1184,100,0.001,0.999,1000,EDFSMode.RANDOM
Completed,0.91,2,4409,1,0.999,0.999,183,EDFSMode.RANDOM
Completed,0.91,0,1047,1,0.999,0.001,627,EDFSMode.RANDOM
Completed,0.91,1,2856,1,0.001,0.999,155,EDFSMode.RANDOM
Completed,0.91,0,1,1,0.001,0.999,799,EDFSMode.RANDOM
Completed,0.91,0,1,1,0.999,0.999,597,EDFSMode.RANDOM
Completed,0.91,2,3337,1,0.999,0.999,100,EDFSMode.RANDOM
Completed,0.91,0,5000,100,0.001,0.247,1000,EDFSMode.RANDOM
Completed,0.91,0,5000,44,0.001,0.001,816,EDFSMode.RANDOM
Completed,0.91,0,1,1,0.999,0.001,652,EDFSMode.RANDOM
Completed,0.91,0,1282,1,0.001,0.001,675,EDFSMode.RANDOM
Completed,0.91,2,1363,1,0.999,0.999,100,EDFSMode.RANDOM
Completed,0.91,0,2904,1,0.999,0.999,281,EDFSMode.RANDOM
Completed,0.91,0,1,61,0.001,0.999,1000,EDFSMode.RANDOM
Completed,0.91,0,1,1,0.001,0.001,579,EDFSMode.RANDOM
Completed,0.91,0,2330,1,0.999,0.999,469,EDFSMode.RANDOM
Completed,0.91,0,2778,100,0.001,0.999,881,EDFSMode.RANDOM
Completed,0.91,0,3880,1,0.999,0.001,495,EDFSMode.RANDOM
Completed,0.91,0,5000,1,0.001,0.999,384,EDFSMode.RANDOM
Completed,0.91,0,5000,100,0.001,0.999,273,EDFSMode.RANDOM
Completed,0.91,0,5000,100,0.001,0.999,1000,EDFSMode.RANDOM
Completed,0.91,0,1687,1,0.999,0.999,1000,EDFSMode.RANDOM
Completed,0.91,0,5000,100,0.001,0.001,311,EDFSMode.RANDOM
Completed,0.91,0,2683,62,0.001,0.999,1000,EDFSMode.RANDOM
Completed,0.91,0,1,100,0.001,0.001,896,EDFSMode.RANDOM
Completed,0.91,0,2308,1,0.999,0.001,1000,EDFSMode.RANDOM
Completed,0.91,0,3840,100,0.001,0.999,329,EDFSMode.RANDOM
Completed,0.91,3,5000,1,0.999,0.001,266,EDFSMode.RANDOM
Completed,0.91,0,3092,1,0.001,0.999,409,EDFSMode.RANDOM
Completed,0.91,0,2877,1,0.999,0.999,713,EDFSMode.RANDOM
Completed,0.91,0,3832,100,0.001,0.001,1000,EDFSMode.RANDOM
Completed,0.91,0,1462,59,0.001,0.999,802,EDFSMode.RANDOM
Completed,0.91,0,5000,1,0.999,0.001,1000,EDFSMode.RANDOM
Completed,0.91,0,3148,100,0.001,0.001,309,EDFSMode.RANDOM
Completed,0.91,0,1,1,0.999,0.999,1000,EDFSMode.RANDOM
Completed,0.91,0,1823,100,0.001,0.001,1000,EDFSMode.RANDOM
Completed,0.91,2,5000,1,0.001,0.999,192,EDFSMode.RANDOM
Completed,0.91,0,1,1,0.256,0.001,1000,EDFSMode.RANDOM
Completed,0.91,0,1,1,0.001,0.999,289,EDFSMode.RANDOM
Completed,0.91,0,2465,1,0.001,0.001,1000,EDFSMode.RANDOM
Completed,0.91,0,2680,1,0.999,0.001,491,EDFSMode.RANDOM
Completed,0.91,0,4154,100,0.001,0.001,843,EDFSMode.RANDOM
Completed,0.91,0,5000,1,0.999,0.999,1000,EDFSMode.RANDOM
Completed,0.91,0,3642,100,0.001,0.999,790,EDFSMode.RANDOM
Completed,0.91,0,2964,1,0.001,0.001,338,EDFSMode.RANDOM
Completed,0.91,0,5000,1,0.532,0.001,933,EDFSMode.RANDOM
Completed,0.91,2,5000,100,0.001,0.999,185,EDFSMode.RANDOM
Completed,0.91,0,2835,1,0.589,0.999,1000,EDFSMode.RANDOM
Completed,0.91,0,3181,1,0.999,0.999,593,EDFSMode.RANDOM
Completed,0.91,0,938,1,0.999,0.999,860,EDFSMode.RANDOM
Completed,0.91,0,1,100,0.001,0.999,925,EDFSMode.RANDOM
Completed,0.91,0,2603,1,0.593,0.001,915,EDFSMode.RANDOM
Completed,0.91,0,5000,38,0.001,0.999,722,EDFSMode.RANDOM
Completed,0.91,3,4530,1,0.001,0.999,265,EDFSMode.RANDOM
Completed,0.91,8,1,100,0.999,0.001,1000,EDFSMode.RANDOM
Completed,0.91,0,3747,72,0.001,0.001,892,EDFSMode.RANDOM
Completed,0.91,0,2024,1,0.001,0.999,1000,EDFSMode.RANDOM
Completed,0.91,0,4747,1,0.999,0.999,625,EDFSMode.RANDOM
Completed,0.91,2,4185,1,0.001,0.001,232,EDFSMode.RANDOM
Completed,0.91,0,866,1,0.999,0.001,1000,EDFSMode.RANDOM
Completed,0.91,0,283,1,0.707,0.999,954,EDFSMode.RANDOM
Completed,0.91,0,3635,1,0.001,0.999,272,EDFSMode.RANDOM
Completed,0.91,0,3868,1,0.72,0.999,894,EDFSMode.RANDOM
