Status,ACCURACY,RUNTIME,recent_samples_size,n_subspaces,feature_percentage,alpha,window_size,mode
Completed,0.6,44,3411,8,0.999,0.001,515,EDFSMode.RANDOM
Completed,0.61,156,3228,53,0.899,0.001,366,EDFSMode.RANDOM
Completed,0.63,31,3103,26,0.001,0.001,360,EDFSMode.RANDOM
Completed,0.61,528,3239,44,0.999,0.001,393,EDFSMode.RANDOM
Completed,0.63,446,2864,9,0.999,0.001,234,EDFSMode.RANDOM
Completed,0.72,117,3605,97,0.001,0.392,100,EDFSMode.RANDOM
Completed,0.64,330,2803,76,0.781,0.406,313,EDFSMode.RANDOM
Completed,0.69,423,3452,16,0.601,0.485,171,EDFSMode.RANDOM
Completed,0.54,27,5000,82,0.001,0.058,968,EDFSMode.RANDOM
Completed,0.58,1363,5000,64,0.999,0.333,750,EDFSMode.RANDOM
Completed,0.69,581,3763,16,0.53,0.502,111,EDFSMode.RANDOM
Completed,0.55,43,5000,28,0.454,0.12,983,EDFSMode.RANDOM
Completed,0.62,96,5000,40,0.999,0.19,741,EDFSMode.RANDOM
Completed,0.62,28,5000,100,0.001,0.001,850,EDFSMode.RANDOM
Completed,0.63,190,5000,77,0.777,0.592,320,EDFSMode.RANDOM
Completed,0.63,160,2391,15,0.646,0.408,197,EDFSMode.RANDOM
Completed,0.63,41,4838,100,0.001,0.322,486,EDFSMode.RANDOM
Completed,0.58,31,5000,1,0.742,0.001,899,EDFSMode.RANDOM
Completed,0.58,239,3411,10,0.999,0.224,799,EDFSMode.RANDOM
Completed,0.63,660,1829,86,0.999,0.332,312,EDFSMode.RANDOM
Completed,0.57,36,4572,30,0.001,0.361,558,EDFSMode.RANDOM
Completed,0.7,2325,4758,100,0.999,0.596,181,EDFSMode.RANDOM
Completed,0.55,139,4330,82,0.999,0.048,1000,EDFSMode.RANDOM
Completed,0.55,28,5000,56,0.078,0.401,1000,EDFSMode.RANDOM
Completed,0.6,149,5000,100,0.526,0.235,592,EDFSMode.RANDOM
Completed,0.69,274,4834,17,0.583,0.733,189,EDFSMode.RANDOM
Completed,0.72,92,3481,20,0.001,0.452,100,EDFSMode.RANDOM
Completed,0.58,68,4237,26,0.839,0.27,738,EDFSMode.RANDOM
Completed,0.55,26,4611,1,0.597,0.321,1000,EDFSMode.RANDOM
Completed,0.61,239,4647,23,0.656,0.168,833,EDFSMode.RANDOM
Completed,0.55,23,5000,100,0.001,0.342,1000,EDFSMode.RANDOM
Completed,0.58,1324,5000,100,0.999,0.249,890,EDFSMode.RANDOM
Completed,0.55,24,4055,1,0.999,0.275,1000,EDFSMode.RANDOM
Completed,0.55,89,5000,100,0.404,0.137,1000,EDFSMode.RANDOM
Completed,0.58,818,4798,70,0.999,0.094,894,EDFSMode.RANDOM
Completed,0.55,23,4397,41,0.001,0.001,1000,EDFSMode.RANDOM
Completed,0.65,90,4702,18,0.999,0.364,402,EDFSMode.RANDOM
Completed,0.62,86,5000,29,0.999,0.191,629,EDFSMode.RANDOM
Completed,0.66,905,3898,100,0.446,0.364,252,EDFSMode.RANDOM
Completed,0.6,46,5000,21,0.164,0.001,848,EDFSMode.RANDOM
Completed,0.61,142,2962,78,0.677,0.578,560,EDFSMode.RANDOM
Completed,0.68,62,3236,100,0.001,0.343,171,EDFSMode.RANDOM
Completed,0.57,31,4921,71,0.001,0.001,803,EDFSMode.RANDOM
Completed,0.66,221,4925,18,0.825,0.391,291,EDFSMode.RANDOM
Completed,0.63,108,4076,64,0.387,0.325,422,EDFSMode.RANDOM
Completed,0.67,425,3824,100,0.291,0.397,204,EDFSMode.RANDOM
Completed,0.63,38,3715,1,0.726,0.322,476,EDFSMode.RANDOM
Completed,0.61,39,4818,78,0.001,0.561,534,EDFSMode.RANDOM
Completed,0.64,98,2602,65,0.584,0.529,510,EDFSMode.RANDOM
Completed,0.62,89,4993,27,0.999,0.621,521,EDFSMode.RANDOM
Completed,0.59,50,3402,46,0.258,0.284,555,EDFSMode.RANDOM
Completed,0.67,48,2107,1,0.39,0.408,100,EDFSMode.RANDOM
Completed,0.58,37,4495,1,0.001,0.682,572,EDFSMode.RANDOM
Completed,0.7,91,4919,87,0.001,0.539,164,EDFSMode.RANDOM
Completed,0.58,36,3812,79,0.001,0.795,595,EDFSMode.RANDOM
Completed,0.62,99,4990,75,0.482,0.122,629,EDFSMode.RANDOM
Completed,0.58,23,4715,23,0.001,0.001,876,EDFSMode.RANDOM
Completed,0.6,30,5000,79,0.001,0.001,716,EDFSMode.RANDOM
Completed,0.61,202,4439,100,0.787,0.405,463,EDFSMode.RANDOM
Completed,0.56,21,800,1,0.752,0.894,587,EDFSMode.RANDOM
Completed,0.58,348,4963,26,0.999,0.001,886,EDFSMode.RANDOM
Completed,0.66,264,5000,100,0.481,0.641,194,EDFSMode.RANDOM
Completed,0.67,571,3356,100,0.254,0.021,268,EDFSMode.RANDOM
Completed,0.7,107,4900,11,0.029,0.66,127,EDFSMode.RANDOM
Completed,0.57,36,5000,31,0.196,0.001,895,EDFSMode.RANDOM
Completed,0.61,47,5000,1,0.275,0.303,394,EDFSMode.RANDOM
Completed,0.59,145,3580,47,0.796,0.466,465,EDFSMode.RANDOM
Completed,0.59,181,4445,100,0.73,0.146,665,EDFSMode.RANDOM
Completed,0.58,97,4934,100,0.308,0.422,478,EDFSMode.RANDOM
Completed,0.6,40,4827,31,0.001,0.412,460,EDFSMode.RANDOM
Completed,0.69,124,4838,6,0.809,0.79,169,EDFSMode.RANDOM
Completed,0.68,45,2700,1,0.257,0.394,162,EDFSMode.RANDOM
Completed,0.59,43,4286,23,0.146,0.457,470,EDFSMode.RANDOM
Completed,0.56,29,4249,20,0.001,0.049,674,EDFSMode.RANDOM
Completed,0.63,32,4558,1,0.417,0.001,827,EDFSMode.RANDOM
Completed,0.57,43,5000,22,0.327,0.001,662,EDFSMode.RANDOM
Completed,0.59,66,3856,100,0.2,0.427,548,EDFSMode.RANDOM
Completed,0.63,55,3878,1,0.81,0.416,387,EDFSMode.RANDOM
Completed,0.65,53,3681,100,0.001,0.246,376,EDFSMode.RANDOM
Completed,0.56,30,4169,1,0.999,0.263,668,EDFSMode.RANDOM
Completed,0.57,239,4762,100,0.748,0.999,655,EDFSMode.RANDOM
Completed,0.71,127,4580,1,0.239,0.703,130,EDFSMode.RANDOM
Completed,0.63,44,3784,1,0.457,0.337,334,EDFSMode.RANDOM
Completed,0.62,66,4076,100,0.202,0.18,741,EDFSMode.RANDOM
Completed,0.57,129,4517,100,0.639,0.434,684,EDFSMode.RANDOM
Completed,0.57,31,3748,1,0.437,0.289,891,EDFSMode.RANDOM
Completed,0.63,108,4784,100,0.202,0.271,424,EDFSMode.RANDOM
Completed,0.51,37,1218,19,0.786,0.142,1000,EDFSMode.RANDOM
Completed,0.67,118,1237,1,0.798,0.001,171,EDFSMode.RANDOM
Completed,0.7,153,4827,1,0.001,0.487,100,EDFSMode.RANDOM
Completed,0.65,129,4766,58,0.869,0.423,499,EDFSMode.RANDOM
Completed,0.69,271,5000,12,0.799,0.999,189,EDFSMode.RANDOM
Completed,0.57,33,5000,57,0.001,0.066,894,EDFSMode.RANDOM
Completed,0.57,86,4935,100,0.328,0.001,683,EDFSMode.RANDOM
Completed,0.59,72,3309,100,0.209,0.001,590,EDFSMode.RANDOM
Completed,0.65,53,4487,1,0.627,0.436,380,EDFSMode.RANDOM
Completed,0.64,187,4027,64,0.729,0.419,317,EDFSMode.RANDOM
Completed,0.71,2244,5000,100,0.466,0.828,100,EDFSMode.RANDOM
Completed,0.63,119,4271,84,0.348,0.365,456,EDFSMode.RANDOM
Completed,0.65,82,5000,1,0.586,0.838,185,EDFSMode.RANDOM
Completed,0.64,200,5000,67,0.999,0.433,335,EDFSMode.RANDOM
Completed,0.64,40,4107,57,0.001,0.389,539,EDFSMode.RANDOM
Completed,0.59,115,2568,62,0.999,0.999,1000,EDFSMode.RANDOM
Completed,0.55,65,5000,79,0.3,0.999,1000,EDFSMode.RANDOM
Completed,0.55,48,5000,47,0.412,0.999,1000,EDFSMode.RANDOM
Completed,0.61,105,4886,36,0.568,0.646,551,EDFSMode.RANDOM
