Status,ACCURACY,RUNTIME,recent_samples_size,n_subspaces,feature_percentage,alpha,window_size,mode
Completed,0.57,2,2902,1,0.778,0.354,100,EDFSMode.RANDOM
Completed,0.56,3,4158,100,0.256,0.204,345,EDFSMode.RANDOM
Completed,0.57,4,4161,100,0.001,0.322,100,EDFSMode.RANDOM
Completed,0.57,3,4869,1,0.603,0.289,100,EDFSMode.RANDOM
Completed,0.57,3,4667,1,0.999,0.783,100,EDFSMode.RANDOM
Completed,0.56,1,4440,19,0.001,0.001,289,EDFSMode.RANDOM
Completed,0.57,2,5000,1,0.001,0.716,100,EDFSMode.RANDOM
Completed,0.57,4,5000,55,0.001,0.58,100,EDFSMode.RANDOM
Completed,0.56,1,4987,1,0.001,0.236,342,EDFSMode.RANDOM
Completed,0.56,5,5000,100,0.479,0.835,291,EDFSMode.RANDOM
Completed,0.56,1,5000,1,0.999,0.248,251,EDFSMode.RANDOM
Completed,0.57,3,3642,100,0.001,0.766,100,EDFSMode.RANDOM
Completed,0.56,2,4838,1,0.999,0.763,211,EDFSMode.RANDOM
Completed,0.56,2,4286,100,0.001,0.481,328,EDFSMode.RANDOM
Completed,0.56,1,4263,45,0.001,0.999,299,EDFSMode.RANDOM
Completed,0.57,3,5000,37,0.001,0.001,100,EDFSMode.RANDOM
Completed,0.57,4,5000,48,0.001,0.404,100,EDFSMode.RANDOM
Completed,0.57,4,5000,43,0.001,0.748,100,EDFSMode.RANDOM
Completed,0.55,3,3802,64,0.506,0.842,350,EDFSMode.RANDOM
Completed,0.56,1,4893,1,0.001,0.14,421,EDFSMode.RANDOM
Completed,0.56,4,4109,37,0.999,0.817,275,EDFSMode.RANDOM
Completed,0.57,3,5000,1,0.001,0.331,100,EDFSMode.RANDOM
Completed,0.56,2,5000,55,0.001,0.608,218,EDFSMode.RANDOM
Completed,0.56,1,4156,1,0.001,0.001,370,EDFSMode.RANDOM
Completed,0.56,4,3947,41,0.508,0.999,399,EDFSMode.RANDOM
Completed,0.56,1,5000,24,0.001,0.001,432,EDFSMode.RANDOM
Completed,0.57,4,5000,100,0.001,0.611,100,EDFSMode.RANDOM
Completed,0.56,6,3941,66,0.999,0.71,315,EDFSMode.RANDOM
Completed,0.55,1,4615,100,0.001,0.641,1000,EDFSMode.RANDOM
Completed,0.56,1,4083,1,0.999,0.384,313,EDFSMode.RANDOM
Completed,0.56,4,4368,100,0.458,0.87,374,EDFSMode.RANDOM
Completed,0.56,2,4998,63,0.001,0.4,227,EDFSMode.RANDOM
Completed,0.57,3,3785,1,0.286,0.612,100,EDFSMode.RANDOM
Completed,0.55,0,2390,1,0.112,0.303,1000,EDFSMode.RANDOM
Completed,0.56,7,5000,23,0.405,0.001,402,EDFSMode.RANDOM
Completed,0.56,7,4050,61,0.905,0.449,183,EDFSMode.RANDOM
Completed,0.55,1,305,100,0.184,0.682,680,EDFSMode.RANDOM
Completed,0.56,1,3277,1,0.514,0.58,377,EDFSMode.RANDOM
Completed,0.56,7,1387,58,0.949,0.422,256,EDFSMode.RANDOM
Completed,0.56,1,4350,1,0.338,0.148,384,EDFSMode.RANDOM
Completed,0.57,4,4497,1,0.336,0.146,100,EDFSMode.RANDOM
Completed,0.55,1,485,1,0.359,0.999,753,EDFSMode.RANDOM
Completed,0.55,0,213,1,0.609,0.001,1000,EDFSMode.RANDOM
Completed,0.57,7,5000,66,0.29,0.529,100,EDFSMode.RANDOM
Completed,0.56,1,5000,1,0.001,0.999,384,EDFSMode.RANDOM
Completed,0.57,4,4584,26,0.264,0.369,100,EDFSMode.RANDOM
Completed,0.56,11,4861,100,0.562,0.001,415,EDFSMode.RANDOM
Completed,0.57,12,4249,58,0.96,0.447,139,EDFSMode.RANDOM
Completed,0.55,2,662,41,0.568,0.001,689,EDFSMode.RANDOM
Completed,0.55,2,4577,1,0.398,0.615,794,EDFSMode.RANDOM
Completed,0.55,1,4597,45,0.001,0.999,879,EDFSMode.RANDOM
Completed,0.57,6,5000,45,0.382,0.757,100,EDFSMode.RANDOM
Completed,0.55,2,4885,1,0.396,0.253,853,EDFSMode.RANDOM
Completed,0.57,2,4665,1,0.677,0.608,134,EDFSMode.RANDOM
Completed,0.55,0,4025,1,0.411,0.676,1000,EDFSMode.RANDOM
Completed,0.56,1,5000,1,0.001,0.711,414,EDFSMode.RANDOM
Completed,0.55,0,2256,1,0.394,0.999,1000,EDFSMode.RANDOM
Completed,0.55,46,337,30,0.652,0.001,909,EDFSMode.RANDOM
Completed,0.55,1,5000,10,0.001,0.999,730,EDFSMode.RANDOM
Completed,0.57,2,4814,1,0.286,0.3,159,EDFSMode.RANDOM
Completed,0.55,1,2496,49,0.131,0.999,1000,EDFSMode.RANDOM
Completed,0.55,2,4705,100,0.162,0.722,728,EDFSMode.RANDOM
Completed,0.56,1,5000,100,0.001,0.999,376,EDFSMode.RANDOM
Completed,0.56,3,4403,100,0.269,0.607,413,EDFSMode.RANDOM
Completed,0.55,1,2415,69,0.001,0.183,369,EDFSMode.RANDOM
Completed,0.56,2,4400,71,0.001,0.001,188,EDFSMode.RANDOM
Completed,0.56,7,4494,100,0.999,0.843,374,EDFSMode.RANDOM
Completed,0.55,79,641,100,0.39,0.001,898,EDFSMode.RANDOM
Completed,0.56,14,4179,100,0.254,0.001,210,EDFSMode.RANDOM
Completed,0.55,1,5000,1,0.999,0.999,443,EDFSMode.RANDOM
Completed,0.55,0,2171,1,0.001,0.001,1000,EDFSMode.RANDOM
Completed,0.57,2,4359,1,0.001,0.862,162,EDFSMode.RANDOM
Completed,0.56,2,5000,1,0.999,0.001,398,EDFSMode.RANDOM
Completed,0.57,3,5000,1,0.999,0.188,100,EDFSMode.RANDOM
