source,accuracy_estimation,runtime_estimation,ACCURACY,RUNTIME,Status,recent_samples_size,n_samples,n_permutations,update_interval,n_consecutive_deviations
benchmark_pareto,0.59,74.0,0.59,38.0,Completed,2628.0,1.0,402.0,227.0,130.0
benchmark_pareto,0.61,94.0,0.61,51.0,Completed,3335.0,27.0,693.0,188.0,182.0
benchmark_pareto,0.63,135.0,0.63,86.0,Completed,28.0,140.0,424.0,117.0,100.0
benchmark_pareto,0.66,148.0,0.66,89.0,Completed,323.0,107.0,789.0,167.0,151.0
benchmark_pareto,0.67,151.0,0.67,90.0,Completed,2412.0,18.0,652.0,136.0,123.0
benchmark_pareto,0.68,208.0,0.68,124.0,Completed,2428.0,192.0,295.0,229.0,179.0
benchmark_pareto,0.69,295.0,0.69,167.0,Completed,2086.0,30.0,720.0,154.0,5.0
benchmark_pareto,0.7,367.0,0.7,238.0,Completed,263.0,384.0,321.0,236.0,78.0
benchmark_pareto,0.72,395.0,0.72,259.0,Completed,2185.0,1.0,1000.0,250.0,1.0
benchmark_pareto,0.73,443.0,0.73,291.0,Completed,2266.0,136.0,986.0,212.0,26.0
benchmark_pareto,0.75,561.0,0.75,358.0,Completed,455.0,241.0,143.0,197.0,80.0
benchmark_pareto,0.77,774.0,0.77,476.0,Completed,2534.0,180.0,546.0,130.0,78.0
benchmark_pareto,0.78,811.0,0.78,581.0,Completed,2519.0,167.0,618.0,217.0,8.0
benchmark_pareto,0.79,1066.0,0.79,642.0,Completed,2581.0,138.0,974.0,204.0,6.0
benchmark_pareto,0.8,1150.0,0.8,750.0,Completed,398.0,581.0,574.0,138.0,10.0
benchmark_pareto,0.84,1559.0,0.84,1163.0,Completed,194.0,24.0,216.0,37.0,2.0
benchmark_pareto,0.86,3980.0,0.86,3163.0,Completed,506.0,244.0,230.0,27.0,2.0
benchmark_max_rt,,14363.0,,9526.0,Completed,3377.0,1023.0,260.0,9.0,2.0
benchmark_min_acc,0.57,,0.57,,Completed,2019.0,3439.0,810.0,211.0,167.0
paper_default,-1.0,-1.0,0.83,7369.0,Completed,2000.0,400.0,20.0,50.0,3.0
paper_default,-1.0,-1.0,0.83,7381.0,Completed,2000.0,800.0,20.0,50.0,3.0
paper_default,-1.0,-1.0,0.83,6725.0,Completed,2000.0,1200.0,20.0,50.0,3.0
paper_default,-1.0,-1.0,0.82,6434.0,Completed,2000.0,1600.0,20.0,50.0,3.0
paper_default,-1.0,-1.0,0.82,6177.0,Completed,2000.0,2000.0,20.0,50.0,3.0
recommendation_system,0.407998838,0.791167356,0.59,35.0,Completed,128.0,7.0,571.0,233.0,178.0
recommendation_system,0.561972314,0.780895104,0.65,58.0,Completed,16.0,4.0,580.0,81.0,13.0
recommendation_system,0.572779678,0.771402377,0.66,83.0,Completed,32.0,11.0,195.0,95.0,12.0
recommendation_system,0.713270384,0.704784722,0.67,85.0,Completed,4.0,99.0,193.0,76.0,1.0
recommendation_system,0.735283338,0.682466346,0.73,239.0,Completed,59.0,14.0,748.0,99.0,1.0
recommendation_system,0.7595111,0.656635958,0.79,520.0,Completed,95.0,121.0,250.0,93.0,2.0
recommendation_system,0.776059031,0.62052421,0.8,591.0,Completed,102.0,168.0,732.0,91.0,1.0
recommendation_system,0.776127739,0.607787127,0.82,640.0,Completed,156.0,119.0,859.0,80.0,2.0
recommendation_system,0.808660891,0.535987921,0.83,877.0,Completed,271.0,143.0,807.0,93.0,1.0
recommendation_system,0.40264234,0.787327385,0.6,38.0,Completed,95.0,25.0,266.0,221.0,173.0
recommendation_system,0.534810886,0.783970897,0.62,39.0,Completed,11.0,2.0,175.0,93.0,27.0
recommendation_system,0.642886911,0.73083945,0.68,112.0,Completed,35.0,3.0,285.0,103.0,2.0
recommendation_system,0.690194393,0.713266127,0.63,50.0,Completed,3.0,11.0,819.0,77.0,1.0
recommendation_system,0.691610179,0.706483432,0.71,175.0,Completed,22.0,133.0,224.0,87.0,3.0
recommendation_system,0.691915663,0.706122426,0.72,193.0,Completed,31.0,124.0,184.0,98.0,3.0
recommendation_system,0.727118295,0.683417722,0.74,267.0,Completed,52.0,107.0,259.0,101.0,2.0
recommendation_system,0.748033555,0.667282579,0.75,282.0,Completed,34.0,102.0,275.0,76.0,1.0
recommendation_system,0.764190836,0.629309025,0.77,482.0,Completed,96.0,83.0,802.0,96.0,1.0
recommendation_system,0.769213819,0.628139498,0.78,485.0,Completed,46.0,167.0,692.0,65.0,1.0
recommendation_system,0.813901069,0.498073071,0.84,1123.0,Completed,325.0,150.0,761.0,78.0,1.0
