Status,ACCURACY,RUNTIME,recent_samples_size,n_reference_samples,recent_samples_proportion,threshold
Completed,0.26,583,1585,1554,0.131,0.553
Completed,0.17,434,1817,3569,0.507,0.007
Completed,0.18,448,2650,1371,0.442,0.774
Completed,0.16,426,4740,4091,0.894,0.396
Completed,0.25,544,782,664,0.086,0.636
Completed,0.03,758,116,4558,0.295,0.607
Completed,0.41,1511,4362,505,0.733,0.363
Completed,0.09,220,3327,2785,0.187,0.998
Completed,0.13,426,1552,4079,0.34,0.935
Completed,0.37,781,1601,716,0.674,0.523
Completed,0.11,459,2588,2825,0.295,0.129
Completed,0.11,393,1254,4781,0.769,0.942
Completed,0.21,418,3831,2691,0.237,0.476
Completed,0.13,530,345,1207,0.858,0.861
Completed,0.08,523,775,3589,0.501,0.983
Completed,0.15,389,2596,710,0.126,0.886
Completed,0.04,813,2020,513,0.64,0.377
Completed,0.54,6699,3018,84,0.204,0.215
Completed,0.2,447,4678,2874,0.625,0.584
Completed,0.2,406,1039,1946,0.317,0.321
Completed,0.08,458,485,3345,0.057,0.421
Completed,0.25,477,3797,1792,0.993,0.672
Completed,0.14,431,3583,4002,0.416,0.061
Completed,0.06,602,2205,2463,0.872,0.22
Completed,0.17,435,1911,3854,0.231,0.269
Completed,0.32,583,3662,1051,0.789,0.513
Completed,0.19,419,4033,3176,0.368,0.126
Completed,0.1,459,407,1604,0.683,0.904
Completed,0.13,433,1118,3023,0.938,0.867
Completed,0.17,502,4614,1313,0.783,0.963
Completed,0.16,408,4262,3931,0.576,0.819
Completed,0.1,452,2729,3732,0.819,0.29
Completed,0.2,459,3944,707,0.554,0.922
Completed,0.26,674,3753,1730,0.263,0.607
Completed,0.23,469,4318,2436,0.349,0.401
Completed,0.18,448,4213,2388,0.247,0.895
Completed,0.11,553,2057,334,0.897,0.326
Completed,0.09,192,4568,2348,0.36,0.999
Completed,0.25,461,4476,1998,0.939,0.497
Completed,0.15,416,4189,4656,0.287,0.83
Completed,0.19,499,4589,3198,0.436,0.326
Completed,0.2,624,4233,1894,0.173,0.85
Completed,0.33,584,3538,924,0.421,0.491
Completed,0.18,407,4308,3735,0.15,0.71
Completed,0.32,558,1464,953,0.896,0.383
Completed,0.1,469,1093,3665,0.376,0.969
Completed,0.14,491,1759,4246,0.881,0.001
Completed,0.18,452,5000,3801,0.852,0.001
Completed,0.39,799,2501,262,0.425,0.438
Completed,0.28,625,4985,1497,0.835,0.657
Completed,0.07,254,5000,1062,0.152,0.999
Completed,0.17,423,5000,3760,0.001,0.174
Completed,0.16,407,4823,4162,0.656,0.427
Completed,0.34,1020,4639,960,0.486,0.387
Completed,0.13,581,3524,5000,0.636,0.001
Completed,0.35,1129,5000,833,0.588,0.584
Completed,0.25,789,4712,297,0.804,0.748
Completed,0.17,408,4407,3953,0.999,0.246
Completed,0.15,437,4551,4252,0.79,0.683
Completed,0.17,531,4790,56,0.999,0.875
Completed,0.38,1640,4036,200,0.274,0.563
Completed,0.14,396,4716,5000,0.143,0.738
Completed,0.21,413,3979,2719,0.183,0.33
Completed,0.43,2047,4193,389,0.93,0.001
Completed,0.14,586,4788,25,0.806,0.924
Completed,0.29,900,3938,187,0.334,0.605
Completed,0.32,609,4683,1120,0.895,0.082
Completed,0.19,424,4972,3006,0.603,0.84
Completed,0.13,193,4744,490,0.855,0.994
Completed,0.2,1053,4376,207,0.058,0.839
Completed,0.1,220,3977,5000,0.583,0.999
Completed,0.14,395,4220,4935,0.193,0.001
Completed,0.14,397,4764,5000,0.565,0.621
Completed,0.24,509,4651,2065,0.001,0.457
Completed,0.52,4304,2778,96,0.907,0.213
Completed,0.2,442,5000,2948,0.752,0.481
Completed,0.22,515,4446,2417,0.999,0.001
Completed,0.31,931,138,189,0.898,0.198
Completed,0.22,1000,4357,141,0.469,0.7
Completed,0.08,218,4319,1925,0.235,0.999
Completed,0.14,405,5000,5000,0.598,0.811
Completed,0.2,513,4892,2966,0.137,0.519
Completed,0.38,737,3443,609,0.89,0.205
Completed,0.23,452,4952,2316,0.001,0.511
Completed,0.26,456,4655,1844,0.077,0.418
Completed,0.21,450,5000,2569,0.999,0.381
Completed,0.15,398,5000,5000,0.001,0.438
Completed,0.03,727,1,264,0.999,0.425
Completed,0.28,598,5000,1570,0.999,0.001
Completed,0.34,713,295,273,0.999,0.353
Completed,0.27,475,4332,1681,0.596,0.001
Completed,0.23,468,5000,2237,0.999,0.721
Completed,0.03,780,1,295,0.643,0.547
Completed,0.19,479,5000,3354,0.999,0.001
Completed,0.37,763,959,483,0.25,0.001
Completed,0.31,543,5000,1250,0.999,0.488
Completed,0.09,538,2114,742,0.999,0.001
Completed,0.36,851,5000,727,0.999,0.001
Completed,0.18,418,5000,3513,0.351,0.605
Completed,0.28,566,1703,1414,0.999,0.373
Completed,0.21,459,5000,2799,0.999,0.001
Completed,0.24,486,5000,2155,0.999,0.028
Completed,0.18,521,5000,3396,0.001,0.001
Completed,0.16,436,5000,4378,0.6,0.341
Completed,0.24,498,4937,2230,0.503,0.104
Completed,0.2,406,5000,2903,0.001,0.001
Completed,0.22,449,5000,2136,0.348,0.852
Completed,0.15,405,4509,4777,0.734,0.374
Completed,0.29,567,5000,1305,0.257,0.253
Completed,0.25,472,1585,1674,0.999,0.391
Completed,0.19,430,4657,3218,0.999,0.696
Completed,0.2,453,5000,3059,0.999,0.001
Completed,0.23,598,5000,2410,0.001,0.001
Completed,0.05,302,1,4764,0.001,0.001
Completed,0.16,409,5000,4201,0.999,0.221
Completed,0.16,1243,4604,3550,0.001,0.952
Completed,0.04,588,2212,4605,0.999,0.001
Completed,0.15,402,5000,4617,0.001,0.001
Completed,0.16,407,5000,4322,0.001,0.53
Completed,0.29,530,5000,1233,0.999,0.816
Completed,0.05,335,1,2198,0.001,0.438
Completed,0.06,168,1,3279,0.999,0.999
Completed,0.45,3496,4124,285,0.999,0.18
Completed,0.21,494,5000,2709,0.001,0.71
Completed,0.27,499,5000,1615,0.999,0.359
Completed,0.11,165,5000,1661,0.999,0.999
Completed,0.06,124,1,895,0.999,0.999
Completed,0.11,215,5000,3167,0.999,0.999
Completed,0.13,394,3067,3601,0.001,0.442
Completed,0.27,765,4656,955,0.999,0.856
Completed,0.08,371,3719,4522,0.999,0.999
Completed,0.09,530,509,2974,0.001,0.172
