Status,ACCURACY,RUNTIME,recent_samples_size,n_reference_samples,recent_samples_proportion,threshold
Completed,0.86,178,3647,3042,0.559,0.685
Completed,0.66,45,506,4819,0.724,0.999
Completed,0.71,59,1576,3421,0.758,0.999
Completed,0.6,48,402,1377,0.999,0.999
Completed,0.67,46,457,2789,0.999,0.999
Completed,0.66,45,812,4773,0.999,0.999
Completed,0.88,129,4885,3490,0.51,0.001
Completed,0.66,47,501,3512,0.751,0.999
Completed,0.69,58,1104,3199,0.717,0.999
Completed,0.74,50,496,4801,0.475,0.798
Completed,0.71,47,807,5000,0.656,0.999
Completed,0.65,47,460,2278,0.999,0.999
Completed,0.72,58,1551,4227,0.692,0.999
Completed,0.75,51,498,4431,0.088,0.305
Completed,0.86,123,4790,5000,0.001,0.001
Completed,0.85,103,1410,3765,0.313,0.017
Completed,0.86,103,1433,3238,0.377,0.001
Completed,0.91,201,1046,1184,0.707,0.001
Completed,0.82,82,1403,4834,0.671,0.001
Completed,0.77,66,359,2382,0.474,0.71
Completed,0.86,135,1657,3738,0.813,0.672
Completed,0.9,184,1568,1928,0.999,0.668
Completed,0.92,427,1584,551,0.097,0.464
Completed,0.91,260,3889,1523,0.999,0.131
Completed,0.91,254,5000,1594,0.999,0.261
Completed,0.88,160,1034,1563,0.271,0.621
Completed,0.92,345,4155,1421,0.999,0.001
Completed,0.91,260,3065,977,0.999,0.474
Completed,0.92,387,4564,919,0.999,0.692
Completed,0.92,286,1472,1070,0.999,0.37
Completed,0.82,84,859,3365,0.578,0.325
Completed,0.91,225,1123,1056,0.999,0.541
Completed,0.92,237,950,719,0.345,0.001
Completed,0.88,215,516,754,0.399,0.883
Completed,0.89,154,4075,2755,0.737,0.643
Completed,0.83,129,1454,4033,0.999,0.001
Completed,0.8,80,1074,4288,0.364,0.6
Completed,0.89,137,1402,2337,0.295,0.103
Completed,0.91,182,4750,2248,0.524,0.59
Completed,0.7,45,199,4795,0.208,0.489
Completed,0.91,223,2243,216,0.894,0.94
Completed,0.81,107,2732,2763,0.336,0.106
Completed,0.85,119,1646,3453,0.699,0.846
Completed,0.87,161,873,1538,0.386,0.333
Completed,0.87,134,4175,3922,0.819,0.746
Completed,0.92,443,3981,570,0.471,0.774
Completed,0.85,115,992,3035,0.795,0.174
Completed,0.89,202,1450,1976,0.108,0.631
Completed,0.67,35,2122,4354,0.299,0.537
Completed,0.9,140,397,637,0.611,0.018
Completed,0.88,179,4636,3260,0.186,0.93
Completed,0.78,73,561,3383,0.462,0.708
Completed,0.81,83,3073,4165,0.083,0.822
Completed,0.89,166,3670,2168,0.262,0.978
Completed,0.84,87,1306,4543,0.944,0.066
Completed,0.87,158,3813,2823,0.573,0.467
Completed,0.78,69,710,3811,0.534,0.89
Completed,0.83,104,3236,3655,0.92,0.515
Completed,0.79,70,2387,2630,0.061,0.258
Completed,0.68,50,55,2361,0.871,0.797
Completed,0.86,112,4919,4974,0.423,0.15
