Status,ACCURACY,RUNTIME,recent_samples_size,n_reference_samples,recent_samples_proportion,threshold
Completed,0.68,3,2755,4811,0.999,0.34
Completed,0.7,4,2658,2244,0.948,0.556
Completed,0.69,5,4666,3140,0.878,0.179
Completed,0.66,2,2813,2784,0.999,0.928
Completed,0.72,2,2078,3873,0.999,0.938
Completed,0.67,5,3749,3290,0.999,0.179
Completed,0.71,2,1402,4884,0.999,0.995
Completed,0.64,3,3549,2110,0.999,0.934
Completed,0.67,2,216,4183,0.001,0.157
Completed,0.68,7,2359,2615,0.001,0.934
Completed,0.72,2,1,5000,0.001,0.347
Completed,0.71,2,3363,4193,0.999,0.922
Completed,0.71,5,3862,3483,0.001,0.176
Completed,0.72,3,3253,4492,0.999,0.322
Completed,0.68,10,1705,2582,0.001,0.555
Completed,0.71,2,1,3574,0.311,0.152
Completed,0.73,26,4858,494,0.999,0.477
Completed,0.71,3,1554,1233,0.999,0.999
Completed,0.72,20,5000,580,0.999,0.537
Completed,0.7,3,1,3046,0.999,0.351
Completed,0.71,2,2367,1085,0.999,0.999
Completed,0.72,2,1,5000,0.999,0.386
Completed,0.71,7,5000,2197,0.999,0.549
Completed,0.74,47,5000,369,0.999,0.43
Completed,0.69,2,1,4293,0.999,0.362
Completed,0.71,3,2540,1361,0.999,0.999
Completed,0.71,18,5000,798,0.999,0.524
Completed,0.58,2,1,4660,0.001,0.327
Completed,0.71,14,3882,1045,0.545,0.279
Completed,0.74,13,5000,1120,0.22,0.001
Completed,0.68,3,2251,1063,0.703,0.001
Completed,0.71,3,5000,461,0.83,0.999
Completed,0.73,22,5000,583,0.302,0.001
Completed,0.73,19,4286,717,0.425,0.001
Completed,0.73,13,4403,1011,0.604,0.259
Completed,0.73,7,2965,1066,0.62,0.148
Completed,0.69,6,5000,2335,0.001,0.001
Completed,0.73,9,5000,1644,0.431,0.001
Completed,0.71,2,158,3821,0.999,0.999
Completed,0.71,3,4200,1645,0.999,0.999
Completed,0.71,2,1,1720,0.999,0.999
Completed,0.74,22,5000,527,0.296,0.454
Completed,0.71,2,21,5000,0.999,0.999
Completed,0.71,2,1632,3200,0.999,0.999
Completed,0.71,2,5000,3616,0.999,0.999
Completed,0.71,2,846,4219,0.999,0.999
