Status,ACCURACY,RUNTIME,recent_samples_size,n_reference_samples,recent_samples_proportion,threshold
Completed,0.55,0,2952,1364,0.37,0.733
Completed,0.55,0,4273,4307,0.569,0.493
Completed,0.58,2,1659,189,0.091,0.886
Completed,0.55,0,1420,3712,0.549,0.626
Completed,0.55,0,3878,2106,0.047,0.237
Completed,0.55,0,2722,4737,0.768,0.972
Completed,0.55,0,107,775,0.265,0.397
Completed,0.55,0,1191,4062,0.15,0.275
Completed,0.55,0,3493,513,0.629,0.853
Completed,0.55,0,2043,1281,0.856,0.855
Completed,0.55,0,2506,191,0.869,0.999
Completed,0.55,0,1360,1971,0.401,0.335
Completed,0.58,4,4218,129,0.483,0.546
Completed,0.55,0,2424,2747,0.014,0.462
Completed,0.55,0,2137,4413,0.45,0.755
Completed,0.55,0,3223,3803,0.366,0.657
Completed,0.55,0,4658,4665,0.119,0.656
Completed,0.55,1,4440,1020,0.954,0.367
Completed,0.55,0,3410,3391,0.233,0.595
Completed,0.55,0,4732,1748,0.516,0.917
Completed,0.55,0,3749,3767,0.294,0.186
Completed,0.55,0,973,412,0.798,0.702
Completed,0.55,0,162,4947,0.662,0.564
Completed,0.55,1,2626,794,0.184,0.051
Completed,0.55,0,3979,3461,0.882,0.786
Completed,0.55,0,1755,4127,0.987,0.091
Completed,0.55,0,3012,3110,0.706,0.306
Completed,0.55,0,391,1464,0.203,0.822
Completed,0.55,0,890,3177,0.337,0.941
Completed,0.55,0,493,2814,0.851,0.155
Completed,0.55,1,1649,820,0.829,0.022
Completed,0.55,1,1630,969,0.298,0.001
Completed,0.55,0,1639,574,0.406,0.999
Completed,0.56,1,1653,458,0.264,0.001
Completed,0.55,0,1623,519,0.861,0.999
Completed,0.57,12,4181,30,0.749,0.001
Completed,0.56,1,1632,659,0.197,0.574
Completed,0.55,1,4196,1117,0.326,0.005
Completed,0.55,1,4213,631,0.643,0.001
Completed,0.55,0,4210,478,0.622,0.999
Completed,0.57,4,4201,91,0.269,0.834
Completed,0.55,0,1799,259,0.106,0.999
Completed,0.55,0,3901,279,0.399,0.999
Completed,0.55,0,2737,4696,0.154,0.247
Completed,0.55,0,1,819,0.973,0.724
Completed,0.55,0,1924,2830,0.593,0.711
Completed,0.55,0,2643,277,0.341,0.999
Completed,0.56,1,1771,184,0.049,0.999
Completed,0.55,0,1,2487,0.037,0.195
Completed,0.55,0,5000,2687,0.001,0.099
Completed,0.55,0,484,2235,0.001,0.671
Completed,0.55,0,1,2982,0.015,0.194
Completed,0.55,0,598,2696,0.029,0.86
Completed,0.55,0,1378,2022,0.001,0.712
Completed,0.55,0,1,3312,0.016,0.116
Completed,0.55,0,5000,4934,0.647,0.284
Completed,0.55,0,4095,209,0.42,0.999
Completed,0.55,0,5000,4829,0.869,0.611
Completed,0.55,0,4799,4615,0.999,0.223
Completed,0.55,0,1945,276,0.199,0.999
Completed,0.55,0,2255,2936,0.999,0.642
Completed,0.55,0,1,2370,0.206,0.473
Completed,0.55,0,1121,4645,0.001,0.307
Completed,0.55,0,3853,2843,0.001,0.857
Completed,0.55,0,3635,2621,0.329,0.126
Completed,0.55,0,5000,3056,0.001,0.999
Completed,0.55,0,5000,3697,0.999,0.309
Completed,0.57,2,5000,232,0.33,0.676
Completed,0.57,2,4643,240,0.993,0.473
Completed,0.57,3,5000,184,0.416,0.381
Completed,0.57,2,3546,233,0.727,0.437
Completed,0.56,1,854,264,0.999,0.517
Completed,0.55,0,5000,230,0.999,0.722
Completed,0.56,1,2494,275,0.999,0.505
Completed,0.55,0,1,1776,0.999,0.001
Completed,0.55,0,1,173,0.999,0.442
Completed,0.55,0,5000,4028,0.001,0.001
Completed,0.55,0,1,4209,0.999,0.838
Completed,0.55,0,1,3884,0.001,0.999
Completed,0.55,0,5000,4047,0.999,0.999
Completed,0.55,0,5000,227,0.999,0.828
Completed,0.55,0,3448,3927,0.001,0.999
Completed,0.57,2,3686,183,0.953,0.374
Completed,0.55,0,1,3840,0.001,0.001
Completed,0.55,0,5000,5000,0.001,0.999
Completed,0.55,0,1,1679,0.999,0.999
Completed,0.55,0,4864,3510,0.999,0.001
Completed,0.55,0,1,4338,0.001,0.001
Completed,0.55,0,1,4561,0.999,0.999
Completed,0.55,0,5000,2898,0.999,0.001
Completed,0.55,0,1,4486,0.999,0.001
Completed,0.55,0,5000,3243,0.001,0.686
Completed,0.55,0,5000,2214,0.999,0.999
Completed,0.55,0,5000,3024,0.999,0.001
Completed,0.55,0,5000,2440,0.001,0.001
Completed,0.55,0,1,3477,0.001,0.999
Completed,0.55,0,5000,3289,0.999,0.001
Completed,0.55,0,5000,4459,0.001,0.133
Completed,0.55,0,5000,4483,0.001,0.999
Completed,0.55,0,2629,3586,0.001,0.001
Completed,0.55,0,5000,3771,0.999,0.999
Completed,0.55,0,1,1862,0.999,0.999
Completed,0.55,0,1,2642,0.999,0.001
Completed,0.55,0,1786,2455,0.999,0.999
Completed,0.55,0,1,2144,0.999,0.999
Completed,0.55,0,1,2120,0.001,0.001
Completed,0.55,0,5000,1886,0.999,0.001
Completed,0.55,0,1,2458,0.001,0.999
Completed,0.55,0,3058,4169,0.001,0.999
Completed,0.55,0,3167,3902,0.999,0.001
Completed,0.55,0,5000,3596,0.001,0.999
Completed,0.55,0,5000,4204,0.999,0.001
Completed,0.55,0,2049,5000,0.001,0.999
Completed,0.55,0,5000,2000,0.001,0.999
Completed,0.55,0,1,3631,0.999,0.999
Completed,0.55,0,1,4765,0.001,0.999
Completed,0.55,0,1,3153,0.999,0.001
Completed,0.55,0,5000,2258,0.999,0.001
Completed,0.55,0,5000,392,0.999,0.72
Completed,0.55,0,4267,365,0.999,0.662
Completed,0.55,0,1,244,0.559,0.246
Completed,0.55,0,5000,430,0.37,0.709
Completed,0.55,0,5000,3927,0.001,0.671
Completed,0.56,1,4616,431,0.079,0.687
Completed,0.55,0,2192,1761,0.999,0.349
Completed,0.55,0,5000,1586,0.999,0.439
Completed,0.55,0,2903,1610,0.999,0.001
Completed,0.55,0,2493,2188,0.001,0.999
Completed,0.55,0,1,2963,0.999,0.999
Completed,0.55,0,1,3339,0.999,0.615
Completed,0.55,0,2878,4999,0.999,0.001
Completed,0.57,3,4865,217,0.203,0.388
Completed,0.55,0,4821,344,0.999,0.952
Completed,0.55,0,1716,5000,0.999,0.999
Completed,0.55,0,5000,3051,0.001,0.001
Completed,0.56,2,5000,319,0.434,0.366
Completed,0.55,0,1,4321,0.001,0.999
