Status,ACCURACY,RUNTIME,recent_samples_size,n_reference_samples,recent_samples_proportion,threshold
Completed,0.53,7,2269,3994,0.025,0.609
Completed,0.62,36,1680,1744,0.411,0.689
Completed,0.54,11,3862,4955,0.871,0.47
Completed,0.68,94,3519,329,0.228,0.872
Completed,0.56,10,710,3519,0.547,0.094
Completed,0.58,18,1034,2311,0.156,0.417
Completed,0.59,10,3216,4115,0.57,0.636
Completed,0.58,54,4161,1246,0.457,0.022
Completed,0.59,18,1354,3031,0.76,0.8
Completed,0.69,131,1966,276,0.679,0.88
Completed,0.55,22,4782,3340,0.11,0.161
Completed,0.65,48,4594,731,0.732,0.607
Completed,0.58,17,1941,3202,0.258,0.221
Completed,0.62,11,582,2164,0.919,0.959
Completed,0.55,11,2924,4538,0.068,0.339
Completed,0.72,66,2673,178,0.949,0.143
Completed,0.55,6,15,2805,0.037,0.529
Completed,0.6,14,2464,1304,0.639,0.292
Completed,0.54,16,4811,3833,0.35,0.912
Completed,0.59,28,4020,2202,0.168,0.754
Completed,0.54,9,1361,4809,0.814,0.384
Completed,0.59,25,1157,1154,0.477,0.687
Completed,0.57,15,3503,3703,0.501,0.051
Completed,0.74,158,1947,149,0.999,0.001
Completed,0.61,27,2490,688,0.04,0.001
Completed,0.52,13,2466,1964,0.828,0.053
Completed,0.54,14,4658,3759,0.383,0.771
Completed,0.6,27,4986,1542,0.87,0.112
Completed,0.56,8,2328,3915,0.144,0.748
Completed,0.71,45,190,104,0.555,0.447
Completed,0.55,11,2537,2575,0.454,0.817
Completed,0.59,18,3060,1924,0.587,0.638
Completed,0.53,8,406,4454,0.422,0.003
Completed,0.55,10,2077,804,0.775,0.801
Completed,0.56,16,4419,3431,0.239,0.431
Completed,0.64,62,4253,531,0.311,0.277
Completed,0.6,17,1599,3080,0.71,0.897
Completed,0.55,22,924,1573,0.123,0.157
Completed,0.55,8,3265,4181,0.894,0.543
Completed,0.62,23,3403,1812,0.385,0.493
Completed,0.56,8,748,4263,0.594,0.863
Completed,0.65,59,1736,457,0.198,0.067
Completed,0.56,18,4077,2850,0.784,0.702
Completed,0.61,25,4499,2090,0.49,0.2
Completed,0.54,7,2153,4619,0.528,0.563
Completed,0.59,20,326,652,0.178,0.367
Completed,0.58,9,2984,3279,0.843,0.995
Completed,0.56,16,2612,1378,0.211,0.547
Completed,0.57,7,270,3751,0.81,0.184
Completed,0.68,30,2253,257,0.395,0.885
Completed,0.55,19,4906,2728,0.622,0.258
Completed,0.62,30,3763,1233,0.922,0.411
Completed,0.55,13,1422,3626,0.088,0.79
Completed,0.6,16,1061,2276,0.737,0.031
Completed,0.56,14,3716,4727,0.276,0.643
Completed,0.58,37,3640,1082,0.029,0.975
Completed,0.55,10,981,3474,0.988,0.355
Completed,0.6,16,1498,2441,0.343,0.59
Completed,0.57,8,3843,4893,0.678,0.204
Completed,0.79,535,4730,27,0.095,0.707
Completed,0.56,9,2388,2655,0.883,0.094
Completed,0.54,8,95,1461,0.285,0.852
Completed,0.57,8,2749,3990,0.698,0.473
Completed,0.6,27,2848,881,0.315,0.048
Completed,0.54,7,501,3351,0.667,0.66
Completed,0.53,6,2017,2006,0.003,0.395
Completed,0.55,11,4675,4379,0.976,0.774
Completed,0.57,25,4157,1655,0.537,0.932
Completed,0.57,13,1812,4107,0.449,0.304
Completed,0.6,28,667,608,0.849,0.502
Completed,0.61,13,3326,3000,0.141,0.139
Completed,0.67,57,3190,378,0.642,0.836
Completed,0.53,10,844,2927,0.371,0.458
Completed,0.6,22,1674,1738,0.954,0.721
Completed,0.53,12,4334,4345,0.056,0.109
Completed,0.57,27,4641,1760,0.045,0.312
Completed,0.56,10,1992,4309,0.941,0.924
Completed,0.68,34,536,346,0.359,0.13
Completed,0.56,11,2872,2954,0.632,0.508
Completed,0.61,13,2784,2313,0.266,0.94
Completed,0.53,5,119,4706,0.725,0.328
Completed,0.55,12,2355,1207,0.075,0.617
Completed,0.57,13,4705,3658,0.911,0.239
Completed,0.69,81,3973,309,0.601,0.085
Completed,0.57,16,1310,2682,0.377,0.713
Completed,0.64,27,1203,1337,0.792,0.482
Completed,0.54,10,3555,3808,0.19,0.844
Completed,0.58,19,3579,2360,0.757,0.32
Completed,0.59,11,1238,4967,0.234,0.947
Completed,0.57,31,1285,1005,0.567,0.248
Completed,0.59,13,3939,3554,0.419,0.611
Completed,0.62,39,4882,968,0.43,0.781
Completed,0.49,7,2218,3576,0.58,0.419
Completed,0.55,9,296,2387,0.246,0.652
Completed,0.54,7,2646,4936,0.767,0.024
Completed,0.63,39,3009,586,0.152,0.466
Completed,0.55,9,360,3038,0.862,0.828
Completed,0.53,9,2129,1687,0.462,0.102
Completed,0.57,14,4465,4080,0.548,0.73
Completed,0.59,26,4357,1960,0.996,0.572
Completed,0.53,11,1709,4431,0.021,0.194
Completed,0.6,21,819,937,0.686,0.986
Completed,0.53,12,3156,3310,0.335,0.374
Completed,0.64,43,3292,698,0.823,0.666
Completed,0.54,9,643,3228,0.16,0.038
Completed,0.61,22,1846,2034,0.509,0.766
Completed,0.59,15,4182,4661,0.47,0.404
Completed,0.69,78,4394,421,0.803,0.904
Completed,0.52,6,2044,2872,0.219,0.269
Completed,0.58,12,430,1839,0.614,0.537
Completed,0.58,11,3095,4232,0.403,0.166
Completed,0.59,19,2561,1133,0.52,0.347
Completed,0.53,6,225,3740,0.498,0.982
Completed,0.55,9,2303,2233,0.835,0.213
Completed,0.56,13,4952,4783,0.187,0.584
Completed,0.57,35,3868,1258,0.363,0.741
Completed,0.58,11,1531,3885,0.651,0.122
Completed,0.7,68,957,235,0.048,0.824
Completed,0.59,16,3606,2764,0.962,0.439
Completed,0.63,29,3691,1410,0.718,0.178
Completed,0.55,11,1028,4037,0.303,0.556
Completed,0.74,202,1446,69,0.902,0.265
Completed,0.61,21,3798,2599,0.116,0.877
Completed,0.62,21,4776,2464,0.659,0.377
Completed,0.53,7,2441,4856,0.323,0.763
Completed,0.55,9,48,1050,0.968,0.058
Completed,0.54,9,2698,3501,0.011,0.678
Completed,0.61,18,2957,1610,0.876,0.872
Completed,0.55,9,607,4159,0.103,0.486
Completed,0.68,68,1906,504,0.69,0.693
Completed,0.57,17,4570,3112,0.293,0.073
Completed,0.62,47,4111,855,0.226,0.228
Completed,0.58,14,1760,3385,0.764,0.598
Completed,0.57,14,714,1883,0.412,0.332
Completed,0.55,12,3377,4510,0.575,0.967
Completed,0.59,19,3241,2113,0.08,0.012
Completed,0.54,9,889,4584,0.929,0.632
Completed,0.6,43,1624,773,0.269,0.423
Completed,0.58,18,4287,3146,0.745,0.809
Completed,0.59,25,4551,2300,0.898,0.683
Completed,0.57,15,1887,4752,0.112,0.055
Completed,0.55,18,586,1219,0.714,0.75
Completed,0.56,9,2938,3611,0.3,0.388
Completed,0.63,15,2717,1753,0.682,0.071
Completed,0.53,7,69,4360,0.332,0.698
Completed,0.66,34,2459,353,0.992,0.497
Completed,0.58,22,4796,2902,0.017,0.86
Completed,0.64,53,4025,627,0.466,0.955
Completed,0.59,15,1375,3255,0.551,0.343
Completed,0.57,17,1114,2105,0.156,0.603
Completed,0.55,8,3449,4634,0.866,0.225
Completed,0.71,130,3469,151,0.442,0.52
Completed,0.57,15,1132,2524,0.545,0.15
Completed,0.56,25,1396,1486,0.133,0.92
Completed,0.56,13,4044,3957,0.857,0.285
Completed,0.58,14,3888,3337,0.938,0.007
Completed,0.64,54,4933,593,0.513,0.161
Completed,0.52,8,2284,2986,0.474,0.539
Completed,0.52,10,205,1680,0.826,0.281
Completed,0.54,8,2541,4131,0.164,0.893
Completed,0.62,30,3114,980,0.796,0.586
Completed,0.54,10,451,3529,0.194,0.208
Completed,0.55,9,2062,2374,0.606,0.971
Completed,0.57,16,4414,4982,0.381,0.359
Completed,0.61,28,4268,1475,0.072,0.451
Completed,0.55,14,1603,4005,0.907,0.813
