source,accuracy_estimation,runtime_estimation,ACCURACY,RUNTIME,Status,recent_samples_size,n_samples,n_clusters,threshold
benchmark_pareto,0.83,274.0,0.83,109.0,Completed,315.0,1451.0,1.0,0.999
benchmark_pareto,0.85,313.0,0.85,170.0,Completed,494.0,1321.0,1.0,0.999
benchmark_pareto,0.92,324.0,0.92,225.0,Completed,234.0,228.0,1.0,0.999
benchmark_pareto,0.93,508.0,0.93,381.0,Completed,2342.0,216.0,1.0,0.437
benchmark_max_rt,,13976.0,,2470.0,Completed,111.0,1407.0,9.0,0.062
benchmark_min_acc,0.37,,0.37,,Completed,1.0,1987.0,1.0,0.999
paper_default,-1.0,-1.0,0.92,110.0,Completed,50.0,50.0,10.0,14.47
paper_default,-1.0,-1.0,0.92,101.0,Completed,100.0,100.0,10.0,14.47
paper_default,-1.0,-1.0,0.87,5865.0,Completed,2000.0,50.0,10.0,14.47
paper_default,-1.0,-1.0,0.89,2557.0,Completed,2000.0,100.0,10.0,14.47
recommendation_system,0.5045069602783152,0.8139646406877915,0.76,19.0,Completed,63.0,979.0,2.0,4.0668178384705
recommendation_system,0.5143481968432072,0.8122615453164002,0.75,18.0,Completed,59.0,983.0,2.0,4.170923849986261
recommendation_system,0.5194879763138484,0.8094985536822884,0.76,19.0,Completed,59.0,971.0,2.0,4.013038225291012
recommendation_system,0.604554502812229,0.7636558407482591,0.83,25.0,Completed,54.0,390.0,2.0,4.137280748643128
recommendation_system,0.6623907993106813,0.7564703378486506,0.85,30.0,Completed,55.0,280.0,2.0,4.13397078611721
recommendation_system,0.6773420879859064,0.7483342836345795,0.89,37.0,Completed,63.0,243.0,2.0,3.490391884976539
recommendation_system,0.8188755633917145,0.6887972756022678,0.93,148.0,Completed,174.0,110.0,4.0,4.693121194952103
recommendation_system,0.4981968908695279,0.814924374152794,0.76,19.0,Completed,63.0,979.0,2.0,4.116336598734843
recommendation_system,0.4997907017857071,0.8139079279074274,0.76,19.0,Completed,63.0,979.0,2.0,4.13397078611721
recommendation_system,0.5126490668740128,0.8066578082088545,0.79,20.0,Completed,78.0,973.0,2.0,3.815619412913012
recommendation_system,0.525429103558891,0.7973035045170246,0.79,20.0,Completed,55.0,689.0,2.0,4.116336598734843
recommendation_system,0.529418928006962,0.7964737587710746,0.79,20.0,Completed,55.0,673.0,2.0,4.13397078611721
recommendation_system,0.5366078262675705,0.7946734769628003,0.8,21.0,Completed,63.0,673.0,2.0,4.188950460333264
recommendation_system,0.5368324851369664,0.7944805419825093,0.8,21.0,Completed,63.0,673.0,2.0,4.13397078611721
recommendation_system,0.5882032749799273,0.768552535129393,0.82,24.0,Completed,63.0,489.0,2.0,4.13397078611721
recommendation_system,0.6021897412636551,0.7623532671326215,0.84,26.0,Completed,56.0,374.0,2.0,3.6347286916846935
recommendation_system,0.6603409698759836,0.7564691141885876,0.85,30.0,Completed,55.0,280.0,2.0,4.116336598734843
recommendation_system,0.6665011794276403,0.751910085608081,0.88,31.0,Completed,63.0,280.0,2.0,4.116336598734843
recommendation_system,0.6674520708727102,0.7497444588213091,0.88,31.0,Completed,63.0,280.0,2.0,3.9513237937857086
recommendation_system,0.7978481548010161,0.70833243703361,0.92,82.0,Completed,110.0,128.0,6.0,4.751733413530516
