source,accuracy_estimation,runtime_estimation,ACCURACY,RUNTIME,Status,recent_samples_size,n_samples,n_clusters,threshold
benchmark_pareto,0.05,343.0,0.05,225.0,Completed,1.0,3445.0,1.0,0.999
benchmark_pareto,0.06,390.0,0.06,300.0,Completed,1.0,2212.0,1.0,0.999
benchmark_pareto,0.16,403.0,0.16,303.0,Completed,4387.0,4604.0,1.0,0.999
benchmark_pareto,0.18,411.0,0.18,307.0,Completed,1475.0,2827.0,1.0,0.999
benchmark_pareto,0.26,432.0,0.26,350.0,Completed,2436.0,636.0,2.0,0.996
benchmark_pareto,0.28,468.0,0.28,389.0,Completed,2117.0,186.0,4.0,0.718
benchmark_pareto,0.29,511.0,0.29,432.0,Completed,1286.0,1126.0,1.0,0.999
benchmark_pareto,0.33,544.0,0.33,451.0,Completed,1302.0,835.0,1.0,0.929
benchmark_pareto,0.35,601.0,0.35,484.0,Completed,2620.0,460.0,10.0,0.999
benchmark_pareto,0.36,660.0,0.36,514.0,Completed,955.0,504.0,1.0,0.999
benchmark_pareto,0.38,704.0,0.38,538.0,Completed,663.0,351.0,5.0,0.917
benchmark_pareto,0.39,714.0,0.39,546.0,Completed,2569.0,294.0,2.0,0.734
benchmark_pareto,0.41,735.0,0.41,558.0,Completed,2246.0,132.0,3.0,0.904
benchmark_pareto,0.42,981.0,0.42,691.0,Completed,560.0,205.0,2.0,0.992
benchmark_pareto,0.43,1035.0,0.43,723.0,Completed,2635.0,208.0,6.0,0.204
benchmark_pareto,0.44,1312.0,0.44,874.0,Completed,906.0,255.0,10.0,0.76
benchmark_pareto,0.45,1377.0,0.45,888.0,Completed,783.0,205.0,10.0,0.571
benchmark_pareto,0.46,1736.0,0.46,1173.0,Completed,852.0,186.0,10.0,0.999
benchmark_pareto,0.49,1827.0,0.49,1343.0,Completed,329.0,78.0,4.0,0.817
benchmark_pareto,0.5,2193.0,0.5,1812.0,Completed,2295.0,62.0,2.0,0.09
benchmark_pareto,0.52,3096.0,0.52,1936.0,Completed,754.0,111.0,10.0,0.544
benchmark_pareto,0.54,5273.0,0.54,3966.0,Completed,733.0,74.0,10.0,0.514
benchmark_pareto,0.55,5957.0,0.55,4538.0,Completed,759.0,72.0,10.0,0.259
benchmark_max_rt,,13851.0,,13789.0,Completed,1363.0,76.0,8.0,0.279
benchmark_min_acc,0.03,,0.03,,Completed,19.0,4632.0,2.0,0.654
paper_default,-1.0,-1.0,0.36,510.0,Completed,100.0,100.0,55.0,8.16
paper_default,-1.0,-1.0,,,MAX_RT,2000.0,100.0,55.0,8.16
recommendation_system,0.5488509156450557,0.8291948219756735,0.18,293.0,Completed,4805.0,3483.0,1.0,0.9965550132729112
recommendation_system,0.5498158319733446,0.8164755509449936,0.18,299.0,Completed,4683.0,3401.0,1.0,0.962008605670184
recommendation_system,0.5581237084150945,0.808243338156922,0.2,302.0,Completed,4776.0,2975.0,1.0,0.89016509186849
recommendation_system,0.5850992051349302,0.8075593405111003,0.22,317.0,Completed,4142.0,2485.0,1.0,0.8919990197271108
recommendation_system,0.5905821504781705,0.7956746107096261,0.25,343.0,Completed,3857.0,1861.0,1.0,0.8878373134517938
recommendation_system,0.5926454925265366,0.795298906795613,0.26,346.0,Completed,4792.0,1905.0,1.0,0.939552206452936
recommendation_system,0.5970337331655092,0.7922852336012345,0.25,327.0,Completed,3857.0,1861.0,1.0,0.8598001735344556
recommendation_system,0.6470739038992456,0.7601460170384087,0.29,359.0,Completed,124.0,193.0,3.0,0.97890366749838
recommendation_system,0.6512086484702367,0.7442654170250707,0.3,360.0,Completed,204.0,269.0,3.0,0.9903813824761905
recommendation_system,0.672436273352464,0.7297563395740192,0.34,390.0,Completed,123.0,137.0,1.0,0.9880279090739038
recommendation_system,0.7099089485665072,0.7020860037846094,0.38,434.0,Completed,174.0,137.0,1.0,0.8468744151124387
recommendation_system,0.7153895610135826,0.6895979688122117,0.39,469.0,Completed,177.0,136.0,10.0,0.9407573228030832
recommendation_system,0.7190582597482083,0.6787562482111867,0.41,565.0,Completed,260.0,137.0,1.0,0.9940829116175915
recommendation_system,0.7297789890410156,0.6712075137842711,0.43,616.0,Completed,195.0,101.0,10.0,0.9409826765717704
recommendation_system,0.7371867496951808,0.65205513412411,0.42,644.0,Completed,299.0,142.0,10.0,0.9235051918370256
recommendation_system,0.7427192890929536,0.6257947670302677,0.45,889.0,Completed,366.0,124.0,10.0,0.9045964050739748
recommendation_system,0.7450692087129968,0.6164621608923067,0.46,1044.0,Completed,466.0,133.0,1.0,0.9192151915244758
recommendation_system,0.7624683855221808,0.6092930462501163,0.49,1237.0,Completed,398.0,99.0,10.0,0.9366919594837552
recommendation_system,0.7682711876296334,0.5821542324545231,0.49,2296.0,Completed,875.0,137.0,1.0,0.9880279090739038
recommendation_system,0.7728390651281727,0.5481960607982223,0.51,2769.0,Completed,734.0,108.0,10.0,0.9321179543135472
