source,accuracy_estimation,runtime_estimation,ACCURACY,RUNTIME,Status,recent_samples_size,n_samples,n_clusters,threshold
benchmark_pareto,0.76,528.0,0.75,230.0,Completed,16.0,36.0,8.0,0.093
benchmark_pareto,0.77,822.0,0.76,371.0,Completed,58.0,69.0,6.0,0.232
benchmark_pareto,0.78,955.0,0.77,500.0,Completed,2095.0,100.0,7.0,0.237
benchmark_pareto,0.81,958.0,0.81,721.0,Completed,144.0,70.0,5.0,0.558
benchmark_pareto,0.82,1142.0,0.82,830.0,Completed,2054.0,15.0,1.0,0.733
benchmark_pareto,0.83,1753.0,0.83,1231.0,Completed,479.0,72.0,1.0,0.505
benchmark_pareto,0.84,1987.0,0.84,1389.0,Completed,2379.0,37.0,10.0,0.684
benchmark_pareto,0.85,3612.0,0.85,2428.0,Completed,2436.0,26.0,10.0,0.158
benchmark_max_rt,,14388.0,,9344.0,Completed,1101.0,2704.0,4.0,0.458
benchmark_min_acc,0.42,,0.42,,Completed,2002.0,1863.0,8.0,0.422
paper_default,-1.0,-1.0,0.79,406.0,Completed,50.0,50.0,7.0,64.39230485
paper_default,-1.0,-1.0,0.79,403.0,Completed,100.0,100.0,7.0,64.39230485
paper_default,-1.0,-1.0,,,MAX_RT,2000.0,50.0,7.0,64.39230485
paper_default,-1.0,-1.0,0.81,2997.0,Completed,2000.0,100.0,7.0,64.39230485
recommendation_system,0.6898878416947851,0.8226334669527796,0.69,532.0,Completed,55.0,235.0,2.0,4.722820977475634
recommendation_system,0.7134129650843521,0.8127669613759589,0.7,397.0,Completed,55.0,198.0,3.0,4.158522670178655
recommendation_system,0.7324291212525208,0.8049042608191987,0.68,152.0,Completed,19.0,135.0,3.0,4.421188729507681
recommendation_system,0.779460859757997,0.7832614026365174,0.75,199.0,Completed,53.0,94.0,3.0,4.564098937564265
recommendation_system,0.7796969822721366,0.7816303037482454,0.76,206.0,Completed,55.0,94.0,3.0,4.564098937564265
recommendation_system,0.7799239405197175,0.7753411897584084,0.76,213.0,Completed,53.0,88.0,3.0,4.674176969175974
recommendation_system,0.7806375303383852,0.763709842803717,0.73,183.0,Completed,38.0,104.0,11.0,4.322653294408523
recommendation_system,0.7806406515825234,0.7625036861235573,0.77,249.0,Completed,55.0,75.0,3.0,4.674176969175974
recommendation_system,0.7904919752870981,0.7593248886750906,0.76,238.0,Completed,55.0,92.0,11.0,4.382983979550279
recommendation_system,0.7928590982664239,0.7593005158900665,0.77,312.0,Completed,108.0,130.0,3.0,4.546416833928101
recommendation_system,0.7963939341764651,0.74844846848639,0.78,367.0,Completed,124.0,130.0,6.0,4.484602232093986
recommendation_system,0.8041307344215239,0.7324790042527608,0.79,391.0,Completed,95.0,86.0,11.0,4.179701725201418
recommendation_system,0.8087128800351606,0.7279964018377099,0.79,423.0,Completed,155.0,130.0,3.0,4.399478453768868
recommendation_system,0.8179653894408848,0.7201489040224132,0.8,441.0,Completed,120.0,94.0,10.0,4.237035987761295
recommendation_system,0.8264478017539786,0.700317577853424,0.8,536.0,Completed,155.0,103.0,10.0,4.378207060041521
recommendation_system,0.827584824490299,0.6967522709914654,0.8,602.0,Completed,212.0,128.0,10.0,4.363627493732657
recommendation_system,0.8411149211379586,0.6362991817409739,0.8,1593.0,Completed,1658.0,130.0,15.0,4.722820977475634
recommendation_system,0.8416207566934908,0.6306228197893383,0.81,2148.0,Completed,1658.0,92.0,14.0,4.722820977475634
recommendation_system,0.848119075139178,0.6262505213766196,0.81,2031.0,Completed,1667.0,106.0,15.0,4.722820977475634
recommendation_system,0.8499535223683617,0.6243901115876657,0.81,2157.0,Completed,1658.0,96.0,15.0,4.722820977475634
