source,accuracy_estimation,runtime_estimation,ACCURACY,RUNTIME,Status,recent_samples_size,n_samples,threshold,outlier_detector_kwargs
benchmark_pareto,0.31,24.0,0.31,13.0,Completed,2001,1577,0.029,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
benchmark_pareto,0.32,25.0,0.32,14.0,Completed,1,2640,0.001,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
benchmark_pareto,0.34,27.0,0.34,15.0,Completed,2129,3863,0.001,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
benchmark_pareto,0.37,29.0,0.37,17.0,Completed,2098,2428,0.139,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
benchmark_pareto,0.39,30.0,0.39,18.0,Completed,169,2858,0.001,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
benchmark_pareto,0.4,31.0,0.4,19.0,Completed,2116,1631,0.075,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
benchmark_pareto,0.42,32.0,0.42,20.0,Completed,2043,791,0.19,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
benchmark_pareto,0.44,33.0,0.44,21.0,Completed,361,2766,0.156,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
benchmark_pareto,0.46,35.0,0.46,22.0,Completed,91,771,0.236,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
benchmark_pareto,0.47,36.0,0.47,23.0,Completed,2094,657,0.251,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
benchmark_pareto,0.49,39.0,0.49,25.0,Completed,2241,991,0.046,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
benchmark_pareto,0.54,42.0,0.54,26.0,Completed,119,404,0.084,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
benchmark_pareto,0.55,52.0,0.55,32.0,Completed,242,524,0.129,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
benchmark_pareto,0.59,56.0,0.59,33.0,Completed,70,162,0.055,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
benchmark_pareto,0.61,82.0,0.61,54.0,Completed,2583,525,0.001,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
benchmark_pareto,0.62,89.0,0.62,57.0,Completed,2113,86,0.452,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
benchmark_pareto,0.63,93.0,0.63,61.0,Completed,2183,142,0.008,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
benchmark_pareto,0.72,117.0,0.72,87.0,Completed,1,1,0.999,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
benchmark_max_rt,,8585.0,,6562.0,Completed,438,1,0.11,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
benchmark_min_acc,0.28,,0.28,,Completed,131,4782,0.545,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
paper_default,-1.0,-1.0,0.61,42.0,Completed,250,250,0.3,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
paper_default,-1.0,-1.0,0.65,43.0,Completed,100,100,0.3,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
paper_default,-1.0,-1.0,0.59,43.0,Completed,1000,1000,0.3,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
paper_default,-1.0,-1.0,0.58,43.0,Completed,2000,2000,0.3,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
paper_default,-1.0,-1.0,0.61,219.0,Completed,2000,250,0.3,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
recommendation_system,0.210714276232198,0.9044889979959908,0.32,14.0,Completed,13,3489,0.0063859330881386,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
recommendation_system,0.2201246088638566,0.9003367758348717,0.32,14.0,Completed,7,3399,0.0169911331571638,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
recommendation_system,0.2370425153135732,0.8996211194088168,0.32,14.0,Completed,28,3074,0.0040677494183182,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
recommendation_system,0.2512249435815746,0.8985674220545661,0.35,14.0,Completed,39,2056,0.0033096056841313,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
recommendation_system,0.4301756017018468,0.8974074786521601,0.47,18.0,Completed,54,447,0.1989872633711659,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
recommendation_system,0.4355351696030812,0.8965191416827787,0.48,19.0,Completed,80,464,0.1840123628824949,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
recommendation_system,0.4392017149062617,0.893603837553523,0.49,19.0,Completed,63,380,0.1807493953341699,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
recommendation_system,0.4459932089916761,0.892337175442946,0.5,20.0,Completed,89,432,0.1571024054058377,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
recommendation_system,0.4719209540999634,0.8802915216933184,0.51,18.0,Completed,49,316,0.159974957166292,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
recommendation_system,0.477197455007491,0.8764600031224453,0.52,20.0,Completed,65,308,0.1723830320000031,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
recommendation_system,0.4800676894169493,0.8728737344507327,0.53,22.0,Completed,93,342,0.1896190575470686,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
recommendation_system,0.4898755538610144,0.8658399072886497,0.54,22.0,Completed,89,312,0.1571024054058377,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
recommendation_system,0.5027405131706209,0.8626927491438235,0.54,23.0,Completed,89,280,0.1831868194403787,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
recommendation_system,0.5164335684891243,0.860855452772702,0.55,20.0,Completed,60,257,0.143622843225266,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
