source,accuracy_estimation,runtime_estimation,ACCURACY,RUNTIME,Status,recent_samples_size,n_samples,threshold,outlier_detector_kwargs
benchmark_pareto,0.56,7.0,0.56,3.0,Completed,1,655,0.001,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
benchmark_pareto,0.59,8.0,0.59,4.0,Completed,1,204,0.999,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
benchmark_pareto,0.61,10.0,0.61,5.0,Completed,2001,42,0.001,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
benchmark_pareto,0.67,11.0,0.67,6.0,Completed,1,11,0.001,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
benchmark_pareto,0.7,15.0,0.7,8.0,Completed,2012,50,0.999,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
benchmark_pareto,0.73,18.0,0.73,10.0,Completed,2005,15,0.999,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
benchmark_pareto,0.75,21.0,0.75,11.0,Completed,2003,8,0.999,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
benchmark_pareto,0.78,30.0,0.78,17.0,Completed,2032,31,0.999,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
benchmark_pareto,0.83,33.0,0.83,20.0,Completed,1,1,0.001,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
benchmark_pareto,0.85,80.0,0.85,49.0,Completed,2024,4,0.999,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
benchmark_pareto,0.86,121.0,0.86,56.0,Completed,2013,2,0.999,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
benchmark_pareto,0.87,145.0,0.87,88.0,Completed,2012,1,0.999,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
benchmark_pareto,0.88,146.0,0.88,92.0,Completed,13,1,0.999,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
benchmark_max_rt,,6632.0,,4319.0,Completed,3423,1,0.999,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
benchmark_min_acc,0.49,,0.49,,Completed,2844,4804,0.218,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
paper_default,-1.0,-1.0,0.67,14.0,Completed,250,250,0.3,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
paper_default,-1.0,-1.0,0.71,14.0,Completed,100,100,0.3,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
paper_default,-1.0,-1.0,0.6,12.0,Completed,1000,1000,0.3,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
paper_default,-1.0,-1.0,0.58,10.0,Completed,2000,2000,0.3,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
paper_default,-1.0,-1.0,0.72,53.0,Completed,2000,250,0.3,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
recommendation_system,0.3309844227717783,0.9788474230693236,0.52,3.0,Completed,3,1566,0.1089270792100578,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
recommendation_system,0.336818418550852,0.9787213519093464,0.54,4.0,Completed,51,1571,0.1522820313293486,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
recommendation_system,0.3431669492269532,0.9764843654366318,0.59,4.0,Completed,65,1330,0.1546011983677745,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
recommendation_system,0.3524753711672809,0.9744056209438484,0.6,4.0,Completed,55,990,0.1479787591919303,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
recommendation_system,0.3853449933666985,0.9650066541510676,0.62,9.0,Completed,911,1470,0.0019153172671794,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
recommendation_system,0.3943358407437774,0.9574144983858454,0.64,11.0,Completed,776,1081,0.3861126620726085,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
recommendation_system,0.3997740924259268,0.9535880931537029,0.64,11.0,Completed,794,999,0.4105779697950929,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
recommendation_system,0.457427382370235,0.8949574014855624,0.68,17.0,Completed,438,286,0.0322705745627106,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
recommendation_system,0.4720527523723203,0.8758458168212834,0.69,12.0,Completed,199,225,0.027860015431419,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
recommendation_system,0.4825467520756109,0.8626016953533713,0.69,20.0,Completed,283,157,0.0208183861095458,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
recommendation_system,0.4870502435573966,0.8541013331239637,0.72,15.0,Completed,161,127,0.0415236563775688,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
recommendation_system,0.4950510224188077,0.851136798816088,0.72,15.0,Completed,149,126,0.0349732725734438,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
recommendation_system,0.4975735171202818,0.8505659987255262,0.73,27.0,Completed,441,138,0.0214500489365309,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
recommendation_system,0.5233476970364376,0.8166659403105007,0.74,30.0,Completed,475,133,0.228372071409598,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
recommendation_system,0.5870390795130476,0.7123331383972643,0.73,70.0,Completed,3365,117,0.0097830989062786,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
recommendation_system,0.6006516016569937,0.6852114192481354,0.73,80.0,Completed,3742,121,0.0097622789677619,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
recommendation_system,0.6331363775771139,0.5691208054050851,0.76,145.0,Completed,3585,51,0.0081672151591628,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
recommendation_system,0.6375925484815606,0.5665791563154744,0.75,111.0,Completed,3497,64,0.0019140177272258,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
recommendation_system,0.6401940254156525,0.531154353114895,0.78,178.0,Completed,3474,39,0.0016237205584158,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
recommendation_system,0.6522765070887675,0.5226846953417562,0.78,220.0,Completed,3509,33,0.0046500991692166,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
