source,accuracy_estimation,runtime_estimation,ACCURACY,RUNTIME,Status,recent_samples_size,n_reference_samples,n_recent_samples,threshold,stability_offset
benchmark_pareto,0.55,0.0,0.55,0.0,Completed,3788.0,756.0,2382.0,0.609,0.6
benchmark_pareto,0.56,4.0,0.56,2.0,Completed,1.0,1.0,1.0,0.999,0.9
benchmark_pareto,0.57,54.0,0.57,27.0,Completed,1024.0,22.0,85.0,0.043,0.9
benchmark_max_rt,,2925.0,,1523.0,Completed,3587.0,105.0,1138.0,0.135,0.5
benchmark_min_acc,0.54,,0.54,,Completed,1587.0,1220.0,1.0,0.999,0.4
paper_default,-1.0,-1.0,0.55,760.0,Completed,500.0,500.0,500.0,0.05,1e-09
paper_default,-1.0,-1.0,0.54,800.0,Completed,2000.0,500.0,500.0,0.05,1e-09
recommendation_system,0.6792103634383041,0.4566893436381329,0.55,0.0,Completed,4616.0,10.0,4939.0,0.0028232746945109,0.0
recommendation_system,0.7185844969300846,0.4457901179778366,0.55,0.0,Completed,4966.0,10.0,4829.0,0.0659888002684025,0.0
recommendation_system,0.7230794464250341,0.4424567846445033,0.55,0.0,Completed,4830.0,10.0,4829.0,0.0659888002684025,0.0
recommendation_system,0.7316147999603877,0.4336352384834238,0.55,0.0,Completed,4592.0,10.0,4848.0,0.0879156779738955,0.0
recommendation_system,0.7358364280055452,0.4216338061704489,0.55,0.0,Completed,4616.0,10.0,4939.0,0.1154859252953315,0.0
recommendation_system,0.7461246038819564,0.4150172857736785,0.55,0.0,Completed,4592.0,10.0,4848.0,0.148772089094066,0.0
recommendation_system,0.7461246038819564,0.4150172857736785,0.55,0.0,Completed,4592.0,10.0,4939.0,0.148772089094066,0.0
recommendation_system,0.756596355714002,0.4084395100887158,0.55,0.0,Completed,4830.0,10.0,4848.0,0.2837327489395295,0.0
recommendation_system,0.7599920776391357,0.407799930497362,0.55,0.0,Completed,4592.0,10.0,4848.0,0.2460768035141508,0.0
recommendation_system,0.7610453802733206,0.3990739373178005,0.55,0.0,Completed,4369.0,10.0,4939.0,0.2849386286539997,0.001
recommendation_system,0.7659641760744694,0.3961803811797338,0.55,0.0,Completed,4261.0,36.0,4303.0,0.2186808204427361,0.0
recommendation_system,0.7697718607645072,0.3914121629049852,0.55,0.0,Completed,4592.0,10.0,4848.0,0.7351998881504362,0.001
recommendation_system,0.7733216973658142,0.3839463478250048,0.55,0.0,Completed,4369.0,10.0,4848.0,0.7351998881504362,0.001
recommendation_system,0.7763520003961173,0.3839378689348645,0.55,0.0,Completed,4369.0,10.0,4848.0,0.7351998881504362,0.0
recommendation_system,0.7812138542285593,0.382000393297533,0.55,0.0,Completed,3981.0,10.0,4848.0,0.7351998881504362,0.0
recommendation_system,0.7868058031293318,0.3774347423577005,0.55,0.0,Completed,2461.0,10.0,4848.0,0.7351998881504362,0.001
recommendation_system,0.7898361061596348,0.3768244568349207,0.55,0.0,Completed,2461.0,10.0,4848.0,0.7351998881504362,0.0
recommendation_system,0.790484254307783,0.3764374061386077,0.55,0.0,Completed,2432.0,10.0,4939.0,0.7351998881504362,0.0
recommendation_system,0.7929505842741129,0.3749686664707602,0.55,0.0,Completed,2164.0,10.0,4848.0,0.7496299755177237,0.0
recommendation_system,0.7937007328183793,0.3270011747831784,0.55,0.0,Completed,2935.0,383.0,3062.0,0.8384130244869739,0.0
