source,accuracy_estimation,runtime_estimation,ACCURACY,RUNTIME,Status,recent_samples_size,n_reference_samples,n_recent_samples,threshold,stability_offset
benchmark_pareto,0.71,418.0,0.71,328.0,Completed,4869.0,476.0,3.0,0.172,0.0
benchmark_pareto,0.72,7683.0,0.72,4678.0,Completed,2301.0,479.0,104.0,0.415,0.0
benchmark_pareto,0.75,8432.0,0.73,4923.0,Completed,210.0,3785.0,13.0,0.828,0.0
benchmark_max_rt,,13897.0,,6462.0,Completed,837.0,2362.0,24.0,0.588,0.0
benchmark_min_acc,0.58,,0.58,,Completed,2219.0,795.0,6.0,0.483,0.7
paper_default,-1.0,-1.0,,,MAX_RT,500.0,500.0,500.0,0.05,1e-09
paper_default,-1.0,-1.0,,,MAX_RT,2000.0,500.0,500.0,0.05,1e-09
recommendation_system,0.600627104377105,0.8062359407657523,0.71,1071.0,Completed,1197.0,2725.0,5.0,0.3159738051927091,0.7
recommendation_system,0.610046296296297,0.7985881390039709,0.71,861.0,Completed,1238.0,2609.0,4.0,0.3318082929904256,0.4
recommendation_system,0.6128240740740747,0.797499642961266,0.71,1110.0,Completed,1197.0,2725.0,5.0,0.3298468029147349,0.5
recommendation_system,0.6128240740740747,0.797499642961266,0.71,1122.0,Completed,1197.0,2725.0,5.0,0.3294126936768253,0.5
recommendation_system,0.6129503367003373,0.797123226134361,0.71,1131.0,Completed,1197.0,2725.0,5.0,0.3294126936768253,0.4
recommendation_system,0.6129503367003373,0.797123226134361,0.71,1127.0,Completed,1197.0,2725.0,5.0,0.3298468029147349,0.4
recommendation_system,0.6129503367003373,0.797123226134361,0.71,1144.0,Completed,1197.0,2725.0,5.0,0.3318082929904256,0.4
recommendation_system,0.575515572390573,0.8061408721799358,0.71,931.0,Completed,1338.0,2571.0,4.0,0.0970192941772407,0.7
recommendation_system,0.5802967171717178,0.8060062976876013,0.71,944.0,Completed,1338.0,2687.0,4.0,0.1642723546618627,0.7
recommendation_system,0.5811763468013473,0.8058524516210106,0.71,982.0,Completed,1170.0,2611.0,4.0,0.1619314009225244,0.7
recommendation_system,0.5995033670033676,0.8057751443455082,0.71,989.0,Completed,1197.0,2687.0,4.0,0.3103599303463715,0.7
recommendation_system,0.6121170033670039,0.797499642961266,0.71,1060.0,Completed,1197.0,2725.0,4.0,0.3298468029147349,0.5
recommendation_system,0.6121170033670039,0.797499642961266,0.71,1050.0,Completed,1197.0,2725.0,4.0,0.3294126936768253,0.5
recommendation_system,0.6121170033670039,0.797499642961266,0.71,1026.0,Completed,1197.0,2725.0,4.0,0.3318082929904256,0.5
recommendation_system,0.6128367003367011,0.796051114929508,0.71,1211.0,Completed,1338.0,2687.0,5.0,0.3358702665868328,0.4
recommendation_system,0.6128367003367011,0.796051114929508,0.71,1198.0,Completed,1338.0,2687.0,5.0,0.3342010577036646,0.4
recommendation_system,0.6128367003367011,0.796051114929508,0.71,1215.0,Completed,1338.0,2706.0,5.0,0.3358702665868328,0.4
recommendation_system,0.6077230639730646,0.7984668001044606,0.71,1017.0,Completed,1197.0,2725.0,4.0,0.3294126936768253,0.6
recommendation_system,0.6077230639730646,0.7984668001044606,0.71,1013.0,Completed,1197.0,2725.0,4.0,0.3298468029147349,0.6
recommendation_system,0.6077230639730646,0.7984668001044606,0.71,1016.0,Completed,1197.0,2725.0,4.0,0.3318082929904256,0.6
