source,accuracy_estimation,runtime_estimation,ACCURACY,RUNTIME,Status,recent_samples_size,n_reference_samples,n_recent_samples,threshold,stability_offset
benchmark_pareto,0.32,2499.0,0.32,708.0,Completed,814.0,1367.0,1.0,0.083,0.9
benchmark_max_rt,,2700.0,,1212.0,Completed,234.0,730.0,10.0,0.088,0.3
benchmark_min_acc,0.32,,0.32,,Completed,814.0,1367.0,1.0,0.083,0.9
paper_default,-1.0,-1.0,,,MAX_RT,500.0,500.0,500.0,0.05,1e-09
paper_default,-1.0,-1.0,,,MAX_RT,2000.0,500.0,500.0,0.05,1e-09
recommendation_system,0.1874444196870671,0.6203185391492214,0.32,241.0,Completed,802.0,735.0,1.0,0.0833895324096083,0.0
recommendation_system,0.1879034214695983,0.6193088660191803,0.32,250.0,Completed,801.0,765.0,1.0,0.0839335524542257,0.0
recommendation_system,0.1892895870469404,0.6173824183384994,0.32,262.0,Completed,714.0,832.0,1.0,0.0832670535549046,0.0
recommendation_system,0.1897272974846508,0.6172694318154232,0.32,267.0,Completed,746.0,827.0,1.0,0.0834969493998214,0.0
recommendation_system,0.1931069271142805,0.6170770492260893,0.32,269.0,Completed,387.0,828.0,1.0,0.083998599497341,0.0
recommendation_system,0.1987992671816205,0.6154130547259575,0.32,271.0,Completed,254.0,903.0,1.0,0.0843699331041425,0.0
recommendation_system,0.2176341849871265,0.5954255407821334,0.32,235.0,Completed,802.0,735.0,1.0,0.0833895324096083,0.1
recommendation_system,0.3597277926322041,0.4723547362957402,0.32,788.0,Completed,714.0,1190.0,3.0,0.083422773815592,0.9
recommendation_system,0.3602833481877596,0.4699674264856541,0.32,789.0,Completed,775.0,1193.0,3.0,0.0841248279735446,0.9
recommendation_system,0.3622467320261435,0.4664780951920637,0.32,876.0,Completed,755.0,1327.0,3.0,0.0830935055781155,0.9
recommendation_system,0.362673920578332,0.4662524841413159,0.32,1132.0,Completed,714.0,1184.0,5.0,0.0835485410289838,0.9
recommendation_system,0.3632294761338876,0.4645459435470544,0.32,1137.0,Completed,746.0,1186.0,5.0,0.0839282548772171,0.9
recommendation_system,0.3641385670429785,0.4617783368934801,0.32,1186.0,Completed,754.0,1238.0,5.0,0.0845657406812533,0.9
recommendation_system,0.3651928599722714,0.4607197035927088,0.32,1277.0,Completed,748.0,1328.0,5.0,0.0830467416155742,0.9
recommendation_system,0.3651928599722714,0.4607197035927088,0.32,1271.0,Completed,748.0,1328.0,5.0,0.083998599497341,0.9
recommendation_system,0.3653650475341649,0.4600513069982775,0.32,1464.0,Completed,749.0,1167.0,7.0,0.0837114254357293,0.9
recommendation_system,0.3657547286591401,0.4572250083690092,0.32,1542.0,Completed,784.0,1219.0,7.0,0.0839414691850543,0.9
recommendation_system,0.3660577589621704,0.456880424253082,0.32,1690.0,Completed,763.0,1205.0,8.0,0.0840538858221843,0.9
recommendation_system,0.3669668498712614,0.4553503633287864,0.32,1738.0,Completed,773.0,1222.0,8.0,0.084452166265808,0.9
recommendation_system,0.3689870518914633,0.4537030364457213,0.32,1953.0,Completed,757.0,1241.0,9.0,0.0830224467599764,0.9
