Status,ACCURACY,RUNTIME,recent_samples_size,n_samples,n_clusters,threshold
Completed,0.73,26,4451,1773,10,0.429
Completed,0.69,15,4163,2425,10,0.8
Completed,0.74,21,2660,409,10,0.999
Completed,0.7,3,2005,1230,1,0.888
Completed,0.7,8,4678,2354,1,0.727
Completed,0.69,23,377,4958,1,0.719
Completed,0.72,57,4502,2060,10,0.984
Completed,0.71,44,4460,2059,10,0.418
Completed,0.72,71,4933,2652,1,0.821
Completed,0.72,8,5000,1960,1,0.456
Completed,0.7,9,4948,3103,1,0.753
Completed,0.67,63,4895,2543,10,0.62
Completed,0.69,6,4665,3222,1,0.839
Completed,0.7,28,3382,2834,1,0.223
Completed,0.71,20,5000,1490,1,0.999
Completed,0.72,87,4874,1157,10,0.841
Completed,0.72,48,4709,2739,10,0.684
Completed,0.71,24,4135,3093,1,0.386
Completed,0.73,13,586,400,5,0.999
Completed,0.73,26,5000,3048,6,0.999
Completed,0.67,6,2465,1238,1,0.999
Completed,0.72,24,4746,3040,1,0.562
Completed,0.72,28,3343,1429,1,0.685
Completed,0.71,2,1,5000,1,0.999
Completed,0.7,9,4094,2358,6,0.737
Completed,0.72,6,34,350,3,0.825
Completed,0.73,19,5000,3119,10,0.999
Completed,0.72,12,4791,978,1,0.999
Completed,0.63,11,1,432,5,0.529
Completed,0.69,25,5000,3042,1,0.999
Completed,0.72,9,1251,1252,1,0.999
Completed,0.72,9,220,255,5,0.835
Completed,0.73,12,2418,410,5,0.999
Completed,0.71,712,5000,1578,10,0.001
Completed,0.73,44,1865,329,4,0.811
Completed,0.74,11,3699,1231,1,0.999
Completed,0.67,11,2069,1280,1,0.704
Completed,0.74,19,465,426,6,0.319
Completed,0.69,143,3359,1529,1,0.001
Completed,0.73,71,3499,1349,1,0.001
Completed,0.73,19,4351,840,1,0.815
Completed,0.72,15,1940,816,1,0.999
Completed,0.71,102,4847,1187,1,0.119
Completed,0.74,28,2745,290,5,0.092
Completed,0.72,80,3992,1293,1,0.118
Completed,0.72,37,4009,620,1,0.556
Completed,0.73,137,3010,46,6,0.101
Completed,0.73,36,3397,303,10,0.916
Completed,0.7,55,2834,1309,1,0.116
Completed,0.74,37,4190,475,1,0.096
Completed,0.73,19,529,251,6,0.09
Completed,0.71,101,4061,1214,1,0.132
Completed,0.73,31,4902,1703,5,0.489
Completed,0.71,86,4431,1988,6,0.24
Completed,0.73,74,3104,226,4,0.087
Completed,0.73,42,1953,329,4,0.09
Completed,0.73,53,4512,994,1,0.127
Completed,0.73,44,4975,1232,6,0.566
Completed,0.74,18,2139,91,8,0.105
Completed,0.73,38,4885,352,4,0.307
