Status,ACCURACY,RUNTIME,recent_samples_size,n_samples,n_clusters,threshold
Completed,0.92,779,4552,651,1,0.703
Completed,0.91,551,281,276,3,0.858
Completed,0.92,1602,1301,355,6,0.231
Completed,0.92,1002,4832,944,2,0.999
Completed,0.92,649,4693,616,1,0.999
Completed,0.92,743,1356,581,1,0.832
Completed,0.91,1164,1484,1697,1,0.545
Completed,0.91,3381,294,22,10,0.283
Completed,0.91,2594,1638,136,10,0.284
Completed,0.91,561,1682,1704,1,0.999
Completed,0.89,941,1693,2414,1,0.999
Completed,0.93,735,838,266,3,0.882
Completed,0.92,994,4613,1088,3,0.999
Completed,0.92,816,1116,312,3,0.93
Completed,0.9,988,1722,1172,3,0.999
Completed,0.91,704,1686,1449,2,0.999
Completed,0.9,1964,4405,2077,10,0.999
Completed,0.83,1343,331,1043,7,0.833
Completed,0.9,872,328,365,10,0.999
Completed,0.91,1733,3095,410,1,0.001
Completed,0.8,912,380,1709,1,0.856
Completed,0.92,1032,632,422,9,0.799
Completed,0.87,2124,698,1147,10,0.649
Completed,0.91,445,4340,1250,1,0.999
Completed,0.91,816,5000,1322,2,0.999
Completed,0.9,734,1053,1348,3,0.999
Completed,0.93,1114,905,282,7,0.239
Completed,0.91,577,1512,1288,1,0.999
Completed,0.79,5280,884,1727,10,0.001
Completed,0.92,546,318,169,3,0.912
Completed,0.91,935,3712,1171,2,0.999
Completed,0.93,1136,825,371,6,0.268
Completed,0.82,1151,499,2183,8,0.999
Completed,0.83,274,315,1451,1,0.999
Completed,0.83,1043,753,2098,10,0.999
Completed,0.85,1035,5000,4468,1,0.999
Completed,0.82,816,366,974,7,0.948
Completed,0.8,1466,1099,4185,1,0.767
Completed,0.92,1466,4809,434,1,0.035
Completed,0.93,1068,944,455,8,0.769
Completed,0.79,2015,228,1229,9,0.674
Completed,0.78,1626,727,4000,1,0.799
Completed,0.89,1273,5000,2450,3,0.999
Completed,0.84,1825,396,1109,10,0.687
Completed,0.85,678,281,770,4,0.819
Completed,0.93,973,1205,456,1,0.203
Completed,0.9,1348,5000,2702,1,0.479
Completed,0.89,915,5000,2341,1,0.999
Completed,0.9,442,1294,1497,1,0.999
Completed,0.81,366,161,791,2,0.961
Completed,0.87,1813,704,1557,3,0.492
Completed,0.9,1189,4584,2349,1,0.691
Completed,0.83,1051,435,1516,5,0.999
Completed,0.92,846,3132,637,6,0.999
Completed,0.84,1108,461,1457,3,0.789
Completed,0.85,1584,4919,4191,1,0.851
Completed,0.92,1271,4913,869,6,0.58
Completed,0.93,700,3004,469,1,0.624
Completed,0.77,1218,416,2999,3,0.999
Completed,0.79,626,204,1145,1,0.733
Completed,0.76,699,2041,601,3,0.639
Completed,0.9,3067,4172,2090,10,0.605
Completed,0.91,442,4132,1467,1,0.999
Completed,0.8,426,504,1870,1,0.999
Completed,0.92,1095,3569,445,1,0.365
Completed,0.92,1183,4308,946,1,0.828
Completed,0.92,521,1699,849,1,0.909
Completed,0.91,661,744,734,2,0.874
Completed,0.91,612,3054,724,2,0.893
Completed,0.91,707,1731,1347,1,0.561
Completed,0.92,720,767,543,1,0.352
Completed,0.92,1000,4681,515,2,0.695
Completed,0.87,3348,4931,3593,10,0.999
Completed,0.88,554,830,1334,1,0.642
Completed,0.92,674,5000,1396,1,0.999
Completed,0.89,1056,596,975,1,0.786
Completed,0.92,897,3659,599,4,0.764
Completed,0.92,733,4845,767,3,0.794
Completed,0.93,753,1730,704,3,0.999
Completed,0.92,564,1294,801,1,0.999
Completed,0.92,904,3623,724,4,0.9
Completed,0.92,1178,750,119,3,0.903
Completed,0.75,624,2703,4822,1,0.999
Completed,0.9,966,4006,1658,1,0.725
Completed,0.91,689,715,549,1,0.604
Completed,0.93,1036,269,57,3,0.886
Completed,0.91,480,1733,1449,1,0.999
Completed,0.93,844,4410,451,1,0.892
Completed,0.93,1180,1465,633,5,0.656
Completed,0.91,1647,4530,1515,10,0.999
Completed,0.92,530,3661,744,1,0.999
Completed,0.89,1785,3757,2839,10,0.999
Completed,0.87,409,691,1525,1,0.999
Completed,0.92,855,3192,497,1,0.387
Completed,0.89,856,1748,2719,1,0.999
Completed,0.92,703,1173,728,3,0.888
Completed,0.92,663,789,435,2,0.721
Completed,0.92,843,3433,847,1,0.999
Completed,0.91,1045,3775,1380,1,0.999
Completed,0.93,848,4248,714,1,0.999
Completed,0.91,973,4880,1489,1,0.999
Completed,0.9,905,792,962,1,0.999
Completed,0.91,462,2916,648,1,0.999
Completed,0.92,554,1406,801,2,0.999
Completed,0.9,860,1713,1905,1,0.999
Completed,0.91,456,3633,1466,1,0.999
Completed,0.93,815,4839,762,4,0.999
Completed,0.87,809,268,449,4,0.54
Completed,0.92,806,754,585,5,0.999
Completed,0.93,1513,4643,383,10,0.413
Completed,0.89,2434,5000,2994,8,0.999
Completed,0.92,591,700,329,1,0.821
Completed,0.92,828,746,233,2,0.856
Completed,0.9,353,706,840,1,0.999
Completed,0.87,2575,1419,2423,10,0.999
Completed,0.92,1016,1058,422,10,0.999
Completed,0.91,846,1721,946,1,0.999
Completed,0.9,865,1211,1693,1,0.999
Completed,0.92,586,2854,463,1,0.772
Completed,0.91,737,1332,838,5,0.999
Completed,0.92,1065,1406,472,8,0.999
Completed,0.91,643,1763,1560,1,0.999
Completed,0.93,1037,1316,399,2,0.77
Completed,0.91,769,4962,1521,2,0.999
Completed,0.91,807,4699,1440,1,0.999
Completed,0.9,546,1133,1409,1,0.999
Completed,0.88,1026,1056,1461,10,0.999
Completed,0.92,533,1400,733,1,0.999
Completed,0.9,4179,3632,102,3,0.063
Completed,0.79,2256,518,1935,4,0.68
Completed,0.9,1878,3900,2702,5,0.962
Completed,0.89,1423,2327,486,7,0.158
Completed,0.77,1854,695,4222,1,0.596
Completed,0.88,5105,2872,1458,9,0.275
Completed,0.79,3498,3032,4085,4,0.857
Completed,0.77,1299,2483,2566,2,0.708
Completed,0.92,1658,4055,349,9,0.421
Completed,0.84,5862,4813,3339,6,0.365
Completed,0.88,928,3179,2071,1,0.928
Completed,0.79,457,26,238,1,0.298
Completed,0.84,4217,1678,4001,6,0.986
Completed,0.69,3555,2111,2343,9,0.789
Completed,0.82,4265,1109,3575,3,0.479
Completed,0.91,1490,2661,734,7,0.641
Completed,0.92,1635,4281,336,10,0.999
Completed,0.93,1472,1401,388,1,0.126
Completed,0.89,741,170,260,1,0.045
Completed,0.88,661,177,353,1,0.248
Completed,0.84,4675,3743,3954,2,0.263
Completed,0.78,3674,296,1737,8,0.617
Completed,0.85,5357,1791,2971,4,0.178
Completed,0.91,2281,4595,208,7,0.952
Completed,0.87,6601,4117,3472,10,0.77
Completed,0.79,3271,1073,4449,6,0.669
Completed,0.81,4033,2626,2213,5,0.46
Completed,0.73,3800,2501,3712,1,0.225
Completed,0.82,6944,1957,4619,4,0.342
Completed,0.9,4335,4154,2480,6,0.538
Completed,0.91,3831,1833,1706,3,0.383
Completed,0.72,4271,185,2962,7,0.817
Completed,0.82,3568,671,1788,10,0.999
Completed,0.92,2243,3229,186,1,0.993
Completed,0.93,3367,2934,150,9,0.001
Completed,0.9,852,252,406,5,0.715
Completed,0.84,953,5000,4757,1,0.999
Completed,0.92,1366,2986,143,1,0.918
Completed,0.92,1545,4217,275,1,0.976
Completed,0.92,1555,1016,166,1,0.001
Completed,0.92,1451,1792,253,1,0.916
