Status,ACCURACY,RUNTIME,recent_samples_size,n_samples,n_clusters,threshold
Completed,0.73,1,599,5000,3,0.979
Completed,0.74,8,4151,1183,1,0.615
Completed,0.75,5,5000,965,1,0.953
Completed,0.74,319,4636,1288,10,0.303
Completed,0.75,6,4962,1290,1,0.879
Completed,0.74,23,4706,1748,1,0.732
Completed,0.75,27,5000,836,3,0.753
Completed,0.74,13,4438,3020,6,0.999
Completed,0.73,9,2730,2347,3,0.999
Completed,0.74,5,4663,1082,1,0.768
Completed,0.74,2,3742,3479,1,0.846
Completed,0.75,6,5000,1258,1,0.646
Completed,0.75,32,384,190,10,0.218
Completed,0.73,10,9,2708,4,0.994
Completed,0.73,1,551,4468,1,0.951
Completed,0.73,2,4561,4707,1,0.918
Completed,0.73,63,5000,3340,10,0.887
Completed,0.75,10,1899,460,1,0.999
Completed,0.74,9,5000,2311,3,0.999
Completed,0.74,9,3940,2525,3,0.958
Completed,0.75,9,4945,618,3,0.942
Completed,0.74,303,5000,1390,10,0.378
Completed,0.74,8,5000,2274,1,0.851
Completed,0.74,12,2923,1057,7,0.999
Completed,0.73,2,3031,3670,1,0.905
Completed,0.74,3,4930,2615,1,0.813
Completed,0.75,16,453,164,10,0.319
Completed,0.74,2,4678,3343,3,0.871
Completed,0.75,16,4916,1366,1,0.576
Completed,0.74,3,4865,3200,1,0.777
Completed,0.73,2,3389,3056,1,0.847
Completed,0.74,1,2872,3234,3,0.897
Completed,0.74,13,4842,2046,1,0.836
Completed,0.75,4,4873,1520,1,0.878
Completed,0.74,96,5000,862,1,0.001
Completed,0.73,12,1,66,10,0.307
Completed,0.75,8,750,406,3,0.831
Completed,0.73,11,1,435,10,0.999
Completed,0.74,54,3771,306,10,0.841
Completed,0.74,16,4920,573,5,0.87
Completed,0.75,6,5000,872,1,0.999
Completed,0.73,1,2066,3485,1,0.753
Completed,0.73,24,2341,3473,4,0.822
Completed,0.73,54,4378,5000,1,0.242
Completed,0.73,1,2700,3648,2,0.999
Completed,0.73,4,4212,5000,4,0.897
Completed,0.74,2,4986,3308,1,0.886
Completed,0.74,50,4719,463,10,0.836
Completed,0.73,2,1623,3166,1,0.851
Completed,0.74,177,5000,1307,10,0.001
Completed,0.75,7,2662,526,3,0.84
Completed,0.74,5,2602,1287,1,0.688
Completed,0.74,3,3552,2230,1,0.999
Completed,0.74,2,5000,3482,1,0.798
Completed,0.73,3,4122,3157,3,0.959
Completed,0.73,2,3008,3116,3,0.999
