Status,ACCURACY,RUNTIME,recent_samples_size,n_samples,n_clusters,threshold
Completed,0.55,0,2930,3455,3,0.66
Completed,0.55,1,4302,535,10,0.136
Completed,0.55,0,2210,4114,3,0.95
Completed,0.55,0,1973,1598,9,0.712
Completed,0.55,0,3909,2973,4,0.405
Completed,0.55,0,2536,1008,7,0.921
Completed,0.55,0,876,4892,2,0.242
Completed,0.56,1,271,178,5,0.061
Completed,0.55,0,3738,2592,6,0.197
Completed,0.58,5,1940,100,10,0.753
Completed,0.55,0,1,113,10,0.965
Completed,0.55,0,2704,4776,5,0.272
Completed,0.55,0,3821,1861,8,0.805
Completed,0.55,0,2164,2945,1,0.125
Completed,0.55,1,2395,422,7,0.355
Completed,0.55,0,4210,4306,1,0.544
Completed,0.55,2,1885,789,5,0.37
Completed,0.55,0,4945,4532,7,0.064
Completed,0.55,0,3534,1323,4,0.607
Completed,0.55,0,508,2701,9,0.291
Completed,0.55,0,1112,2367,6,0.472
Completed,0.55,0,3092,2341,9,0.004
Completed,0.55,0,1003,3715,5,0.817
Completed,0.55,0,357,1510,3,0.889
Completed,0.55,0,3422,2869,5,0.499
Completed,0.55,0,3874,3387,2,0.716
Completed,0.55,0,3578,3175,10,0.289
Completed,0.55,1,178,468,1,0.588
Completed,0.55,0,719,2811,4,0.645
Completed,0.58,5,4758,98,9,0.696
Completed,0.55,0,469,4317,10,0.904
Completed,0.55,0,4342,3067,6,0.506
Completed,0.55,1,5000,755,10,0.929
Completed,0.55,0,5000,2449,1,0.999
Completed,0.55,0,5000,1475,1,0.999
Completed,0.55,0,5000,1606,1,0.001
Completed,0.55,1,1,342,1,0.635
Completed,0.55,0,1,5000,10,0.001
Completed,0.55,0,1,3437,10,0.001
Completed,0.57,2,5000,264,10,0.806
Completed,0.55,0,1,2456,10,0.999
Completed,0.55,2,5000,453,1,0.819
Completed,0.55,0,1,1709,10,0.001
Completed,0.55,0,1,121,10,0.649
Completed,0.55,0,1,578,1,0.59
Completed,0.55,1,5000,914,10,0.872
Completed,0.55,0,5000,1848,10,0.999
Completed,0.55,0,1,3094,1,0.999
Completed,0.55,0,5000,1521,10,0.001
Completed,0.55,0,1,2219,1,0.001
Completed,0.55,0,5000,3026,1,0.999
Completed,0.56,0,1,78,1,0.999
Completed,0.55,0,5000,4315,10,0.999
Completed,0.55,0,1,1239,1,0.001
Completed,0.55,0,1,3753,1,0.001
Completed,0.55,0,5000,2425,10,0.001
Completed,0.55,0,5000,3067,10,0.001
Completed,0.55,0,1,1214,1,0.999
Completed,0.55,0,2786,4514,10,0.001
Completed,0.55,1,1,154,1,0.999
Completed,0.55,0,1,1975,1,0.999
Completed,0.55,0,2680,5000,1,0.999
Completed,0.55,0,5000,2888,10,0.999
Completed,0.55,0,5000,3770,1,0.999
Completed,0.55,0,1,3515,10,0.999
Completed,0.55,0,2650,2624,1,0.999
Completed,0.55,1,1,54,10,0.999
Completed,0.55,0,1,1175,10,0.999
Completed,0.55,0,5000,2588,1,0.001
Completed,0.55,0,2803,1421,1,0.001
Completed,0.55,0,5000,4761,10,0.001
Completed,0.55,0,5000,3373,1,0.001
Completed,0.55,0,3256,3890,10,0.001
Completed,0.55,0,1,2896,10,0.001
Completed,0.56,1,883,304,10,0.999
Completed,0.55,0,2745,5000,10,0.001
Completed,0.57,2,984,188,10,0.999
Completed,0.56,1,720,326,1,0.999
Completed,0.55,4,1058,73,1,0.999
Completed,0.56,2,863,204,1,0.999
Completed,0.56,1,706,407,1,0.999
Completed,0.58,2,963,132,1,0.999
Completed,0.56,1,777,255,1,0.999
Completed,0.56,7,1114,40,1,0.999
Completed,0.58,2,869,137,1,0.001
Completed,0.57,3,1007,100,1,0.999
Completed,0.55,0,1274,4233,10,0.001
Completed,0.57,15,5000,29,1,0.999
Completed,0.55,0,3799,5000,1,0.999
Completed,0.55,0,2976,1814,1,0.001
Completed,0.55,0,1830,1377,10,0.001
Completed,0.56,2,727,282,1,0.001
Completed,0.55,0,1573,4596,10,0.999
Completed,0.55,0,3738,4658,10,0.999
Completed,0.56,1,829,230,1,0.999
Completed,0.55,0,3803,2396,1,0.999
Completed,0.55,0,1665,4410,1,0.001
Completed,0.57,2,879,161,1,0.999
Completed,0.56,1,756,295,1,0.999
Completed,0.56,1,729,369,1,0.999
Completed,0.55,1,2262,264,10,0.999
Completed,0.56,1,2406,205,10,0.999
Completed,0.57,2,1965,324,10,0.999
Completed,0.56,3,1532,377,10,0.001
Completed,0.56,2,1741,328,10,0.001
Completed,0.55,2,2126,274,10,0.001
Completed,0.57,2,2560,172,10,0.999
Completed,0.56,3,919,378,10,0.001
Completed,0.56,1,2245,212,10,0.001
Completed,0.57,5,2655,42,10,0.999
Completed,0.56,1,2429,170,10,0.001
Completed,0.56,2,1671,356,10,0.999
Completed,0.57,4,2446,50,10,0.001
Completed,0.56,2,513,385,10,0.001
Completed,0.57,2,2489,126,10,0.001
Completed,0.56,1,858,371,10,0.999
Completed,0.57,3,1979,300,10,0.001
Completed,0.56,1,2335,235,10,0.999
Completed,0.55,1,2132,292,10,0.999
