Status,ACCURACY,RUNTIME,recent_samples_size,n_samples,n_clusters,threshold
Completed,0.7,7410,180,268,9,0.63
Completed,0.58,11901,1298,1246,7,0.473
Completed,0.61,9741,2295,504,7,0.832
Completed,0.74,5579,4660,263,2,0.967
Completed,0.61,12662,3888,597,5,0.369
Completed,0.78,4154,1815,200,9,0.487
Completed,0.61,11136,1987,733,4,0.936
Completed,0.55,14196,251,1257,9,0.337
Completed,0.83,5029,3537,72,6,0.083
Completed,0.68,9358,4742,401,8,0.598
Completed,0.58,7915,3977,1158,3,0.041
Completed,0.59,14049,532,585,10,0.94
Completed,0.6,13274,4415,798,4,0.639
Completed,0.73,2767,990,276,6,0.35
Completed,0.82,1142,2054,15,1,0.733
Completed,0.62,10057,4080,1314,5,0.97
Completed,0.59,13949,3624,744,8,0.256
Completed,0.59,10145,2815,1053,7,0.909
Completed,0.62,8154,1655,624,1,0.593
Completed,0.62,11764,1559,2030,3,0.396
Completed,0.6,9455,4806,706,2,0.151
Completed,0.83,2627,756,55,10,0.861
Completed,0.69,5762,298,337,6,0.458
Completed,0.57,8879,1338,691,10,0.676
Completed,0.74,4251,2445,237,5,0.244
Completed,0.73,3468,3147,303,10,0.566
Completed,0.64,8961,1152,543,3,0.696
Completed,0.71,5757,4122,359,1,0.857
Completed,0.57,14135,2222,814,2,0.415
Completed,0.59,11066,2667,558,7,0.225
Completed,0.81,3246,4876,123,7,0.916
Completed,0.59,9697,3475,1012,1,0.664
Completed,0.83,9333,4895,33,4,0.446
Completed,0.57,14214,825,771,7,0.535
Completed,0.79,6323,3858,2,2,0.729
Completed,0.69,11972,415,363,7,0.587
Completed,0.8,2756,685,139,8,0.269
Completed,0.67,7139,4760,422,3,0.408
Completed,0.69,4859,2224,313,4,0.921
Completed,0.64,9262,4607,562,3,0.598
Completed,0.54,14031,733,940,5,0.532
Completed,0.63,9094,2957,452,6,0.071
Completed,0.81,2377,1405,108,1,0.246
Completed,0.78,3437,4335,181,4,0.296
Completed,0.76,3461,2760,235,1,0.799
Completed,0.8,2856,1640,130,3,0.578
Completed,0.65,7821,918,451,3,0.219
Completed,0.56,12310,2741,878,1,0.525
Completed,0.8,1341,145,96,4,0.619
Completed,0.81,3611,4392,83,6,0.783
Completed,0.75,3999,3659,213,1,0.166
Completed,0.56,8133,234,652,1,0.789
Completed,0.66,8297,1265,376,5,0.071
Completed,0.63,7509,3306,521,2,0.482
Completed,0.79,2697,2517,183,3,0.82
Completed,0.8,2915,1424,136,7,0.973
Completed,0.81,2044,2907,108,3,0.343
Completed,0.68,10123,3698,439,4,0.993
Completed,0.76,2563,4050,223,7,0.707
Completed,0.79,2305,4285,148,9,0.192
Completed,0.64,12651,1976,4636,2,0.713
Completed,0.66,12989,2791,2698,4,0.898
Completed,0.83,3320,3269,73,1,0.317
Completed,0.81,4245,4715,97,6,0.71
Completed,0.7,5578,2178,252,9,0.949
Completed,0.7,6359,931,363,5,0.591
Completed,0.64,7402,3472,523,2,0.818
