Status,ACCURACY,RUNTIME,recent_samples_size,n_samples,n_clusters,threshold
Completed,0.41,1713,5000,474,7,0.74
Completed,0.37,1022,5000,664,1,0.799
Completed,0.11,1559,2870,3876,1,0.141
Completed,0.22,569,728,1173,9,0.902
Completed,0.04,1681,252,4578,6,0.751
Completed,0.44,2293,3658,313,4,0.014
Completed,0.18,1769,3822,3140,10,0.626
Completed,0.08,1043,2267,1771,2,0.388
Completed,0.15,4357,1997,4267,10,0.084
Completed,0.11,1429,1363,4941,3,0.683
Completed,0.1,711,177,1085,10,0.283
Completed,0.49,6955,1961,170,8,0.998
Completed,0.16,1941,4692,4221,1,0.341
Completed,0.36,1156,3947,815,5,0.481
Completed,0.15,1912,3610,3591,6,0.661
Completed,0.21,994,3461,2138,3,0.278
Completed,0.17,675,611,1493,6,0.758
Completed,0.1,706,2706,3562,3,0.807
Completed,0.23,1893,1194,1489,7,0.055
Completed,0.07,2160,401,3014,8,0.168
Completed,0.21,460,3187,1879,2,0.912
Completed,0.16,2186,4293,4082,8,0.292
Completed,0.09,637,2118,832,4,0.537
Completed,0.38,1193,4095,627,3,0.836
Completed,0.17,1449,3310,2829,6,0.457
Completed,0.3,756,3398,1048,4,0.644
Completed,0.37,942,1148,558,4,0.547
Completed,0.18,1706,1407,2558,7,0.35
Completed,0.27,700,4305,1608,1,0.941
Completed,0.06,1446,2230,2252,9,0.461
Completed,0.03,2459,19,4632,2,0.654
Completed,0.15,843,4849,4813,5,0.942
Completed,0.24,534,4255,2099,1,0.999
Completed,0.23,447,1100,1548,1,0.999
Completed,0.44,1759,1060,263,1,0.999
Completed,0.33,704,1074,698,1,0.78
Completed,0.39,1442,1069,404,1,0.999
Completed,0.49,2891,1057,161,1,0.999
Completed,0.3,592,1128,971,1,0.671
Completed,0.36,1141,1070,578,10,0.53
Completed,0.38,1001,1062,480,1,0.999
Completed,0.34,833,3905,918,1,0.153
Completed,0.34,967,4757,852,10,0.55
Completed,0.39,1559,4559,601,10,0.471
Completed,0.32,846,5000,1170,1,0.233
Completed,0.04,756,1,497,5,0.999
Completed,0.03,1066,1,163,4,0.999
Completed,0.37,1123,5000,657,1,0.22
Completed,0.24,622,2681,1013,2,0.037
Completed,0.25,660,2704,967,10,0.536
Completed,0.35,790,3419,712,2,0.076
Completed,0.29,689,5000,1448,1,0.266
Completed,0.03,708,1,342,5,0.999
Completed,0.32,816,4111,1181,10,0.647
Completed,0.16,1599,79,276,7,0.013
Completed,0.3,690,5000,1320,1,0.113
Completed,0.04,696,1,525,10,0.999
Completed,0.4,1458,4480,547,1,0.107
Completed,0.4,843,553,241,10,0.357
Completed,0.42,1281,3425,383,10,0.41
Completed,0.41,1640,4994,463,10,0.516
Completed,0.28,4853,1613,980,1,0.003
Completed,0.36,857,4929,809,1,0.319
Completed,0.55,5957,759,72,10,0.259
Completed,0.37,736,876,435,10,0.308
Completed,0.52,4661,901,106,10,0.999
Completed,0.4,971,950,351,10,0.538
Completed,0.4,4020,922,127,1,0.001
Completed,0.38,762,921,463,10,0.556
Completed,0.36,700,883,491,1,0.343
Completed,0.44,1312,906,255,10,0.76
