index,predicted_transformed_accuracy,predicted_transformed_runtime,recent_samples_size,feature_id,p,big_windowSize,small_windowSize
0,0.6193472222222228,0.8652277524034571,1901.0,3.0,16.0,646.0,128.0
1,0.6217025666016899,0.8602279217763985,1624.0,3.0,33.0,650.0,129.0
2,0.6310550682261215,0.8280379359795085,3605.0,3.0,14.0,778.0,166.0
3,0.644352664067577,0.820360720936698,3380.0,3.0,19.0,802.0,170.0
4,0.6506652046783631,0.7956078386507924,4655.0,3.0,15.0,1756.0,270.0
5,0.6720225795971415,0.7540429256767409,4321.0,3.0,61.0,1734.0,282.0
6,0.6006686159844057,0.873876748231924,1476.0,3.0,13.0,578.0,137.0
7,0.609027940220923,0.8619113343851927,2694.0,3.0,19.0,575.0,131.0
8,0.6213146523716704,0.8451015137399555,1777.0,3.0,24.0,1314.0,293.0
9,0.6293620045484086,0.8290640552728652,3282.0,3.0,8.0,768.0,166.0
10,0.6300886127355424,0.8234682421570585,4801.0,3.0,15.0,775.0,165.0
11,0.6382137751786878,0.8160879698271051,3260.0,3.0,24.0,801.0,173.0
12,0.6456581384015595,0.7774026414901851,4801.0,3.0,65.0,768.0,166.0
13,0.6470422352176745,0.7748726633160895,3727.0,3.0,56.0,1744.0,298.0
14,0.6620653021442499,0.7568869819201947,4122.0,3.0,52.0,1705.0,261.0
15,0.662465237166992,0.74135002618329,4072.0,3.0,74.0,1749.0,292.0
16,0.6712059779077322,0.6966860543716507,4711.0,3.0,155.0,804.0,167.0
17,0.6762483755685509,0.6961902555656863,4721.0,3.0,147.0,831.0,182.0
18,0.6789879792072774,0.6759886799867462,4925.0,3.0,182.0,831.0,178.0
19,0.679929012345679,0.6557756413622254,4787.0,3.0,196.0,1023.0,184.0
