index,predicted_transformed_accuracy,predicted_transformed_runtime,recent_samples_size,feature_id,p,big_windowSize,small_windowSize
0,0.3223572383974118,0.8323569938002758,1312.0,3.0,11.0,644.0,149.0
1,0.3389203095405969,0.8282427149913174,1160.0,3.0,3.0,1134.0,276.0
2,0.3954296793994435,0.8173070691153449,1332.0,1.0,6.0,1261.0,306.0
3,0.4058962714113884,0.8167223069353733,1212.0,0.0,7.0,1188.0,290.0
4,0.4129498292618854,0.814374034305312,1334.0,0.0,8.0,1257.0,280.0
5,0.4376673510016174,0.7977966598911306,525.0,7.0,3.0,321.0,80.0
6,0.4466640727607039,0.7935800828746692,785.0,7.0,6.0,630.0,144.0
7,0.4538475453803933,0.7848890345085426,1836.0,5.0,4.0,1561.0,361.0
8,0.456994077737685,0.7830003889310675,1995.0,5.0,5.0,1578.0,362.0
9,0.5099089419766903,0.6176949187819727,4734.0,6.0,166.0,934.0,191.0
10,0.5173078401282948,0.6169593399216166,4774.0,8.0,179.0,810.0,188.0
11,0.5383026142977609,0.6168966644901577,4772.0,7.0,152.0,920.0,192.0
12,0.5425270139493723,0.6143478103822615,4745.0,7.0,164.0,865.0,174.0
13,0.3498326213484853,0.8179202231399245,1275.0,3.0,3.0,1255.0,302.0
14,0.411132830105207,0.805199655577815,1503.0,0.0,2.0,1348.0,318.0
15,0.4424038267457449,0.7936118599275339,1907.0,5.0,8.0,1443.0,349.0
16,0.4599512549596999,0.7800047017586861,1779.0,5.0,15.0,1764.0,376.0
17,0.5137329676634453,0.6123174383360489,4923.0,7.0,155.0,988.0,209.0
18,0.5200996364038537,0.6093117657377359,4993.0,7.0,177.0,914.0,195.0
19,0.5283895317489934,0.6053764937526221,4802.0,6.0,170.0,984.0,185.0
