source,accuracy_estimation,runtime_estimation,ACCURACY,RUNTIME,Status,recent_samples_size,batch_size,gamma,alpha,use_mmd2,use_k2s_test
benchmark_pareto,0.32,7.0,0.32,4.0,Completed,320,4705,7.037,0.047,False,False
benchmark_pareto,0.33,9.0,0.33,6.0,Completed,1744,2325,1.295,0.008,False,False
benchmark_pareto,0.35,11.0,0.35,7.0,Completed,63,2999,0.762,0.028,False,False
benchmark_pareto,0.37,13.0,0.37,8.0,Completed,4967,3690,0.175,0.017,False,False
benchmark_pareto,0.4,14.0,0.4,9.0,Completed,2029,2811,0.173,0.047,False,False
benchmark_pareto,0.43,18.0,0.43,10.0,Completed,4888,2141,0.082,0.011,False,False
benchmark_pareto,0.49,22.0,0.49,11.0,Completed,5000,2341,0.001,0.05,False,False
benchmark_pareto,0.5,31.0,0.5,17.0,Completed,1185,119,0.275,0.043,False,False
benchmark_pareto,0.55,44.0,0.55,26.0,Completed,1538,15,0.868,0.001,False,False
benchmark_pareto,0.57,50.0,0.57,27.0,Completed,4726,28,0.057,0.042,True,False
benchmark_pareto,0.62,258.0,0.62,195.0,Completed,3448,117,9.462,0.028,False,True
benchmark_pareto,0.63,291.0,0.63,213.0,Completed,40,123,7.36,0.026,True,True
benchmark_max_rt,,14379.0,,10137.0,Completed,4131,2839,4.616,0.003,False,True
benchmark_min_acc,0.28,,0.28,,Completed,3174,1542,1.084,0.044,False,False
paper_default,-1.0,-1.0,0.42,11.0,Completed,120,120,1.0,0.1,False,False
paper_default,-1.0,-1.0,0.42,10.0,Completed,2000,120,1.0,0.1,False,False
paper_default,-1.0,-1.0,0.34,5.0,Completed,2000,2000,1.0,0.1,False,False
recommendation_system,0.3786920048046213,0.9823923373802868,0.32,4.0,Completed,2573,4737,3.736137831721821,0.0266682001706291,False,False
recommendation_system,0.3799092952111533,0.9821187569866604,0.32,4.0,Completed,2372,4725,3.4139405968301,0.0190921432804316,False,False
recommendation_system,0.3866049632342205,0.9814379527001268,0.32,4.0,Completed,2267,4721,3.736137831721821,0.0302596645399907,False,False
recommendation_system,0.402448257152205,0.979040376062672,0.32,4.0,Completed,1873,4737,3.083118737501175,0.0302596645399907,False,False
recommendation_system,0.4041242170711991,0.97591772682923,0.32,4.0,Completed,137,4746,3.2119698283104228,0.0482561304233968,False,False
recommendation_system,0.4056287447502624,0.9758654208511068,0.32,4.0,Completed,1596,4857,2.7295254164729266,0.0290713372640311,False,False
recommendation_system,0.4074563614858292,0.9723370565193776,0.32,4.0,Completed,1951,4087,2.7743834573787547,0.0302596645399907,False,False
recommendation_system,0.4111446284132601,0.9686981525405374,0.32,4.0,Completed,1739,4087,2.7743834573787547,0.0302596645399907,False,False
recommendation_system,0.4307058557627449,0.9494419672033044,0.32,4.0,Completed,1739,4737,1.7927378875835578,0.0325714810337084,False,False
recommendation_system,0.4368957628137754,0.9446470375881156,0.32,4.0,Completed,2094,4249,1.509637012765079,0.0302596645399907,False,False
recommendation_system,0.4382856138959086,0.940534760678718,0.32,4.0,Completed,1787,4860,1.5651524210721257,0.0312261633109301,False,False
recommendation_system,0.4541632581384907,0.9260206670969712,0.32,4.0,Completed,1739,4975,0.8995314906355577,0.0404324369171859,False,False
recommendation_system,0.4602952908804304,0.9090314640817784,0.32,4.0,Completed,1900,4922,0.4705225137863308,0.0393667378928512,False,False
recommendation_system,0.4623481772785181,0.9088305558748568,0.33,7.0,Completed,4519,4115,0.1359240645673126,0.0314850809518247,False,False
recommendation_system,0.471373226446756,0.9000319909549239,0.38,8.0,Completed,1138,4156,0.1391144566368311,0.033898836793378,False,False
recommendation_system,0.5330577502133229,0.8281944119474357,0.48,13.0,Completed,1191,161,0.864324196809728,0.0272919336366208,False,False
recommendation_system,0.5439365912295474,0.7950735929194265,0.52,14.0,Completed,1058,108,0.1342627324545812,0.0274715804741216,False,False
recommendation_system,0.5561407613284545,0.7640658047475778,0.58,21.0,Completed,647,26,0.2696290579972014,0.0293888473831854,False,False
recommendation_system,0.5597339567037707,0.7425074442050008,0.6,23.0,Completed,1212,17,0.1639213606304833,0.025388232349309,False,False
recommendation_system,0.8745164867811929,0.4215800338382242,0.63,180.0,Completed,4715,127,5.246382632129826,0.0496852004434913,False,True
