source,accuracy_estimation,runtime_estimation,ACCURACY,RUNTIME,Status,recent_samples_size,batch_size,gamma,alpha,use_mmd2,use_k2s_test
benchmark_pareto,0.58,32.0,0.58,41.0,Completed,2232,4762,2.77,0.02,False,False
benchmark_pareto,0.59,38.0,0.59,43.0,Completed,4256,1573,2.643,0.048,False,False
benchmark_pareto,0.6,41.0,0.6,44.0,Completed,4048,1184,2.068,0.039,False,False
benchmark_pareto,0.63,52.0,0.63,46.0,Completed,1504,1055,2.062,0.017,False,False
benchmark_pareto,0.64,71.0,0.64,51.0,Completed,2971,1157,1.565,0.01,False,False
benchmark_pareto,0.65,78.0,0.65,54.0,Completed,3127,999,1.55,0.021,False,False
benchmark_pareto,0.66,84.0,0.66,63.0,Completed,1135,494,1.58,0.003,False,False
benchmark_pareto,0.67,97.0,0.67,80.0,Completed,2715,984,1.349,0.011,False,False
benchmark_pareto,0.69,116.0,0.69,100.0,Completed,113,268,0.051,0.014,False,False
benchmark_pareto,0.7,132.0,0.7,117.0,Completed,4137,485,0.581,0.006,False,False
benchmark_pareto,0.71,154.0,0.71,131.0,Completed,4375,372,0.001,0.0,False,False
benchmark_pareto,0.72,181.0,0.72,159.0,Completed,1,667,0.001,0.0,False,False
benchmark_pareto,0.79,1323.0,0.79,800.0,Completed,3899,52,9.369,0.041,False,True
benchmark_max_rt,,13458.0,,11863.0,Completed,3017,249,5.477,0.022,False,True
benchmark_min_acc,0.03,,0.03,,Completed,4462,2477,4.857,0.025,False,False
paper_default,-1.0,-1.0,0.63,45.0,Completed,120,120,1.0,0.1,False,False
paper_default,-1.0,-1.0,0.63,47.0,Completed,2000,120,1.0,0.1,False,False
paper_default,-1.0,-1.0,0.65,73.0,Completed,2000,2000,1.0,0.1,False,False
recommendation_system,0.2057058884742708,0.987589224087004,0.58,28.0,Completed,422,4613,7.488935804395006,0.0284167329315096,False,False
recommendation_system,0.2058649948907302,0.9873231087665972,0.58,29.0,Completed,1870,4608,7.918516658175737,0.0230850078631192,False,False
recommendation_system,0.2080752797039561,0.9870660085966448,0.58,29.0,Completed,680,4409,7.287158861971461,0.0140978962182998,False,False
recommendation_system,0.2148220851860558,0.9858765690759528,0.58,30.0,Completed,3426,4117,7.454359524423095,0.0414931256755447,False,False
recommendation_system,0.3303577945747063,0.9685736580681203,0.6,25.0,Completed,2684,2804,2.059307742992296,0.0337483137746207,False,False
recommendation_system,0.3514119020957258,0.9598026832882068,0.61,32.0,Completed,3136,2499,1.7058712750272824,0.0338029634207487,False,False
recommendation_system,0.3628075547818196,0.9493732000149852,0.63,48.0,Completed,4951,2275,1.330215618116781,0.0369423864874988,False,False
recommendation_system,0.3700385409797178,0.9482476727238786,0.62,49.0,Completed,2987,2937,1.2855296561365002,0.0316568115200268,False,False
recommendation_system,0.3713669069220544,0.9458255477020264,0.66,87.0,Completed,2684,2804,0.9789949069400572,0.0388919393678423,False,False
recommendation_system,0.4085125649133003,0.9257020754782777,0.66,97.0,Completed,3078,2908,0.5837974959621206,0.029829596588388,False,False
recommendation_system,0.4094574283287517,0.9216155413607038,0.66,101.0,Completed,3336,2993,0.6413977060159669,0.0296003301162272,False,False
recommendation_system,0.4624441108999931,0.8994586314624502,0.71,81.0,Completed,1127,462,0.1358524343986064,0.0375289518851786,False,False
recommendation_system,0.4699500653213886,0.8920918674512625,0.7,73.0,Completed,739,409,0.2584515257102614,0.0390095748583561,False,False
recommendation_system,0.4702284270740153,0.8898201040369375,0.68,61.0,Completed,1048,290,0.2590707493172958,0.0402356043457984,False,False
recommendation_system,0.4768928502053504,0.8835027223446491,0.67,55.0,Completed,1192,260,0.1810740610937518,0.0435337437404626,False,False
recommendation_system,0.4833475854211149,0.8823765222602519,0.66,49.0,Completed,613,216,0.2595432625238706,0.0384733188081441,False,False
recommendation_system,0.893107869663015,0.4000449914886945,0.79,754.0,Completed,2303,67,3.094574975334108,0.0142178612295538,True,True
recommendation_system,0.9088638839374122,0.3716982759228118,0.79,847.0,Completed,1455,84,6.83603250645008,0.0400786462239921,True,True
recommendation_system,0.9158757055852624,0.357907182240834,0.79,894.0,Completed,609,91,6.544604848450982,0.0378054418135434,True,True
recommendation_system,0.9207986853832424,0.3463457046277281,0.79,958.0,Completed,170,110,5.858704599252903,0.039102714555338,True,True
