source,accuracy_estimation,runtime_estimation,ACCURACY,RUNTIME,Status,recent_samples_size,batch_size,gamma,alpha,use_mmd2,use_k2s_test
benchmark_pareto,0.07,85.0,0.07,54.0,Completed,708,4545,3.44,0.014,False,False
benchmark_pareto,0.08,105.0,0.08,81.0,Completed,1462,4099,2.248,0.041,False,False
benchmark_pareto,0.09,115.0,0.09,93.0,Completed,2915,3979,2.162,0.044,False,False
benchmark_pareto,0.11,258.0,0.11,202.0,Completed,2593,3970,0.871,0.009,False,False
benchmark_pareto,0.12,491.0,0.12,275.0,Completed,127,822,0.154,0.04,False,False
benchmark_pareto,0.16,1036.0,0.16,475.0,Completed,1,142,0.001,0.05,True,False
benchmark_max_rt,,2986.0,,2599.0,Completed,3004,6,1.849,0.032,True,False
benchmark_min_acc,0.03,,0.03,,Completed,2305,49,2.254,0.049,False,False
paper_default,-1.0,-1.0,0.05,367.0,Completed,120,120,1.0,0.1,False,False
paper_default,-1.0,-1.0,0.05,358.0,Completed,2000,120,1.0,0.1,False,False
paper_default,-1.0,-1.0,0.08,180.0,Completed,2000,2000,1.0,0.1,False,False
recommendation_system,0.3747733475101893,0.9936642694919804,0.06,61.0,Completed,594,3855,8.218534399935043,0.0452351995743811,False,False
recommendation_system,0.3954340379692542,0.993405429951183,0.06,65.0,Completed,4100,3103,9.452981579475104,0.0354259824845939,False,False
recommendation_system,0.4056640626745115,0.9923591782034644,0.07,54.0,Completed,4285,4099,3.165299203079193,0.033162910817191,False,False
recommendation_system,0.4219015566620053,0.9922326856329864,0.06,72.0,Completed,4242,1477,4.33798186771758,0.0255165114067494,False,False
recommendation_system,0.4241871508837453,0.9922273884113896,0.05,71.0,Completed,4335,2278,3.574246858531609,0.0287213508505374,False,False
recommendation_system,0.4265776218249126,0.9920138589189452,0.05,79.0,Completed,4192,1446,4.239123723687868,0.0241350605943954,False,False
recommendation_system,0.4484502737830911,0.9905618071854349,0.05,84.0,Completed,1266,1406,3.704381821764633,0.0365909391548484,False,False
recommendation_system,0.4533423320816896,0.9904805287743028,0.05,87.0,Completed,1315,1442,3.5513525458611546,0.0369254836812615,False,False
recommendation_system,0.4553481642125218,0.9895338508883466,0.05,133.0,Completed,1191,1401,3.266404928388648,0.0454818639278073,False,False
recommendation_system,0.4559725786912322,0.9886550647014302,0.05,141.0,Completed,4057,1025,3.264217463891022,0.0179882877040654,False,False
recommendation_system,0.4669399290151997,0.9865473694320068,0.06,160.0,Completed,4118,1516,2.174304523141123,0.0369135966990143,False,False
recommendation_system,0.4780538832226136,0.9825808526579132,0.06,193.0,Completed,468,1485,1.6886491478169336,0.0389473256189376,False,False
recommendation_system,0.478467020846084,0.9810698712925584,0.07,180.0,Completed,4192,1728,1.4251819827619228,0.0396574106504194,False,False
recommendation_system,0.4903312352851826,0.977189312843168,0.08,183.0,Completed,3730,1728,1.2502671471129387,0.0396574106504194,False,False
recommendation_system,0.5079771429837218,0.964090113857946,0.11,186.0,Completed,753,2094,0.2390363676008745,0.0372203586608943,False,False
recommendation_system,0.5083732163519313,0.9637474882719008,0.11,211.0,Completed,4192,1331,0.2373009367778783,0.0378005921630566,False,False
recommendation_system,0.5086180159995949,0.9633600509641784,0.11,187.0,Completed,753,2094,0.2390363676008745,0.0367333886215606,False,False
recommendation_system,0.5180069669680738,0.9611590828821096,0.1,214.0,Completed,419,1363,0.2882417099932208,0.0378756831865757,False,False
recommendation_system,0.5249930203740187,0.9599142604381838,0.12,226.0,Completed,3979,716,0.2390363676008745,0.0403609539413057,False,False
recommendation_system,0.5588773228190795,0.9462216726939228,0.11,244.0,Completed,522,433,0.1383092694152146,0.0371316378004848,False,False
