Status,ACCURACY,RUNTIME,recent_samples_size,n_samples,k_neighbors,n_permutations,significance_level
Failed,,,1207,2651,41,534,0.12
Failed,,,3216,2071,96,212,0.918
Failed,,,2721,3150,69,65,0.845
Failed,,,355,1495,23,680,0.178
Failed,,,2185,4868,87,434,0.297
Failed,,,4819,402,29,815,0.726
Failed,,,4785,4182,84,293,0.969
Failed,,,2141,1166,26,955,0.055
Failed,,,322,2776,66,207,0.425
Failed,,,2677,1947,20,541,0.599
Failed,,,3260,3294,44,674,0.666
Failed,,,1241,1351,99,71,0.373
Failed,,,1299,4699,12,824,0.243
Failed,,,4280,570,54,424,0.796
Failed,,,2949,131,47,116,0.937
Failed,,,3616,4016,15,232,0.764
Failed,,,635,629,70,523,0.212
Failed,,,1827,2923,34,271,0.341
Failed,,,3846,2347,77,984,0.635
Failed,,,4205,4913,32,623,0.487
Failed,,,1527,445,86,133,0.537
Failed,,,1013,3193,25,879,0.906
Failed,,,3335,1540,66,374,0.118
Failed,,,552,2037,39,781,0.858
Failed,,,1911,4336,53,29,0.729
Failed,,,4857,943,8,727,0.31
Failed,,,4934,2703,46,990,0.8
Failed,,,1992,2029,91,265,0.223
Failed,,,470,4110,1,513,0.346
Failed,,,2528,1247,59,241,0.678
Failed,,,3409,4784,79,106,0.618
Failed,,,1093,495,37,647,0.421
Failed,,,1448,3378,73,397,0.043
Failed,,,4130,1277,19,860,0.996
Failed,,,3767,3790,64,748,0.13
Failed,,,1753,933,22,7,0.831
Failed,,,709,3009,82,755,0.709
Failed,,,3695,2339,27,499,0.252
Failed,,,2867,3683,10,349,0.452
Failed,,,228,1586,56,905,0.525
Failed,,,2312,4463,42,155,0.902
Failed,,,4673,181,100,602,0.074
Failed,,,4441,4677,23,418,0.647
Failed,,,2384,56,68,830,0.314
Failed,,,157,3582,30,81,0.193
Failed,,,3098,1775,88,665,0.768
Failed,,,3466,2850,52,550,0.964
Failed,,,783,2429,10,196,0.012
Failed,,,1679,3944,94,949,0.389
Failed,,,3995,710,40,298,0.587
Failed,,,4359,3263,92,160,0.283
Failed,,,1374,1459,49,588,0.74
Failed,,,1167,4981,61,339,0.862
Failed,,,3180,366,6,907,0.161
Failed,,,2759,4249,33,808,0.106
Failed,,,398,1021,78,439,0.933
Failed,,,2064,2531,13,691,0.556
Failed,,,1153,355,79,514,0.68
Failed,,,1387,3274,19,264,0.81
Failed,,,2397,4687,100,6,0.136
Failed,,,4451,45,42,750,0.841
Failed,,,4679,4456,68,301,0.376
Failed,,,2323,189,23,947,0.586
Failed,,,217,3674,87,198,0.954
Failed,,,2861,1596,30,547,0.007
Failed,,,3704,3020,10,667,0.199
Failed,,,1535,4920,54,957,0.982
Failed,,,4218,437,12,291,0.057
Failed,,,3835,2911,57,183,0.813
Failed,,,1821,2358,2,564,0.147
Failed,,,641,4005,89,316,0.27
Failed,,,3627,639,47,931,0.691
Failed,,,4772,1157,53,625,0.542
Failed,,,2892,803,72,321,0.761
Failed,,,1424,2566,46,168,0.226
Failed,,,4093,2166,88,580,0.797
Failed,,,1783,1,98,307,0.905
Failed,,,3748,1720,55,188,0.451
Failed,,,2817,2876,84,89,0.253
Failed,,,183,2472,27,658,0.708
Failed,,,2279,3970,65,410,0.828
Failed,,,4645,753,20,838,0.133
Failed,,,4406,3767,97,146,0.588
Failed,,,2363,887,39,609,0.388
Failed,,,3056,2293,7,898,0.967
Failed,,,3507,3718,30,762,0.765
Failed,,,838,1639,85,491,0.195
Failed,,,1702,4499,25,740,0.315
Failed,,,4034,234,67,16,0.646
Failed,,,4334,2671,16,404,0.482
Failed,,,2097,3403,94,998,0.739
Failed,,,4731,1320,49,258,0.284
Failed,,,4764,3989,61,903,0.669
Failed,,,2081,656,5,346,0.371
Failed,,,459,2894,93,597,0.249
Failed,,,1105,1858,72,743,0.05
Failed,,,1356,4584,32,496,0.426
Failed,,,4299,139,78,752,0.597
Failed,,,4381,1552,9,509,0.457
Failed,,,4070,4400,2,201,0.186
Failed,,,4914,2820,25,318,0.624
Failed,,,1932,2459,67,938,0.414
Failed,,,3313,4665,52,716,0.801
Failed,,,3563,2732,81,128,0.641
Failed,,,918,2000,36,618,0.32
Failed,,,1621,4137,74,371,0.19
Failed,,,3977,1220,17,877,0.771
Failed,,,2665,23,52,970,0.033
Failed,,,3357,866,11,178,0.549
Failed,,,573,211,82,710,0.292
Failed,,,1889,3740,22,459,0.172
Failed,,,4879,1617,64,797,0.867
Failed,,,496,3456,70,943,0.785
Failed,,,2501,1823,15,312,0.238
Failed,,,130,4178,98,401,0.626
Failed,,,3125,1102,44,845,0.335
Failed,,,3440,4754,21,995,0.4
Failed,,,810,603,66,251,0.576
Failed,,,1652,3349,26,504,0.948
Failed,,,3120,2755,91,976,0.422
Failed,,,1731,4853,1,322,0.484
Failed,,,3789,427,59,926,0.555
Failed,,,4108,2941,10,533,0.313
Failed,,,2587,1605,76,167,0.504
Failed,,,880,345,26,145,0.182
Failed,,,4263,3965,75,250,0.394
Failed,,,4802,35,90,100,0.34
Failed,,,2168,916,92,240,0.887
Failed,,,373,3034,5,991,0.509
Failed,,,924,4125,87,749,0.437
Failed,,,14,470,51,598,0.361
Failed,,,3897,2138,41,199,0.299
Failed,,,4918,724,73,441,0.631
Failed,,,3823,4206,4,463,0.812
Failed,,,1775,1152,62,785,0.227
Failed,,,4617,556,33,317,0.984
Failed,,,4376,4886,58,641,0.294
Failed,,,849,2053,74,982,0.921
Failed,,,3133,2663,28,524,0.143
Failed,,,1114,1991,83,222,0.818
Failed,,,4329,1210,63,278,0.27
Failed,,,3743,4636,6,70,0.302
Failed,,,762,18,60,685,0.722
Failed,,,4097,4291,41,711,0.946
Failed,,,1420,1056,96,45,0.031
Failed,,,3364,2149,51,458,0.575
Failed,,,966,1126,46,559,0.895
Failed,,,1496,2738,58,313,0.516
Failed,,,3874,4430,55,586,0.687
Failed,,,1860,302,13,170,0.352
Failed,,,680,3648,97,921,0.233
Failed,,,2896,3053,20,452,0.988
Failed,,,257,2227,65,801,0.035
Failed,,,4566,820,84,701,0.61
Failed,,,2432,666,53,996,0.869
Failed,,,4123,4159,13,219,0.971
Failed,,,3767,165,59,278,0.182
Failed,,,1202,4761,1,578,0.099
Failed,,,1830,149,96,15,0.493
Failed,,,3982,3440,32,989,0.582
Failed,,,2441,3201,39,29,0.079
Failed,,,564,1719,57,591,0.45
Failed,,,1438,713,6,246,0.2
Failed,,,4373,2891,68,751,0.843
Failed,,,1765,4864,73,312,0.891
Failed,,,1142,251,30,875,0.513
Failed,,,3360,3659,92,131,0.413
Failed,,,2996,1191,53,97,0.31
Failed,,,1301,3048,79,521,0.533
Failed,,,679,2035,23,83,0.935
Failed,,,2304,2839,5,474,0.991
Failed,,,427,1982,98,912,0.605
Failed,,,2572,4121,36,94,0.438
Failed,,,3571,1668,22,180,0.34
Failed,,,1006,1219,14,632,0.417
Failed,,,1997,1521,74,32,0.17
Failed,,,4027,3858,71,456,0.367
Failed,,,4335,489,2,22,0.544
Failed,,,492,672,46,120,0.727
Failed,,,213,4979,76,437,0.424
Failed,,,2086,211,19,1000,0.046
Failed,,,4937,3698,58,6,0.88
Failed,,,3806,2551,23,514,0.489
Failed,,,4382,24,83,516,0.933
Failed,,,4159,2644,56,644,0.77
Failed,,,3130,2463,5,487,0.622
Failed,,,708,4036,100,997,0.258
Failed,,,1072,434,13,692,0.625
Failed,,,3494,3254,93,202,0.494
Failed,,,1290,4678,62,410,0.976
Failed,,,2318,2052,78,312,0.818
Failed,,,4932,80,44,649,0.161
Failed,,,1220,4079,100,44,0.502
Failed,,,4886,2821,17,958,0.879
Failed,,,341,1945,14,591,0.526
Failed,,,3336,861,50,877,0.322
Failed,,,1565,3335,7,110,0.255
Failed,,,1613,1763,55,554,0.044
Failed,,,2820,2784,12,138,0.635
Failed,,,4556,426,83,981,0.867
Failed,,,4351,3014,81,352,0.517
Failed,,,3280,21,1,502,0.971
Failed,,,3630,3314,52,936,0.426
Failed,,,3760,995,30,212,0.069
Failed,,,3121,1630,100,833,0.266
Failed,,,1821,2651,43,484,0.919
Failed,,,4214,4137,42,998,0.674
Failed,,,2111,3053,21,533,0.471
Failed,,,2964,3733,58,774,0.873
Failed,,,4661,711,37,124,0.637
Failed,,,3436,4637,43,577,0.393
Failed,,,397,3182,21,892,0.689
Failed,,,114,4214,34,491,0.768
Failed,,,2977,1932,45,190,0.246
Failed,,,2840,849,84,590,0.087
Failed,,,2055,1820,16,982,0.308
Failed,,,4905,1046,88,253,0.336
Failed,,,651,4329,70,819,0.632
Failed,,,144,767,79,922,0.559
Failed,,,3861,4757,35,271,0.154
Failed,,,1240,2290,22,746,0.204
Failed,,,4952,3165,66,64,0.611
Failed,,,3387,578,94,21,0.186
