Status,ACCURACY,RUNTIME,recent_samples_size,n_samples,k_neighbors,n_permutations,significance_level
Failed,,,2212,2317,32,934,0.99
Failed,,,4934,4917,93,246,0.171
Failed,,,3692,864,9,502,0.428
Failed,,,960,3146,70,314,0.732
Failed,,,1055,2461,95,104,0.21
Failed,,,3598,4705,34,792,0.888
Failed,,,4850,769,66,454,0.645
Failed,,,2297,3330,5,642,0.45
Failed,,,1566,619,41,589,0.307
Failed,,,4335,2862,77,276,0.595
Failed,,,3078,1349,24,970,0.869
Failed,,,319,3910,60,157,0.035
Failed,,,60,1071,18,344,0.961
Failed,,,2791,3672,54,531,0.127
Failed,,,4038,2119,47,225,0.402
Failed,,,1317,4402,83,912,0.691
Failed,,,4626,3943,94,868,0.78
Failed,,,3635,2983,3,19,0.713
Failed,,,1351,4263,8,878,0.531
Failed,,,1279,1508,37,617,0.302
Failed,,,3859,648,5,858,0.611
Failed,,,1147,1947,13,247,0.634
Failed,,,1666,4973,57,775,0.938
Failed,,,69,3437,48,113,0.504
Failed,,,4452,3145,9,437,0.882
Failed,,,2737,1207,61,590,0.688
Failed,,,3539,4719,99,709,0.576
Failed,,,974,3078,68,953,0.262
Failed,,,4042,4357,75,93,0.485
Failed,,,4786,4117,7,672,0.25
Failed,,,3027,1562,51,323,0.429
Failed,,,997,1799,49,423,0.135
Failed,,,2009,1652,73,859,0.554
Failed,,,4591,4252,12,47,0.359
Failed,,,3348,277,89,709,0.114
Failed,,,757,2559,28,397,0.793
Failed,,,801,66,53,939,0.494
Failed,,,3226,2783,14,126,0.658
Failed,,,4478,1758,86,620,0.93
Failed,,,2043,4158,47,308,0.221
Failed,,,1507,1896,8,485,0.022
Failed,,,3769,4613,72,673,0.825
Failed,,,2512,1165,29,73,0.585
Failed,,,260,3565,93,761,0.265
Failed,,,587,1416,35,740,0.738
Failed,,,2888,3855,99,428,0.419
Failed,,,4135,368,1,828,0.18
Failed,,,1844,3124,65,16,0.983
Failed,,,2738,1,16,406,0.254
Failed,,,1620,529,59,475,0.564
Failed,,,4138,4340,16,515,0.331
Failed,,,2624,1916,82,23,0.13
Failed,,,145,3266,43,999,0.897
Failed,,,678,1482,2,761,0.838
Failed,,,3195,2793,73,223,0.072
Failed,,,4807,993,26,746,0.406
Failed,,,2327,4843,99,269,0.637
Failed,,,1938,2320,36,184,0.295
Failed,,,4416,3514,91,833,0.561
Failed,,,3585,308,12,325,0.976
Failed,,,1070,3963,64,661,0.246
Failed,,,3115,3098,99,618,0.986
Failed,,,3965,678,1,110,0.535
Failed,,,1481,4524,75,883,0.305
Failed,,,3771,4654,87,722,0.095
Failed,,,4519,4489,3,251,0.491
Failed,,,3493,1757,100,775,0.033
Failed,,,1015,3063,26,235,0.8
Failed,,,433,2192,17,6,0.998
Failed,,,2951,3537,60,982,0.232
Failed,,,3801,180,44,491,0.309
Failed,,,1769,949,98,122,0.343
