Status,ACCURACY,RUNTIME,recent_samples_size,n_samples,k_neighbors,n_permutations,significance_level
Completed,0.59,5576,1424,57,85,546,0.156
Completed,0.32,1308,1465,1,1,419,0.001
Completed,0.32,2707,1247,271,100,1,0.57
Completed,0.32,3075,5000,1,1,1000,0.171
Completed,0.32,4386,1085,955,1,1,0.473
Completed,0.63,9011,2276,302,85,51,0.841
Completed,0.61,6586,303,91,22,566,0.001
Completed,0.6,1422,655,47,84,84,0.221
Completed,0.6,11062,2533,177,78,317,0.649
Completed,0.6,5770,512,39,56,711,0.202
Completed,0.6,2092,2432,54,18,231,0.132
Completed,0.59,3794,2747,47,67,416,0.554
Completed,0.55,2909,875,125,26,101,0.564
Completed,0.58,4479,3724,166,55,94,0.168
Completed,0.32,1645,434,30,59,327,0.755
Completed,0.56,11198,3854,71,40,546,0.988
Completed,0.62,11968,549,802,92,2,0.034
Completed,0.32,7379,504,1056,10,1,0.798
Completed,0.56,4004,1450,92,72,178,0.803
Completed,0.58,11824,3257,136,19,569,0.985
Completed,0.59,1587,2771,44,46,25,0.522
Completed,0.58,4242,4999,145,71,106,0.369
Completed,0.58,6711,3702,182,42,152,0.034
Completed,0.61,4265,4838,241,6,59,0.774
Completed,0.59,4802,2913,48,64,538,0.295
Completed,0.59,6315,4040,38,68,813,0.161
Completed,0.32,5866,2462,731,38,1,0.64
Completed,0.32,647,1,1,1,181,0.698
Completed,0.59,3443,5000,43,78,434,0.039
Completed,0.38,4442,1,59,43,639,0.614
Completed,0.32,4415,5000,386,100,1,0.041
Completed,0.63,5067,103,108,45,294,0.684
Completed,0.56,5278,1544,8,10,387,0.379
Completed,0.56,4237,1235,61,97,164,0.804
Completed,0.32,705,2287,118,57,1,0.015
Completed,0.64,3065,2134,159,80,58,0.043
Completed,0.56,7995,2283,52,89,948,0.822
Completed,0.57,8177,1378,106,97,443,0.44
Completed,0.56,9520,4994,84,69,758,0.673
Failed,,,4808,515,12,680,0.43
Failed,,,3355,3057,65,343,0.225
Failed,,,2443,2307,26,849,0.701
Failed,,,1774,3603,13,907,0.564
Failed,,,2744,1619,77,401,0.104
Failed,,,420,2583,39,446,0.441
Failed,,,3825,2162,53,988,0.976
Failed,,,3092,4540,24,21,0.677
Failed,,,3624,744,38,204,0.556
Failed,,,991,1453,1,263,0.328
Failed,,,1095,3420,54,590,0.722
Failed,,,4662,1358,43,96,0.196
Failed,,,4721,2184,41,441,0.583
Failed,,,3226,785,64,691,0.83
Failed,,,4229,3708,8,281,0.667
Failed,,,3234,4072,82,364,0.695
Failed,,,5000,1971,100,1000,0.858
Failed,,,3639,3920,28,10,0.386
Failed,,,3324,3012,66,684,0.681
Failed,,,5000,5000,89,424,0.767
Failed,,,2403,3996,56,565,0.371
Failed,,,2243,2841,54,406,0.494
Failed,,,2554,2068,46,858,0.705
Failed,,,1932,1250,41,244,0.624
Failed,,,4520,3265,65,687,0.733
Failed,,,451,1867,32,75,0.443
Failed,,,142,4708,69,292,0.565
Failed,,,4344,4289,25,755,0.397
Failed,,,1599,2110,51,14,0.534
Failed,,,2362,3631,98,204,0.716
Failed,,,103,861,29,764,0.785
Failed,,,419,2550,66,606,0.161
Failed,,,1872,3366,62,726,0.862
Failed,,,1,4226,19,1,0.782
Failed,,,1819,1522,71,662,0.977
Failed,,,1733,1,30,13,0.001
Failed,,,4717,3967,7,600,0.661
Failed,,,4,2834,67,1,0.455
Failed,,,2593,5000,1,437,0.324
Failed,,,956,1,78,421,0.981
Failed,,,380,3876,15,977,0.832
Failed,,,9,1,37,770,0.999
Failed,,,4374,1437,100,1000,0.411
Failed,,,1,833,1,934,0.422
Failed,,,1495,5000,89,935,0.821
Failed,,,1907,1,38,1000,0.999
Failed,,,5000,2638,1,1000,0.765
Failed,,,4977,4997,84,737,0.943
Failed,,,5000,1120,72,648,0.999
Failed,,,1,1949,59,491,0.001
Failed,,,5000,2251,67,765,0.923
Failed,,,849,3505,93,720,0.08
Failed,,,1,3179,100,398,0.001
Failed,,,1525,5000,8,760,0.001
Failed,,,10,1,49,693,0.447
Failed,,,1395,5000,70,396,0.242
Failed,,,2216,4080,13,459,0.001
Failed,,,1,2817,3,753,0.498
Failed,,,4989,3027,46,760,0.002
Failed,,,920,3066,38,1,0.614
Failed,,,2142,5000,57,23,0.875
Failed,,,3187,1983,36,660,0.973
Failed,,,4284,3573,75,1,0.838
Failed,,,5000,5000,1,707,0.963
Failed,,,5000,1,100,555,0.001
Failed,,,4985,3315,87,452,0.001
Failed,,,1,1084,99,513,0.748
Failed,,,1,2114,100,470,0.001
Failed,,,5000,1545,76,507,0.494
Failed,,,2310,5000,41,1000,0.926
Failed,,,2778,1,45,352,0.045
Failed,,,527,5000,1,493,0.001
Failed,,,458,4459,83,804,0.999
Failed,,,5000,1,100,577,0.531
Failed,,,5000,1,67,643,0.983
Failed,,,5000,4073,98,353,0.001
Failed,,,5000,3402,100,548,0.185
Failed,,,5000,2004,66,490,0.001
Failed,,,5000,1172,87,709,0.001
Failed,,,1,851,100,440,0.001
Failed,,,5000,2112,70,678,0.879
Failed,,,74,989,77,1000,0.001
Failed,,,5000,2756,56,474,0.651
Failed,,,5000,4271,67,904,0.001
Failed,,,715,3820,99,493,0.001
Failed,,,1,1554,100,456,0.001
Failed,,,1495,3784,71,413,0.001
Failed,,,5000,1,100,557,0.001
Failed,,,5000,3129,83,486,0.999
Failed,,,1271,2693,76,520,0.001
Failed,,,5000,1356,100,359,0.001
Failed,,,5000,1136,100,665,0.999
Failed,,,3937,1,44,630,0.001
Failed,,,4655,5000,95,750,0.001
Failed,,,5000,1813,96,416,0.001
Failed,,,1,1302,98,914,0.999
Failed,,,77,3221,100,627,0.481
Failed,,,5000,1766,55,637,0.001
Failed,,,3458,2388,71,1000,0.999
Failed,,,1,3698,89,771,0.755
Failed,,,5000,3416,100,472,0.001
Failed,,,5000,1,100,615,0.999
Failed,,,5000,1951,59,619,0.001
Failed,,,1,3258,85,444,0.001
Failed,,,5000,1077,100,659,0.812
Failed,,,5000,1,73,668,0.001
Failed,,,2124,3194,100,482,0.001
Failed,,,5000,2114,100,379,0.001
Failed,,,1,1579,100,785,0.999
Failed,,,5000,2518,82,502,0.001
Failed,,,1,4516,65,438,0.001
Failed,,,5000,419,67,584,0.999
Failed,,,587,1295,81,529,0.999
Failed,,,2185,1711,100,364,0.999
Failed,,,3777,1922,95,564,0.999
Failed,,,3999,3516,91,633,0.308
Failed,,,3221,4160,100,770,0.001
Failed,,,5000,456,72,996,0.001
Failed,,,1404,858,100,419,0.001
Failed,,,369,4371,100,778,0.001
Failed,,,5000,3058,46,486,0.001
Failed,,,5000,4255,98,969,0.001
Failed,,,1,3582,82,750,0.645
Failed,,,4929,3808,74,619,0.999
Failed,,,4520,2128,99,716,0.999
Failed,,,1,1361,100,651,0.001
Failed,,,5000,1,100,636,0.001
Failed,,,5000,1,100,642,0.999
Failed,,,1840,3604,92,806,0.999
Failed,,,1,4431,22,454,0.001
Failed,,,5000,565,100,930,0.85
Failed,,,2865,3138,97,540,0.001
Failed,,,3804,1921,66,589,0.001
Failed,,,5000,1020,78,633,0.999
Failed,,,506,3270,61,688,0.281
Failed,,,1931,3863,100,546,0.001
Failed,,,5000,1,67,775,0.001
Failed,,,2589,5000,91,709,0.001
Failed,,,5000,3401,69,522,0.001
Failed,,,2923,2869,100,797,0.001
Failed,,,1,1270,87,791,0.999
Failed,,,1,3447,100,453,0.001
Failed,,,520,1000,100,714,0.001
Failed,,,5000,1,100,526,0.001
Failed,,,5000,4213,100,579,0.878
Failed,,,1,2566,76,864,0.999
Failed,,,1,1,29,651,0.856
Failed,,,2560,2648,42,792,0.999
Failed,,,1801,3012,100,404,0.001
Failed,,,1,1933,63,449,0.001
Failed,,,5000,2332,92,506,0.001
Failed,,,4260,3216,100,942,0.019
Failed,,,1,3698,56,504,0.001
Failed,,,4508,2334,68,1000,0.179
Failed,,,604,5000,68,734,0.002
Failed,,,3960,4395,100,501,0.001
Failed,,,5000,626,66,570,0.999
Failed,,,5000,1,95,827,0.999
Failed,,,3888,4041,88,691,0.999
Failed,,,1,3266,72,782,0.001
Failed,,,5000,1,100,531,0.001
Failed,,,2255,2410,100,1000,0.999
Failed,,,1,863,100,535,0.001
Failed,,,5000,5000,28,727,0.999
Failed,,,5000,4082,100,630,0.585
Failed,,,4556,3667,100,415,0.999
Failed,,,5000,1,100,536,0.999
Failed,,,3105,3600,58,828,0.001
Failed,,,1502,2303,62,475,0.001
Failed,,,5000,3817,54,401,0.999
Failed,,,5000,1,96,567,0.001
Failed,,,5000,1,97,714,0.958
Failed,,,5000,1,65,608,0.999
Failed,,,3860,1971,79,485,0.317
Failed,,,5000,4025,98,1000,0.905
Failed,,,1,870,89,508,0.001
Failed,,,2470,1549,99,1000,0.07
Failed,,,1,5000,61,303,0.999
Failed,,,2195,3762,50,774,0.092
Failed,,,3823,3076,85,356,0.472
Failed,,,3701,1159,100,475,0.511
Failed,,,1226,4692,97,751,0.698
Failed,,,1,3854,100,460,0.127
Failed,,,3024,857,100,375,0.001
Failed,,,1,1479,100,931,0.001
Failed,,,5000,5000,100,1,0.999
Failed,,,2865,4572,100,605,0.001
Failed,,,5000,3117,88,430,0.999
Failed,,,1,2040,58,596,0.001
Failed,,,1600,1010,76,774,0.001
Failed,,,3913,3270,100,566,0.001
Failed,,,4064,476,82,829,0.966
Failed,,,1,1,22,583,0.999
Failed,,,1,1,43,666,0.001
Failed,,,2610,4226,54,1000,0.001
Failed,,,5000,4449,20,721,0.001
Failed,,,2222,3104,100,719,0.651
Failed,,,2379,1852,71,543,0.001
Failed,,,350,3193,92,607,0.999
Failed,,,1,2054,75,849,0.999
Failed,,,1,1680,87,502,0.999
Failed,,,5000,1,53,568,0.001
Failed,,,5000,1,76,598,0.999
Failed,,,4966,5000,52,1000,0.632
Failed,,,1,3675,62,588,0.24
Failed,,,1,3266,100,913,0.516
Failed,,,271,3807,100,573,0.001
Failed,,,5000,418,50,774,0.001
Failed,,,5000,251,56,594,0.001
Failed,,,3925,1099,82,525,0.001
Failed,,,4424,4098,100,587,0.999
Failed,,,2861,1023,96,502,0.978
Failed,,,1,1735,99,443,0.001
Failed,,,5000,2408,94,715,0.997
Failed,,,2447,5000,64,552,0.999
Failed,,,5000,2777,50,634,0.001
Failed,,,5000,1,100,543,0.001
Failed,,,5000,1,63,749,0.999
Failed,,,5000,1,50,582,0.001
Failed,,,3788,4240,100,518,0.999
Failed,,,1095,4200,99,881,0.718
Failed,,,1729,1056,100,447,0.557
Failed,,,5000,1,100,516,0.001
Failed,,,5000,1,53,526,0.999
Failed,,,2775,4398,73,824,0.001
Failed,,,5000,3865,100,313,0.999
Failed,,,2841,4082,28,1000,0.001
Failed,,,5000,2668,67,748,0.001
Failed,,,1,1487,96,328,0.999
Failed,,,1,772,100,431,0.001
Failed,,,3624,3544,100,534,0.999
Failed,,,1697,2947,46,968,0.001
Failed,,,2361,3455,76,455,0.001
Failed,,,5000,1,89,984,0.999
Failed,,,743,2942,66,596,0.45
Failed,,,266,4666,40,512,0.001
Failed,,,1003,3935,70,511,0.999
Failed,,,5000,1238,99,247,0.001
Failed,,,1177,4246,100,577,0.751
Failed,,,5000,1,100,981,0.999
Failed,,,937,2490,79,323,0.001
Failed,,,5000,3090,46,483,0.996
Failed,,,1584,1606,100,651,0.001
Failed,,,1515,3185,68,722,0.999
Failed,,,1,4938,82,175,0.001
Failed,,,3412,1706,75,497,0.478
Failed,,,5000,1,60,661,0.927
Failed,,,5000,1,100,607,0.001
Failed,,,4693,1,44,566,0.203
Failed,,,4493,1629,100,828,0.999
Failed,,,5000,4629,39,198,0.001
Failed,,,3912,4343,79,330,0.999
Failed,,,4108,2408,55,593,0.999
Failed,,,5000,5000,67,605,0.001
Failed,,,5000,4777,31,549,0.024
Failed,,,5000,3305,53,715,0.999
Failed,,,1,1232,84,884,0.001
Failed,,,5000,3711,40,3,0.001
Failed,,,5000,2230,64,939,0.203
Failed,,,5000,1314,84,885,0.008
Failed,,,5000,1,91,1,0.001
Failed,,,5000,1,68,1000,0.001
Failed,,,1,4203,82,665,0.999
Failed,,,3608,4694,100,261,0.001
Failed,,,4215,1794,77,389,0.466
Failed,,,5000,1,100,498,0.001
Failed,,,5000,1,62,1000,0.999
Failed,,,5000,1,51,546,0.001
Failed,,,2730,1993,100,1000,0.999
Failed,,,3786,4188,63,346,0.999
Failed,,,5000,3181,30,500,0.001
Failed,,,5000,2656,44,454,0.999
