Status,ACCURACY,RUNTIME,recent_samples_size,n_samples,k_neighbors,n_permutations,significance_level
Failed,,,2063,91,75,368,0.956
Failed,,,1623,3648,93,392,0.872
Failed,,,4880,833,27,665,0.262
Failed,,,3109,4852,58,146,0.185
Failed,,,1053,2041,24,919,0.698
Failed,,,909,2542,52,737,0.084
Failed,,,2584,352,18,448,0.535
Failed,,,4429,3765,99,992,0.896
Failed,,,1415,1580,33,203,0.473
Failed,,,2025,4726,56,414,0.523
Failed,,,4012,1914,14,657,0.096
Failed,,,3352,3501,96,160,0.461
Failed,,,26,687,36,902,0.907
Failed,,,189,3734,68,308,0.169
Failed,,,3192,923,2,503,0.713
Failed,,,3859,4960,84,61,0.855
Failed,,,668,4932,29,652,0.197
Failed,,,4914,2413,60,490,0.533
Failed,,,4240,4298,92,315,0.689
Failed,,,14,1797,23,545,0.042
Failed,,,2073,3374,66,241,0.269
Failed,,,3511,846,48,900,0.993
Failed,,,3732,3207,84,420,0.162
Failed,,,2006,700,2,691,0.576
Failed,,,235,4151,58,26,0.864
Failed,,,4173,1631,27,867,0.404
Failed,,,4829,4786,21,939,0.374
Failed,,,911,2247,90,171,0.896
Failed,,,1333,2585,46,615,0.67
Failed,,,3078,73,65,276,0.07
Failed,,,2601,3960,38,207,0.531
Failed,,,4679,1211,94,508,0.788
Failed,,,2175,2148,48,756,0.276
Failed,,,1677,4141,18,983,0.427
Failed,,,4983,1326,51,210,0.94
Failed,,,3007,2835,35,730,0.614
Failed,,,999,24,98,456,0.004
Failed,,,1648,967,99,132,0.932
Failed,,,2165,2801,67,108,0.77
Failed,,,3831,615,3,835,0.348
Failed,,,3182,4018,82,355,0.209
Failed,,,159,1830,50,581,0.66
Failed,,,17,3783,54,238,0.42
Failed,,,3322,1596,16,949,0.96
Failed,,,4002,2568,95,493,0.607
Failed,,,1996,380,37,704,0.025
Failed,,,1810,3389,4,539,0.179
Failed,,,4813,1200,65,281,0.688
Failed,,,4210,2053,31,166,0.236
Failed,,,3466,3669,60,647,0.319
Failed,,,542,856,22,420,0.797
Failed,,,614,4744,34,13,0.14
Failed,,,3548,1930,98,802,0.742
Failed,,,4129,3438,19,258,0.826
Failed,,,2375,628,51,547,0.306
Failed,,,1311,3087,83,712,0.397
Failed,,,4567,275,49,470,0.968
Failed,,,2796,4314,68,966,0.584
Failed,,,741,1500,2,224,0.033
Failed,,,1222,3256,74,432,0.686
Failed,,,2896,1069,8,628,0.197
Failed,,,4741,4462,77,187,0.374
Failed,,,1728,2274,43,882,0.758
Failed,,,1933,3955,25,859,0.911
Failed,,,3911,1766,57,85,0.453
Failed,,,3414,2669,28,604,0.101
Failed,,,79,484,92,331,0.516
Failed,,,254,2593,12,988,0.279
Failed,,,3246,404,70,199,0.854
Failed,,,3765,3875,41,742,0.716
Failed,,,2071,1690,79,453,0.169
Failed,,,1482,41,14,119,0.652
Failed,,,2215,3675,47,143,0.552
Failed,,,4290,860,85,916,0.067
Failed,,,3698,4976,6,396,0.489
Failed,,,462,2166,64,670,0.877
Failed,,,421,4347,3,362,0.739
