Status,ACCURACY,RUNTIME,recent_samples_size,n_samples,k_neighbors,n_permutations,significance_level
Completed,0.91,0,3706,2420,36,510,0.829
Completed,0.91,0,5000,889,1,99,0.001
Completed,0.91,0,2838,796,76,800,0.911
Completed,0.91,0,2886,911,87,1000,0.509
Completed,0.91,0,2577,887,100,1000,0.001
Completed,0.91,0,2859,1353,82,987,0.999
Completed,0.91,0,173,900,100,722,0.001
Completed,0.91,0,2924,1632,100,1,0.999
Completed,0.91,0,1,897,1,1000,0.001
Completed,0.91,0,2848,916,85,1000,0.676
Completed,0.91,0,2842,865,77,836,0.895
Completed,0.91,0,2972,908,79,1,0.736
Completed,0.91,0,3315,5000,100,1,0.001
Completed,0.91,0,5000,887,100,1,0.001
Completed,0.91,0,5000,2750,1,1000,0.001
Completed,0.91,0,2879,907,95,1000,0.342
Completed,0.91,0,4371,1376,55,518,0.335
Completed,0.91,0,1828,2675,12,201,0.992
Completed,0.91,158,10,257,83,792,0.728
Completed,0.91,0,2555,3823,27,491,0.068
Completed,0.91,0,3376,746,23,322,0.128
Completed,0.91,0,911,4546,69,897,0.547
Completed,0.91,0,2258,2137,38,112,0.809
Completed,0.91,0,4594,4236,57,232,0.165
Completed,0.91,0,4925,1921,9,434,0.673
Completed,0.91,0,2469,3376,51,851,0.032
Completed,0.91,0,2393,551,25,575,0.751
Completed,0.91,0,2758,711,90,179,0.357
Completed,0.91,0,1830,1562,95,800,0.498
Completed,0.91,0,4210,3840,79,506,0.658
Completed,0.91,0,3340,2339,16,452,0.892
Completed,0.91,0,1463,1320,51,239,0.31
Completed,0.91,0,5000,2530,100,1000,0.999
Completed,0.91,0,4804,3288,1,1,0.999
Completed,0.91,0,5000,4661,100,1,0.999
Completed,0.91,1,1,1,1,1,0.999
Completed,0.91,0,1,4846,100,1,0.001
Completed,0.91,0,1,4395,1,1000,0.001
Completed,0.91,0,5000,2973,1,1000,0.001
Completed,0.91,0,1,2522,100,1,0.001
Completed,0.91,0,1,4347,100,1,0.999
Completed,0.91,0,5000,3910,1,1,0.001
Completed,0.91,0,1,2034,1,1,0.999
Completed,0.91,0,5000,4094,100,1,0.999
Completed,0.91,23,1,12,1,1000,0.001
Completed,0.91,0,5000,3480,100,1000,0.999
Completed,0.91,0,5000,2726,100,1,0.999
Completed,0.91,0,1,3294,100,1000,0.001
Completed,0.91,21,5000,1,1,1000,0.999
Completed,0.91,0,5000,2592,100,1000,0.001
Completed,0.91,0,5000,4116,1,1,0.999
Completed,0.91,0,5000,3725,100,1000,0.999
Completed,0.91,1,5000,1,1,1,0.001
Completed,0.91,0,692,4194,65,38,0.001
Completed,0.91,0,5000,2367,65,878,0.999
Completed,0.91,0,1,2170,65,171,0.999
Completed,0.91,0,1142,818,65,272,0.999
Completed,0.91,0,1456,777,73,809,0.999
Completed,0.91,0,1,4175,67,193,0.001
Completed,0.91,0,445,3135,63,495,0.999
Completed,0.91,0,4200,4930,65,1000,0.001
Completed,0.91,0,5000,4947,67,709,0.001
Completed,0.91,0,1673,1552,78,936,0.936
Completed,0.91,0,5000,1730,63,990,0.999
Completed,0.91,0,922,767,64,907,0.999
Completed,0.91,0,1346,546,67,957,0.001
Completed,0.91,0,1,981,64,30,0.999
Completed,0.91,0,4612,2855,64,559,0.999
Completed,0.91,0,338,2222,66,971,0.001
Completed,0.91,0,2158,3194,42,894,0.001
Completed,0.91,0,4517,3122,66,54,0.001
Completed,0.91,0,4163,808,67,67,0.999
Completed,0.91,0,1,3017,63,638,0.999
Completed,0.91,0,1203,4172,76,537,0.001
Completed,0.91,0,1476,3025,66,438,0.999
Completed,0.91,0,844,2258,53,938,0.999
Completed,0.91,0,5000,4253,66,231,0.999
Completed,0.91,0,1678,1612,63,903,0.001
Completed,0.91,38,3598,270,30,132,0.999
Completed,0.91,0,681,684,67,367,0.999
Completed,0.91,0,474,1425,64,877,0.999
Completed,0.91,0,1241,777,25,188,0.999
Completed,0.91,0,3261,3054,54,956,0.999
Completed,0.91,0,1470,1064,30,721,0.924
Completed,0.91,0,3875,611,100,744,0.832
Completed,0.91,15,5000,1,1,697,0.132
Completed,0.91,14,5000,1,1,655,0.695
Completed,0.91,0,2382,5000,41,283,0.864
Completed,0.91,83,1692,55,77,535,0.753
Completed,0.92,66,1669,44,74,164,0.819
Completed,0.92,59,4199,51,70,103,0.598
Completed,0.92,47,2963,112,72,277,0.412
Completed,0.91,0,2765,2612,84,756,0.837
Completed,0.91,0,2894,3471,80,887,0.828
Completed,0.91,0,4442,2224,82,158,0.746
Completed,0.91,0,3102,2880,89,523,0.837
Completed,0.92,27,1024,36,65,100,0.382
Completed,0.91,27,220,39,72,651,0.325
Completed,0.91,0,2598,2873,71,574,0.823
Completed,0.91,49,5000,403,73,105,0.723
Completed,0.91,0,3136,3668,72,527,0.82
Completed,0.91,0,4346,2993,83,970,0.752
Completed,0.91,20,163,37,72,433,0.528
Completed,0.92,69,4872,51,64,134,0.705
Completed,0.91,0,3836,2630,59,896,0.755
Completed,0.91,0,2836,3585,58,814,0.787
Completed,0.91,56,3196,132,72,232,0.133
Completed,0.91,82,35,115,47,958,0.959
Completed,0.91,0,2838,2738,79,755,0.726
Completed,0.92,27,2855,111,51,127,0.301
Completed,0.91,0,2236,2928,29,227,0.77
Completed,0.92,122,4950,119,56,902,0.489
Completed,0.92,66,4704,118,47,563,0.001
Completed,0.91,0,1734,4206,82,805,0.725
Completed,0.91,0,720,5000,80,596,0.767
Completed,0.92,34,1213,230,57,119,0.233
Completed,0.91,49,4891,52,45,118,0.383
Completed,0.91,0,766,3345,24,42,0.835
Completed,0.91,0,1434,1490,20,906,0.773
Completed,0.92,77,1091,125,55,527,0.616
Completed,0.91,0,1,685,55,1000,0.001
Completed,0.91,0,2751,658,100,868,0.001
Completed,0.91,0,365,667,54,734,0.001
Completed,0.91,0,1,655,100,955,0.001
Completed,0.91,0,5000,677,55,1000,0.001
Completed,0.91,0,5000,1180,11,1,0.999
Completed,0.91,0,5000,651,100,655,0.001
Completed,0.91,0,4094,686,62,706,0.001
Completed,0.91,0,1,623,54,1,0.001
Completed,0.91,0,4548,631,54,1000,0.001
Completed,0.91,0,765,686,62,1000,0.001
Completed,0.91,0,125,4512,25,1,0.001
Completed,0.91,0,1,666,93,1000,0.001
Completed,0.91,0,1,657,100,696,0.001
Completed,0.91,0,1,682,60,781,0.001
Completed,0.91,5,1,94,53,1,0.001
Completed,0.91,0,1,3783,32,1,0.999
Completed,0.91,0,5000,1123,49,1000,0.001
Completed,0.91,0,5000,667,91,743,0.001
Completed,0.91,0,5000,652,55,466,0.001
Completed,0.91,0,2953,663,63,1,0.371
Completed,0.91,0,1,641,87,1,0.866
Completed,0.91,0,3842,2784,25,1,0.001
Completed,0.91,7,1,1,1,296,0.315
Completed,0.91,0,4274,609,100,1,0.999
Completed,0.91,0,1044,674,100,70,0.626
Completed,0.91,0,3603,2018,83,1,0.001
Completed,0.91,0,1,1945,1,1,0.001
Completed,0.92,30,2802,85,61,189,0.42
Completed,0.91,0,3013,2701,1,1,0.192
Completed,0.91,0,1,1628,100,1,0.316
Completed,0.91,0,1,607,100,1,0.999
Completed,0.91,0,5000,2372,24,1,0.001
Completed,0.91,7,1999,145,60,1,0.388
Completed,0.91,0,3198,2663,25,1,0.254
Completed,0.91,0,1,2798,1,1,0.001
Completed,0.91,0,128,4559,1,1,0.999
Completed,0.91,5,359,118,56,1,0.339
Completed,0.91,0,5000,1718,100,1,0.001
Completed,0.91,0,30,1859,100,1,0.473
Completed,0.91,0,4649,675,100,1,0.486
Completed,0.91,0,436,1574,1,1,0.542
Completed,0.91,0,1,1573,1,1,0.724
Completed,0.91,0,3467,4547,1,1,0.718
Completed,0.91,0,5000,3772,100,1000,0.001
Completed,0.91,0,1671,2733,14,1,0.357
Completed,0.91,0,5000,4840,1,1,0.999
Completed,0.91,0,5000,4740,1,1000,0.001
Completed,0.91,0,1,1216,100,1,0.999
Completed,0.91,0,1,3915,1,1000,0.999
Completed,0.91,0,1,3444,1,1,0.001
Completed,0.91,0,2845,2052,1,1000,0.001
Completed,0.91,0,1,2894,100,1000,0.001
Completed,0.91,0,1,1080,100,1000,0.001
Completed,0.91,0,2731,1242,1,1,0.001
Completed,0.91,0,3867,4724,100,1000,0.001
Completed,0.91,0,5000,1751,1,1,0.001
Completed,0.91,0,2238,4308,1,1000,0.999
Completed,0.91,5,1850,145,34,1,0.431
Completed,0.91,0,5000,2359,1,1,0.999
Completed,0.91,0,1,3379,100,1,0.001
Completed,0.91,0,5000,1764,1,1,0.999
Completed,0.91,0,1469,1986,100,1000,0.999
Completed,0.91,0,1,3761,1,1000,0.999
Completed,0.91,0,2706,3549,1,1,0.999
Completed,0.91,0,1,1306,100,1000,0.001
