Status,ACCURACY,RUNTIME,recent_samples_size,n_samples,k_neighbors,n_permutations,significance_level
Completed,0.55,0,5000,3277,100,196,0.999
Completed,0.55,0,367,2273,98,1,0.999
Completed,0.55,9,5000,232,1,1,0.001
Completed,0.55,0,2519,2532,2,376,0.001
Completed,0.55,19,171,96,100,1,0.559
Completed,0.55,3,4681,34,1,1,0.33
Completed,0.58,119,3397,87,88,339,0.373
Completed,0.55,0,4365,4367,19,861,0.038
Completed,0.58,152,4573,359,21,62,0.459
Completed,0.55,0,2980,3941,98,521,0.14
Completed,0.55,0,1719,3428,94,90,0.099
Completed,0.55,0,4923,4729,51,262,0.522
Completed,0.55,0,833,2278,13,610,0.313
Completed,0.55,0,8,4202,46,731,0.434
Completed,0.55,0,3212,2705,11,934,0.951
Completed,0.55,0,2639,3280,71,445,0.499
Completed,0.55,0,1399,3774,63,885,0.271
Completed,0.55,5010,2833,1401,1,237,0.56
Completed,0.55,0,4446,3053,81,713,0.849
Completed,0.58,2346,1036,524,44,409,0.079
Completed,0.55,0,624,3620,24,311,0.2
Completed,0.55,0,3672,4457,34,108,0.685
Completed,0.55,4732,2138,1928,96,772,0.398
Completed,0.55,0,1971,4624,6,488,0.785
Completed,0.55,0,3486,2075,69,634,0.014
Completed,0.55,0,3769,3474,38,160,0.335
Completed,0.55,0,1183,2908,59,818,0.746
Completed,0.55,1,4088,4913,55,220,0.044
Completed,0.55,10670,2169,1718,8,694,0.656
Completed,0.55,0,622,2603,77,416,0.943
Completed,0.57,5393,1593,653,9,685,0.711
Completed,0.55,3,1020,1,1,1,0.999
Completed,0.55,26,5000,147,81,1,0.999
Completed,0.55,0,5000,5000,71,1000,0.999
Completed,0.55,71,1,1673,35,1,0.001
Completed,0.55,80,5000,1175,17,1,0.999
Completed,0.55,0,5000,5000,100,247,0.001
Completed,0.55,105,5000,969,36,1,0.999
Completed,0.55,5605,3877,906,39,414,0.001
Completed,0.55,0,1,2137,82,1000,0.999
Completed,0.55,156,1470,1035,82,1,0.999
Completed,0.55,3320,1,397,81,1000,0.001
Completed,0.55,29,4376,166,81,1,0.001
Completed,0.55,102,5000,1659,82,1,0.999
Completed,0.55,143,211,931,81,1,0.999
