Status,ACCURACY,RUNTIME,recent_samples_size,n_samples,k_neighbors,n_permutations,significance_level
Completed,0.79,2092,4356,23,41,671,0.508
Completed,0.78,5889,2211,241,23,816,0.966
Completed,0.75,8332,1580,507,36,152,0.119
Completed,0.78,4334,1202,169,50,999,0.379
Completed,0.76,1651,104,142,100,462,0.174
Completed,0.79,2865,4529,285,91,134,0.809
Completed,0.79,1565,2884,116,19,520,0.081
Completed,0.69,9318,2973,1464,88,8,0.157
Completed,0.8,1765,1445,78,73,349,0.729
Completed,0.74,1280,4862,35,44,563,0.089
Completed,0.73,509,3908,228,1,27,0.999
Completed,0.73,907,3562,22,21,629,0.001
Completed,0.72,2201,2107,202,1,390,0.999
Completed,0.52,202,1,1,1,431,0.896
Completed,0.74,5114,314,651,67,52,0.351
Completed,0.52,6510,1552,1892,65,1,0.608
Completed,0.8,2847,1222,158,94,559,0.782
Completed,0.52,450,1,1,1,1000,0.869
Completed,0.52,187,1184,117,65,1,0.658
Completed,0.78,1332,3033,29,24,992,0.498
Completed,0.52,2190,2108,750,84,1,0.999
Completed,0.52,7041,1533,1869,62,1,0.486
Completed,0.52,7047,2082,2085,50,1,0.747
Completed,0.52,3924,865,1178,64,1,0.761
Completed,0.52,706,584,340,44,1,0.631
Completed,0.52,453,2004,1,1,1000,0.883
Completed,0.52,438,5000,1,1,1000,0.576
Completed,0.52,459,4103,1,1,1000,0.094
Completed,0.52,18,2316,1,1,1,0.637
Completed,0.52,193,3093,139,46,1,0.999
Completed,0.52,133,3948,109,37,1,0.999
Completed,0.76,998,3129,45,12,823,0.001
Completed,0.75,1589,1240,136,1,482,0.999
Completed,0.75,6697,2627,248,1,875,0.999
Completed,0.79,1407,3818,70,1,782,0.999
Completed,0.52,301,2077,189,57,1,0.999
Completed,0.52,116,4001,1,1,225,0.999
Completed,0.52,652,1,236,74,1,0.999
Completed,0.52,182,1,216,1,1,0.999
Completed,0.75,249,1,122,47,28,0.999
Completed,0.77,6073,2208,369,36,194,0.955
Failed,,,4664,2432,49,53,0.467
Failed,,,3418,951,78,471,0.363
Failed,,,3383,3904,26,942,0.25
Failed,,,532,99,79,319,0.903
Failed,,,2361,2857,3,517,0.745
Failed,,,4040,1577,56,144,0.399
Failed,,,4713,3387,94,63,0.273
Failed,,,1392,2182,47,686,0.614
Failed,,,716,4863,72,480,0.767
Failed,,,2865,1134,25,853,0.111
Failed,,,2650,2785,67,731,0.942
Failed,,,971,1494,14,108,0.164
Failed,,,1608,4281,93,806,0.439
Failed,,,4459,505,40,433,0.658
Failed,,,4294,4458,10,273,0.544
Failed,,,2145,757,57,897,0.328
Failed,,,738,5000,1,1000,0.506
Failed,,,933,4089,94,835,0.999
Failed,,,952,1,20,1,0.999
Failed,,,3484,4121,21,239,0.001
Failed,,,4907,1,90,1000,0.001
Failed,,,611,1,89,1,0.999
Failed,,,13,4485,93,409,0.999
