Status,ACCURACY,RUNTIME,recent_samples_size,n_samples,k_neighbors,n_permutations,significance_level
Failed,,,4800,1210,71,123,0.312
Failed,,,4510,3377,1,153,0.001
Failed,,,3708,1525,100,157,0.285
Failed,,,1736,4600,100,107,0.101
Failed,,,2613,4401,83,207,0.667
Failed,,,3813,1,82,1,0.839
Failed,,,886,1,82,1,0.001
Failed,,,1667,1,82,1,0.211
Failed,,,1,1,82,667,0.662
Failed,,,1639,6,82,742,0.499
Failed,,,2771,1,83,223,0.46
Failed,,,1606,266,83,498,0.599
Failed,,,1741,3820,94,127,0.155
Failed,,,3305,3435,61,684,0.314
Failed,,,4760,1418,10,941,0.738
Failed,,,3097,1,91,95,0.001
Failed,,,3986,1,100,73,0.066
Failed,,,140,1,82,116,0.001
Failed,,,1921,2105,86,219,0.513
Failed,,,4783,1,93,101,0.001
Failed,,,603,1,82,1,0.001
Failed,,,1,1,82,791,0.776
Failed,,,1,40,83,476,0.209
Failed,,,1799,1,82,1,0.265
Failed,,,3819,1,84,70,0.668
Failed,,,1276,1,84,327,0.001
Failed,,,3416,3968,80,643,0.001
Failed,,,2227,3950,18,957,0.001
Failed,,,4081,4840,11,932,0.276
Failed,,,2547,2900,1,676,0.454
Failed,,,1680,4126,19,725,0.346
Failed,,,217,2776,71,133,0.001
Failed,,,2696,4018,100,762,0.997
Failed,,,3530,1,90,69,0.052
Failed,,,4450,1872,100,711,0.267
Failed,,,3240,3207,100,794,0.792
Failed,,,2661,4492,1,172,0.082
Failed,,,2861,4916,1,109,0.151
Failed,,,5000,5000,1,199,0.051
Failed,,,3591,1,86,99,0.001
Failed,,,865,1,100,120,0.596
Failed,,,813,1541,90,155,0.001
Failed,,,4255,2702,1,666,0.001
Failed,,,3426,2254,94,228,0.001
Failed,,,997,4867,55,199,0.316
Failed,,,514,3034,91,138,0.256
Failed,,,2703,1460,1,927,0.715
Failed,,,2257,4219,11,817,0.244
Failed,,,4373,214,37,459,0.999
Failed,,,4597,3840,27,662,0.848
Failed,,,2156,1,29,457,0.039
Failed,,,847,2261,61,912,0.36
Failed,,,1479,4715,49,306,0.85
Failed,,,377,4131,11,205,0.889
Failed,,,2414,4931,100,372,0.64
Failed,,,1222,5000,53,663,0.551
Failed,,,721,2637,100,591,0.314
Failed,,,3473,228,37,1000,0.771
Failed,,,4132,4051,100,736,0.149
Failed,,,4012,974,94,740,0.962
Failed,,,408,4280,76,287,0.734
Failed,,,2358,1207,80,701,0.236
Failed,,,1990,1934,81,112,0.082
Failed,,,1,2919,81,75,0.001
Failed,,,1434,1431,79,198,0.22
Failed,,,1728,4441,83,138,0.001
Failed,,,4690,3716,64,387,0.949
Failed,,,1205,4059,38,555,0.574
Failed,,,4358,929,1,745,0.666
Failed,,,1562,2265,31,133,0.062
Failed,,,2247,3167,52,374,0.804
Failed,,,2482,3616,33,145,0.19
Failed,,,2431,2095,58,132,0.19
Failed,,,4166,4625,40,157,0.001
Failed,,,3133,1496,71,1000,0.684
Failed,,,2614,4353,100,133,0.409
Failed,,,1474,2374,12,862,0.001
Failed,,,2152,1117,28,399,0.974
Failed,,,3526,4892,39,648,0.522
Failed,,,443,2276,39,45,0.349
Failed,,,386,1,81,99,0.001
Failed,,,4684,1727,33,1,0.001
Failed,,,2227,1930,69,197,0.051
Failed,,,1359,3410,79,79,0.398
Failed,,,1847,1945,82,117,0.088
Failed,,,791,4407,86,896,0.312
Failed,,,4204,2066,31,956,0.072
Failed,,,4693,3334,90,500,0.271
Failed,,,2517,3011,87,209,0.999
Failed,,,8,3487,82,119,0.028
Failed,,,1,2539,78,259,0.185
Failed,,,3246,4469,84,170,0.623
Failed,,,2620,1916,77,119,0.001
Failed,,,1782,3508,81,134,0.001
Failed,,,892,2541,56,564,0.17
Failed,,,1093,2167,79,879,0.949
Failed,,,4876,3063,64,589,0.573
Failed,,,3175,1985,80,202,0.739
Failed,,,4976,3139,7,754,0.332
Failed,,,2622,4050,36,714,0.471
Failed,,,2275,1703,69,235,0.168
Failed,,,5000,4772,100,774,0.999
Failed,,,4292,3158,79,73,0.287
Failed,,,2155,2109,91,652,0.002
Failed,,,1734,3494,82,317,0.865
Failed,,,2279,2241,100,246,0.963
Failed,,,2848,3762,41,691,0.999
Failed,,,2124,844,18,347,0.085
Failed,,,1895,3339,78,346,0.376
Failed,,,2967,2954,61,774,0.837
Failed,,,649,1677,76,312,0.513
Failed,,,4118,2315,10,984,0.76
Failed,,,3274,3530,74,255,0.052
Failed,,,251,3201,80,101,0.232
Failed,,,3080,3419,77,477,0.355
Failed,,,4328,3326,80,114,0.032
Failed,,,3966,3784,97,307,0.999
Failed,,,2578,3871,72,302,0.169
Failed,,,1368,4477,82,142,0.001
Failed,,,1,2338,77,121,0.001
Failed,,,5000,1692,95,768,0.999
Failed,,,3111,2216,76,369,0.526
Failed,,,271,1,81,96,0.001
Failed,,,3848,2207,36,394,0.461
Failed,,,1438,2708,1,469,0.066
Failed,,,2633,2126,1,385,0.191
Failed,,,1084,854,54,494,0.976
Failed,,,1409,4855,69,239,0.601
Failed,,,1,1520,72,220,0.001
Failed,,,226,720,80,104,0.081
Failed,,,380,2669,91,407,0.471
Failed,,,4587,2205,74,220,0.578
Failed,,,3075,2025,78,402,0.001
Failed,,,4997,1505,1,849,0.505
Failed,,,5000,3154,100,555,0.999
Failed,,,1658,2529,79,848,0.153
Failed,,,1220,3017,79,80,0.001
Failed,,,451,1361,7,862,0.999
Failed,,,2726,1961,43,897,0.736
Failed,,,3921,4563,70,235,0.001
Failed,,,2978,2234,79,128,0.252
Failed,,,1,1,100,79,0.058
Failed,,,1,2571,1,764,0.001
Failed,,,1568,2459,100,905,0.451
Failed,,,1455,2273,1,912,0.999
Failed,,,2678,3797,100,614,0.999
Failed,,,1,2261,100,75,0.114
Failed,,,1,4723,100,75,0.001
Failed,,,4396,1,79,132,0.758
Failed,,,3256,2873,81,170,0.121
Failed,,,2109,4919,82,236,0.173
Failed,,,588,3336,75,113,0.477
Failed,,,5000,1272,78,119,0.131
Failed,,,1875,2906,82,122,0.08
Failed,,,210,4265,66,166,0.423
Failed,,,1124,2890,82,471,0.328
Failed,,,1704,3238,1,445,0.001
Failed,,,3093,3049,43,230,0.999
Failed,,,1,2187,1,68,0.001
Failed,,,1,2656,100,792,0.301
Failed,,,3975,3664,1,223,0.001
Failed,,,4526,2733,61,593,0.721
Failed,,,4169,3937,100,586,0.282
Failed,,,5000,3667,1,786,0.001
Failed,,,2322,2591,82,189,0.924
Failed,,,292,1603,89,202,0.706
Failed,,,4323,4634,76,230,0.64
Failed,,,314,1456,80,86,0.126
