index,predicted_transformed_accuracy,predicted_transformed_runtime,recent_samples_size,batch_size,gamma,alpha,use_mmd2,use_k2s_test
0,0.3786920048046213,0.9823923373802868,2573,4737,3.736137831721821,0.0266682001706291,False,False
1,0.3799092952111533,0.9821187569866604,2372,4725,3.4139405968301,0.0190921432804316,False,False
2,0.3866049632342205,0.9814379527001268,2267,4721,3.736137831721821,0.0302596645399907,False,False
3,0.402448257152205,0.979040376062672,1873,4737,3.083118737501175,0.0302596645399907,False,False
4,0.4041242170711991,0.97591772682923,137,4746,3.2119698283104228,0.0482561304233968,False,False
5,0.4056287447502624,0.9758654208511068,1596,4857,2.7295254164729266,0.0290713372640311,False,False
6,0.4074563614858292,0.9723370565193776,1951,4087,2.7743834573787547,0.0302596645399907,False,False
7,0.4111446284132601,0.9686981525405374,1739,4087,2.7743834573787547,0.0302596645399907,False,False
8,0.4307058557627449,0.9494419672033044,1739,4737,1.7927378875835578,0.0325714810337084,False,False
9,0.4368957628137754,0.9446470375881156,2094,4249,1.509637012765079,0.0302596645399907,False,False
10,0.4382856138959086,0.940534760678718,1787,4860,1.5651524210721257,0.0312261633109301,False,False
11,0.4541632581384907,0.9260206670969712,1739,4975,0.8995314906355577,0.0404324369171859,False,False
12,0.4602952908804304,0.9090314640817784,1900,4922,0.4705225137863308,0.0393667378928512,False,False
13,0.4623481772785181,0.9088305558748568,4519,4115,0.1359240645673126,0.0314850809518247,False,False
14,0.471373226446756,0.9000319909549239,1138,4156,0.1391144566368311,0.033898836793378,False,False
15,0.5330577502133229,0.8281944119474357,1191,161,0.864324196809728,0.0272919336366208,False,False
16,0.5439365912295474,0.7950735929194265,1058,108,0.1342627324545812,0.0274715804741216,False,False
17,0.5561407613284545,0.7640658047475778,647,26,0.2696290579972014,0.0293888473831854,False,False
18,0.5597339567037707,0.7425074442050008,1212,17,0.1639213606304833,0.025388232349309,False,False
19,0.8745164867811929,0.4215800338382242,4715,127,5.246382632129826,0.0496852004434913,False,True
