index,predicted_transformed_accuracy,predicted_transformed_runtime,recent_samples_size,batch_size,gamma,alpha,use_mmd2,use_k2s_test
0,0.5377515354657391,0.977286020370314,1247,3467,5.600192977958739,0.0301281700147019,False,False
1,0.5565999084406604,0.9748417946320852,1683,1677,9.462531195995398,0.0161402751225978,False,False
2,0.5664360302938101,0.9661788739657262,1247,1741,3.17012632585314,0.0305907322417089,False,False
3,0.5719462690946835,0.9615836868080998,2958,1560,3.1103219162076714,0.041024478431791,False,False
4,0.591907002927127,0.9474257597961246,3479,1168,1.9495644774505068,0.0298531114281424,False,False
5,0.5934322053720276,0.9432965435089083,3453,936,1.9495644774505068,0.029874985885052,False,False
6,0.5951410428881405,0.9389687745369806,3479,1168,1.7987088475167496,0.0298531114281424,False,False
7,0.6010329449031075,0.9249970751442024,4576,1034,1.41998732833378,0.0419694631360471,False,False
8,0.6052986503305774,0.9179982717135584,3593,921,1.2991632601851597,0.0296978540252894,False,False
9,0.6185127993280085,0.8892539804575866,75,861,0.1334417514288798,0.0208114278968423,False,False
10,0.6188522508193558,0.8847671520001328,3803,1031,0.6808429648550227,0.0328068535774946,False,False
11,0.6189906440308919,0.8827837166315536,1134,976,0.2568003933122382,0.0239939413964748,False,False
12,0.6220134891338454,0.8824443477768097,1605,876,0.2828466755183909,0.0289346673698846,False,False
13,0.6222571599940021,0.8802060194563162,203,911,0.2909672388015315,0.0374309903010726,False,False
14,0.9001249630745602,0.3808185645409746,4314,28,5.937456587239169,0.0494443604722619,False,True
15,0.900933390225186,0.3782195530312736,4871,74,6.838984298911877,0.0496001976542174,False,True
16,0.9063230413837066,0.3757312364459604,4573,53,6.573445545769297,0.0497806541156023,False,True
17,0.923887529170463,0.3610122544310575,1544,45,1.778490772580728,0.049895533407107,False,True
18,0.929209595365362,0.3540935953522987,1578,30,3.103055048629641,0.0496020431630313,True,True
19,0.9303157953014763,0.3523545773821682,1544,45,1.778490772580728,0.049895533407107,True,True
