index,predicted_transformed_accuracy,predicted_transformed_runtime,recent_samples_size,batch_size,gamma,alpha,use_mmd2,use_k2s_test
0,0.3747733475101893,0.9936642694919804,594,3855,8.218534399935043,0.0452351995743811,False,False
1,0.3954340379692542,0.993405429951183,4100,3103,9.452981579475104,0.0354259824845939,False,False
2,0.4056640626745115,0.9923591782034644,4285,4099,3.165299203079193,0.033162910817191,False,False
3,0.4219015566620053,0.9922326856329864,4242,1477,4.33798186771758,0.0255165114067494,False,False
4,0.4241871508837453,0.9922273884113896,4335,2278,3.574246858531609,0.0287213508505374,False,False
5,0.4265776218249126,0.9920138589189452,4192,1446,4.239123723687868,0.0241350605943954,False,False
6,0.4484502737830911,0.9905618071854349,1266,1406,3.704381821764633,0.0365909391548484,False,False
7,0.4533423320816896,0.9904805287743028,1315,1442,3.5513525458611546,0.0369254836812615,False,False
8,0.4553481642125218,0.9895338508883466,1191,1401,3.266404928388648,0.0454818639278073,False,False
9,0.4559725786912322,0.9886550647014302,4057,1025,3.264217463891022,0.0179882877040654,False,False
10,0.4669399290151997,0.9865473694320068,4118,1516,2.174304523141123,0.0369135966990143,False,False
11,0.4780538832226136,0.9825808526579132,468,1485,1.6886491478169336,0.0389473256189376,False,False
12,0.478467020846084,0.9810698712925584,4192,1728,1.4251819827619228,0.0396574106504194,False,False
13,0.4903312352851826,0.977189312843168,3730,1728,1.2502671471129387,0.0396574106504194,False,False
14,0.5079771429837218,0.964090113857946,753,2094,0.2390363676008745,0.0372203586608943,False,False
15,0.5083732163519313,0.9637474882719008,4192,1331,0.2373009367778783,0.0378005921630566,False,False
16,0.5086180159995949,0.9633600509641784,753,2094,0.2390363676008745,0.0367333886215606,False,False
17,0.5180069669680738,0.9611590828821096,419,1363,0.2882417099932208,0.0378756831865757,False,False
18,0.5249930203740187,0.9599142604381838,3979,716,0.2390363676008745,0.0403609539413057,False,False
19,0.5588773228190795,0.9462216726939228,522,433,0.1383092694152146,0.0371316378004848,False,False
