index,predicted_transformed_accuracy,predicted_transformed_runtime,recent_samples_size,batch_size,gamma,alpha,use_mmd2,use_k2s_test
0,0.3118521709198951,0.975832497820084,281,4642,7.26509496342484,0.0488363512791693,False,False
1,0.3189343063197548,0.9751595066108264,1312,4633,7.95573590615578,0.026253721723333,False,False
2,0.3202599439604081,0.9739385673143476,122,4818,7.520227572103963,0.0254715378396213,False,False
3,0.3230629011081793,0.9734439812327816,293,4752,7.929873895205558,0.0283199180848896,False,False
4,0.3242803233058647,0.9732035429009686,444,4543,7.753060820871965,0.0279051262885332,False,False
5,0.3248024854832126,0.9727602667777796,1079,4558,8.08968052222021,0.0251311094034463,False,False
6,0.3303520114216706,0.972557849585613,263,4691,6.184359530219809,0.0292357590515166,False,False
7,0.3310057538780447,0.9712959652453532,3334,4354,5.534034026209824,0.0382702643029381,False,False
8,0.3326232691457147,0.97005768141939,3334,4524,5.093347710061819,0.0299998003989458,False,False
9,0.3463547150447308,0.9646536651505376,661,4554,4.066780161431991,0.0314401709474623,False,False
10,0.3483224771874151,0.9621827140991192,3149,4324,4.056175175140523,0.0367427501418971,False,False
11,0.3725193924296094,0.9435098216997926,3334,4737,3.2188015190742423,0.0367511023257281,False,False
12,0.4246867665573166,0.9012078104405707,2547,3999,2.1518799846498298,0.0388143153861165,False,False
13,0.4631287790225487,0.8171087315491251,4399,4748,1.3850591375892982,0.0382361426483839,False,False
14,0.4928413046361963,0.7964733072631786,708,4874,0.9411397622805088,0.0117799388244748,False,False
15,0.5200825726632613,0.774285352894538,1451,4908,0.311008879491128,0.0030162355862557,False,False
16,0.5415097532756206,0.7549130504002836,817,3674,0.3232144447037715,0.0396110443749753,False,False
17,0.5439305735830502,0.7486843446084076,631,3648,0.0031404918537736,0.0424147183553465,False,False
18,0.5486071352466475,0.7464486502105175,758,3673,0.0046651896954888,0.0411645950165692,False,False
19,0.7812231897400509,0.4156256255041899,4034,41,5.264175959015266,0.0426415360532701,False,True
