index,predicted_transformed_accuracy,predicted_transformed_runtime,recent_samples_size,batch_size,gamma,alpha,use_mmd2,use_k2s_test
0,0.2057058884742708,0.987589224087004,422,4613,7.488935804395006,0.0284167329315096,False,False
1,0.2058649948907302,0.9873231087665972,1870,4608,7.918516658175737,0.0230850078631192,False,False
2,0.2080752797039561,0.9870660085966448,680,4409,7.287158861971461,0.0140978962182998,False,False
3,0.2148220851860558,0.9858765690759528,3426,4117,7.454359524423095,0.0414931256755447,False,False
4,0.3303577945747063,0.9685736580681203,2684,2804,2.059307742992296,0.0337483137746207,False,False
5,0.3514119020957258,0.9598026832882068,3136,2499,1.7058712750272824,0.0338029634207487,False,False
6,0.3628075547818196,0.9493732000149852,4951,2275,1.330215618116781,0.0369423864874988,False,False
7,0.3700385409797178,0.9482476727238786,2987,2937,1.2855296561365002,0.0316568115200268,False,False
8,0.3713669069220544,0.9458255477020264,2684,2804,0.9789949069400572,0.0388919393678423,False,False
9,0.4085125649133003,0.9257020754782777,3078,2908,0.5837974959621206,0.029829596588388,False,False
10,0.4094574283287517,0.9216155413607038,3336,2993,0.6413977060159669,0.0296003301162272,False,False
11,0.4624441108999931,0.8994586314624502,1127,462,0.1358524343986064,0.0375289518851786,False,False
12,0.4699500653213886,0.8920918674512625,739,409,0.2584515257102614,0.0390095748583561,False,False
13,0.4702284270740153,0.8898201040369375,1048,290,0.2590707493172958,0.0402356043457984,False,False
14,0.4768928502053504,0.8835027223446491,1192,260,0.1810740610937518,0.0435337437404626,False,False
15,0.4833475854211149,0.8823765222602519,613,216,0.2595432625238706,0.0384733188081441,False,False
16,0.893107869663015,0.4000449914886945,2303,67,3.094574975334108,0.0142178612295538,True,True
17,0.9088638839374122,0.3716982759228118,1455,84,6.83603250645008,0.0400786462239921,True,True
18,0.9158757055852624,0.357907182240834,609,91,6.544604848450982,0.0378054418135434,True,True
19,0.9207986853832424,0.3463457046277281,170,110,5.858704599252903,0.039102714555338,True,True
