index,predicted_transformed_accuracy,predicted_transformed_runtime,recent_samples_size,batch_size,gamma,alpha,use_mmd2,use_k2s_test
0,0.4256914456444247,0.9826966318110912,1079,4558,8.08968052222021,0.0251311094034463,False,False
1,0.4416952204930138,0.982643402020274,3428,3558,9.651729184234515,0.04284303560853,False,False
2,0.4418791760927975,0.9812328403089796,3355,3754,9.634008151504933,0.0429151174372991,False,False
3,0.4438524303067641,0.9812061383232028,1670,3595,9.812989607881969,0.0439449823991882,False,False
4,0.4451989785526928,0.9798876934084356,3923,3667,9.831494616687088,0.0420592123858489,False,False
5,0.4471060036096794,0.97844487222932,4448,3595,9.31760544060873,0.0384650714886038,False,False
6,0.4486756948833181,0.9766957391719836,4837,3595,9.633980947701293,0.0387416757122953,False,False
7,0.4488832551678907,0.973515010916124,4920,3667,9.51957199789863,0.0446441399399191,False,False
8,0.4546088201086268,0.938608684789126,3234,4163,2.20570986087434,0.0320705168880522,False,False
9,0.4677189440747877,0.9078966527796192,4107,4231,1.4700692854216322,0.0283357922919094,False,False
10,0.4889918308099424,0.8759478615035731,3680,3958,0.1114952809149399,0.0421692268457263,False,False
11,0.4896463527585822,0.875809991342633,3410,3871,0.2878429081486538,0.0448496558703482,False,False
12,0.4927573785791663,0.8721382183564941,700,3953,0.251890234645456,0.0257796289399266,False,False
13,0.5039340773748672,0.8692746680032093,4448,3597,0.3105269534025159,0.0340391712949574,False,False
14,0.5118719833228345,0.8567733761669397,4288,3318,0.0544661193797364,0.0273603862617164,False,False
15,0.5189902871108368,0.8513276848187988,2891,978,0.5506379054868594,0.0345532588195055,False,False
16,0.5249427323264396,0.8480890198831202,3708,1188,0.272643967865035,0.0250570861622691,False,False
17,0.5432950167092968,0.8200483397947519,3533,521,0.0900593662550672,0.0325143992435187,False,False
18,0.5436957750496837,0.8142210161056942,3156,293,0.1585552774025127,0.0430221870541572,False,False
19,0.5461204817928885,0.8038779044235045,2852,128,0.2921261165933683,0.0439398622605949,False,False
