index,predicted_transformed_accuracy,predicted_transformed_runtime,recent_samples_size,max_window_size,min_window_size,min_p_value
0,0.2595881976563215,0.9822118282645144,2231.0,325.0,4985.0,0.5988279020469636
1,0.2610573111975096,0.9804262320613364,2334.0,330.0,4616.0,0.6663947271723301
2,0.2629507191044632,0.976685003418195,2369.0,367.0,4963.0,0.5093581513401472
3,0.2635825014509841,0.9763553226427388,2338.0,358.0,4542.0,0.5640852581387061
4,0.2636417278486873,0.975231316381786,2609.0,401.0,4588.0,0.6175260057366069
5,0.2641304466564635,0.9749193673154692,2338.0,395.0,4542.0,0.5640852581387061
6,0.2689168239820638,0.9710809418509282,462.0,377.0,3906.0,0.0011577835259959
7,0.277313236515494,0.9554688662620898,1090.0,353.0,3731.0,0.0589775554295629
8,0.2812078193141081,0.9505256338368168,994.0,300.0,4561.0,0.9943954192623496
9,0.2872640160881519,0.9419683355791708,894.0,371.0,1443.0,0.4656843374348641
10,0.3010636798720821,0.9288545715982544,1047.0,316.0,1058.0,0.2583112788749859
11,0.3061288878605343,0.9278107214302788,1079.0,318.0,985.0,0.4177160174654788
12,0.333508885012392,0.9027356308497638,968.0,488.0,977.0,0.3782788112781278
13,0.3481981327978126,0.8840713600445376,2366.0,227.0,508.0,0.3782788112781278
14,0.3488461505539489,0.8827073309787945,2567.0,239.0,504.0,0.3816699415605653
15,0.3499452088212044,0.8821663793000135,2366.0,227.0,508.0,0.3816699415605653
16,0.4268925956731205,0.772427342936873,1593.0,465.0,508.0,0.3782788112781278
17,0.4372981226839265,0.7456943944539574,1766.0,443.0,407.0,0.3782788112781278
18,0.4472354130207327,0.7343366696354181,3162.0,281.0,57.0,0.2870366412380394
19,0.4511346968108507,0.723624095022192,3517.0,264.0,50.0,0.2835917335395297
