index,predicted_transformed_accuracy,predicted_transformed_runtime,recent_samples_size,max_window_size,min_window_size,min_p_value
0,0.17762027679559,0.9773718330422018,47.0,102.0,4968.0,0.0962699618590995
1,0.1784571126085887,0.975914582799286,88.0,37.0,4209.0,0.2794468057556077
2,0.1810654694380842,0.9745757790428644,100.0,1125.0,4990.0,0.1284600412566214
3,0.1933115293276678,0.9741728931068346,268.0,170.0,4243.0,0.2375581930400803
4,0.19405103118546,0.9716803155344822,178.0,223.0,4321.0,0.2923901688130572
5,0.1958928921550261,0.9716347822500936,282.0,235.0,4449.0,0.3137720000306144
6,0.2019662951539435,0.968527712568232,292.0,86.0,3689.0,0.9973891268964856
7,0.2123237080250836,0.967418087257895,578.0,191.0,3722.0,0.9694453645404428
8,0.2448532089368373,0.9498119959990494,757.0,508.0,3527.0,0.9975214771153406
9,0.2477943025571429,0.9494046060034892,742.0,402.0,2847.0,0.9795545697659254
10,0.2700363869522189,0.9273421304807522,720.0,512.0,2078.0,0.5493384998654947
11,0.3011870058738821,0.8992951743590152,732.0,20.0,790.0,0.6547600645450875
12,0.3343210892637435,0.8735558137084731,4156.0,253.0,876.0,0.3948776879254728
13,0.34298998728741,0.8733453850932023,1068.0,341.0,928.0,0.6463787391548976
14,0.3824872816050468,0.837699998117123,2432.0,385.0,705.0,0.7921520125446841
15,0.3902740979598743,0.8257487871069626,4224.0,22.0,374.0,0.6513412181474268
16,0.4095387152746444,0.8070743276698166,1114.0,399.0,719.0,0.8045549178365617
17,0.488921091423906,0.772255250909871,4273.0,97.0,161.0,0.9854217835341368
18,0.5550290712232931,0.6850484060377705,4712.0,2291.0,499.0,0.8933406822094694
19,0.6562151073329736,0.60986861586511,4498.0,827.0,15.0,0.5420156203835121
