index,predicted_transformed_accuracy,predicted_transformed_runtime,recent_samples_size,max_window_size,min_window_size,min_p_value
0,0.061507113,0.996647274,455,2528,4997,0.480644293
1,0.07403758,0.996459819,235,2423,4577,0.277353913
2,0.074345551,0.995501385,235,2423,4564,0.277353913
3,0.091315431,0.984148171,788,257,4096,0.939862182
4,0.247280773,0.840018252,3164,261,2807,0.902729216
5,0.255169259,0.835270867,3153,309,2955,0.896470343
6,0.255845496,0.825990254,3297,261,2996,0.923885615
7,0.268653467,0.823584107,3297,261,2996,0.910243224
8,0.063538617,0.996393073,438,2420,4528,0.458344779
9,0.064318225,0.996358428,422,2410,4976,0.573263436
10,0.066963,0.995992962,2305,2283,4825,0.700418902
11,0.06936446,0.995771081,2197,2905,4540,0.608426611
12,0.069879199,0.995624109,2104,2611,4012,0.676016513
13,0.072344655,0.995527208,305,2312,4482,0.0935723
14,0.095416771,0.981331199,634,261,4216,0.912946216
15,0.121936796,0.951385376,3023,16,3035,0.866472596
16,0.245395037,0.825417293,3297,261,2996,0.902729216
17,0.246050902,0.824760041,3164,261,3185,0.902729216
18,0.270218424,0.703153989,4004,68,55,0.282842478
19,0.276793187,0.665293564,4206,201,27,0.296741329
