index,predicted_transformed_accuracy,predicted_transformed_runtime,recent_samples_size,max_window_size,min_window_size,min_p_value
0,0.396545667,0.989266877,337.0,75.0,4510.0,0.503563175
1,0.396807312,0.988436679,15.0,178.0,4535.0,0.233784203
2,0.398782188,0.988252976,337.0,75.0,4084.0,0.503563175
3,0.398895651,0.988001171,373.0,96.0,4577.0,0.500321896
4,0.405811787,0.987920288,337.0,330.0,4510.0,0.530831546
5,0.406121771,0.987613468,337.0,330.0,4510.0,0.503563175
6,0.407873885,0.986683286,710.0,80.0,3986.0,0.718350548
7,0.410651704,0.986185609,503.0,375.0,4688.0,0.877318879
8,0.415186299,0.985554212,429.0,298.0,5000.0,0.234311516
9,0.430772975,0.983326471,1079.0,262.0,3643.0,0.712822076
10,0.432490685,0.981974856,424.0,287.0,3283.0,0.009724391
11,0.485311532,0.914944915,952.0,330.0,1093.0,0.530831546
12,0.529888418,0.850749667,750.0,458.0,606.0,0.998481418
13,0.537481773,0.836335108,1242.0,234.0,481.0,0.503563175
14,0.538735,0.833757534,2815.0,304.0,570.0,0.382361554
15,0.574692822,0.762667556,1021.0,360.0,429.0,0.574364542
16,0.598222492,0.708052451,2678.0,450.0,483.0,0.454425963
17,0.604251728,0.665761959,1832.0,599.0,405.0,0.478807066
18,0.608738549,0.662946459,1795.0,547.0,426.0,0.503563175
19,0.609548328,0.662505592,1795.0,520.0,426.0,0.503563175
