index,predicted_transformed_accuracy,predicted_transformed_runtime,recent_samples_size,max_window_size,min_window_size,min_p_value
0,0.2358389235886937,0.9865058031048805,206.0,251.0,4999.0,0.1495845213767607
1,0.2361109653705236,0.9811809481587388,141.0,204.0,4485.0,0.1786949420074966
2,0.2391027354294506,0.980267596815756,435.0,45.0,4018.0,0.4884867084743455
3,0.2392888962498,0.978399363856563,294.0,227.0,4753.0,0.9859874744480476
4,0.2413581496966748,0.9782456111320152,3332.0,75.0,2508.0,0.7324382282830775
5,0.2463683134315194,0.9726316830252004,858.0,129.0,4208.0,0.4969119064640254
6,0.3659549610439012,0.801572143138373,4283.0,45.0,260.0,0.3111904979331497
7,0.3727197222522144,0.7889617211445513,4218.0,70.0,188.0,0.3811456108046696
8,0.3934002510212306,0.7511104704506147,1051.0,35.0,96.0,0.6629705583457053
9,0.3986003883815145,0.734095842553855,1161.0,230.0,29.0,0.5745300180564562
10,0.229390118233173,0.9841249479892412,206.0,1213.0,4999.0,0.1495845213767607
11,0.2300831456208639,0.9839429266448132,242.0,73.0,4432.0,0.2130734316352754
12,0.2355857330704058,0.9829044668730004,202.0,410.0,4730.0,0.1992697971928864
13,0.2362162628570553,0.9800667975875592,53.0,248.0,4818.0,0.206976734066382
14,0.2362427636763864,0.9792122888719498,546.0,70.0,4938.0,0.4766527020782232
15,0.2390928337110275,0.9790760456880347,297.0,408.0,4925.0,0.5545084584616589
16,0.278993184221978,0.9375520504230698,3100.0,152.0,3058.0,0.9330225994661452
17,0.3106109256326854,0.8518996598795145,3388.0,41.0,264.0,0.501707017374225
18,0.3548385091823252,0.8009766440011561,3637.0,47.0,82.0,0.5368464119201526
19,0.3707362091935587,0.7715173447709445,4111.0,57.0,65.0,0.3715575825400453
