index,predicted_transformed_accuracy,predicted_transformed_runtime,recent_samples_size,max_window_size,min_window_size,min_p_value
0,0.230541523670259,0.9873536984074186,15.0,181.0,4535.0,0.2337842032760381
1,0.2325599636762034,0.9867916287237708,67.0,84.0,4268.0,0.4792285525957122
2,0.245275080147648,0.9866764877634356,89.0,169.0,4362.0,0.4145839849803597
3,0.2481304779814555,0.9857476937757996,288.0,117.0,4593.0,0.4908191630579531
4,0.2498056165563909,0.9855353278320602,360.0,71.0,4685.0,0.496096532892154
5,0.3009598309739894,0.985379437784037,377.0,350.0,4531.0,0.078593601741828
6,0.3030779236573334,0.9828610854980124,502.0,243.0,4961.0,0.1126064004069194
7,0.3265985503569877,0.9817915535908298,926.0,254.0,3944.0,0.5579547435215619
8,0.3266646978054405,0.9808454070823258,497.0,308.0,4413.0,0.0511981846265305
9,0.3297115712634884,0.9800036126001748,497.0,321.0,4047.0,0.0571380578829228
10,0.3800073994352124,0.8858139506501036,900.0,378.0,871.0,0.5819571561334207
11,0.3939817925325301,0.8615374247797005,1265.0,310.0,705.0,0.5245879737817439
12,0.395920670759576,0.8594137709762998,2664.0,310.0,705.0,0.5245879737817439
13,0.4279922559898854,0.8220898715272593,3137.0,253.0,454.0,0.1294486647667363
14,0.4347451974782321,0.8097863189511583,2716.0,244.0,395.0,0.5252788472492248
15,0.4417010780071523,0.7935095740435264,1783.0,310.0,427.0,0.5697022344293775
16,0.4514129958289166,0.7727404230032416,2678.0,389.0,353.0,0.646194071159241
17,0.4710701898405155,0.7515541637723289,2678.0,416.0,353.0,0.5819571561334207
18,0.4790744923240535,0.7218410230570084,2538.0,347.0,278.0,0.5556546944081783
19,0.4911373507100092,0.7182480933868406,2698.0,389.0,282.0,0.5885612126865357
