Status,ACCURACY,RUNTIME,recent_samples_size,max_window_size,min_window_size,min_p_value
Completed,0.91,0,5000,420,4032,0.999
Completed,0.91,0,1,2041,3178,0.999
Completed,0.91,0,1,3398,3026,0.0
Completed,0.91,0,5000,3048,2542,0.999
Completed,0.91,0,1,3252,3342,0.999
Completed,0.91,0,5000,899,2915,0.999
Completed,0.91,0,1,5000,3491,0.999
Completed,0.91,0,5000,298,5000,0.0
Completed,0.91,0,5000,1279,3583,0.999
Completed,0.91,0,1,775,2692,0.999
Completed,0.91,0,5000,298,5000,0.999
Completed,0.91,0,4762,1917,4543,0.37
Completed,0.91,0,578,3243,5000,0.999
Completed,0.91,0,762,2689,5000,0.999
Completed,0.91,0,60,3095,4538,0.931
Completed,0.91,0,485,2947,5000,0.0
Completed,0.91,0,1,2769,5000,0.168
Completed,0.91,0,683,5000,5000,0.999
Completed,0.91,0,4764,1439,1290,0.37
Completed,0.91,0,4427,4014,3598,0.25
Completed,0.91,0,1486,3575,5000,0.999
Completed,0.91,0,1482,4998,1,0.999
Completed,0.91,0,1,1063,5000,0.877
Completed,0.91,0,4765,2803,5000,0.37
Completed,0.91,0,1,5000,1,0.866
Completed,0.91,0,276,3805,5000,0.0
Completed,0.91,0,90,4065,4966,0.879
Completed,0.91,0,4748,1694,1282,0.37
Completed,0.91,0,642,4182,1,0.999
Completed,0.91,0,4769,584,4203,0.372
Completed,0.91,0,4767,2339,4922,0.371
Completed,0.91,0,4780,1135,4519,0.37
Completed,0.91,0,4664,5000,1,0.0
Completed,0.91,0,5000,5000,5000,0.941
Completed,0.91,0,1233,2635,5000,0.999
Completed,0.91,0,4281,72,4531,0.304
Completed,0.91,0,366,5000,1,0.0
Completed,0.91,0,43,2438,336,0.935
Completed,0.91,0,1,2413,5000,0.409
Completed,0.91,0,439,5000,5000,0.999
Completed,0.91,0,311,3944,4555,0.79
Completed,0.91,0,1,3940,187,0.0
Completed,0.91,0,1,5000,1656,0.0
Completed,0.91,0,5000,5000,1643,0.999
Completed,0.91,0,1,3944,1743,0.0
Completed,0.91,0,5000,967,3585,0.0
Completed,0.91,0,2166,1739,3459,0.999
Completed,0.91,0,5000,2424,3504,0.999
Completed,0.91,0,2707,447,3524,0.0
Completed,0.91,0,5000,505,4317,0.0
Completed,0.91,0,5000,1523,3431,0.0
Completed,0.91,0,5000,4433,2117,0.999
Completed,0.91,0,5000,2530,3507,0.0
Completed,0.91,0,5000,705,18,0.999
Completed,0.91,0,5000,33,4093,0.999
Completed,0.91,0,3107,5000,1232,0.999
Completed,0.91,0,5000,2184,1,0.0
Completed,0.91,0,1,3104,1,0.999
Completed,0.91,0,5000,3596,3566,0.999
Completed,0.91,0,1,5000,2268,0.999
Completed,0.91,0,1,523,5000,0.999
Completed,0.91,0,1381,5000,1288,0.0
Completed,0.91,0,1,1521,1952,0.999
Completed,0.91,0,5000,986,5000,0.0
Completed,0.91,0,1,478,3587,0.0
Completed,0.91,0,1,1778,4382,0.0
Completed,0.91,0,4122,294,157,0.028
Completed,0.91,0,2041,4135,3954,0.773
Completed,0.91,0,7,1955,1428,0.264
Completed,0.91,0,3656,3608,2589,0.51
Completed,0.91,0,2809,1744,4729,0.68
Completed,0.91,0,1030,2617,1242,0.435
Completed,0.91,0,1809,983,3691,0.917
Completed,0.91,0,4530,4668,2216,0.171
Completed,0.91,0,4902,2355,3177,0.465
Completed,0.91,0,1280,3207,2172,0.711
Completed,0.91,0,815,383,4616,0.202
