Status,ACCURACY,RUNTIME,recent_samples_size,max_window_size,min_window_size,min_p_value
Completed,0.73,1,2493,682,4900,0.925
Completed,0.73,4,3957,3413,2358,0.441
Completed,0.73,1,3354,324,383,0.911
Completed,0.73,1,2008,3369,4133,0.384
Completed,0.73,1,1490,769,3521,0.315
Completed,0.73,5,2523,3040,2272,0.856
Completed,0.73,1,3765,1502,4379,0.017
Completed,0.73,2,267,4691,628,0.56
Completed,0.73,1,620,295,4819,0.779
Completed,0.73,2,4118,3514,1068,0.298
Completed,0.73,1,2875,1966,3180,0.575
Completed,0.73,4,765,2404,1407,0.739
Completed,0.73,1,4775,2736,4896,0.513
Completed,0.73,1,1114,956,1146,0.033
Completed,0.73,1,1040,2582,2842,0.957
Completed,0.73,1,4851,1110,1592,0.495
Completed,0.73,5,3628,4682,3850,0.63
Completed,0.73,4,4577,3906,2656,0.214
Completed,0.73,1,3546,1786,2165,0.36
Completed,0.73,4,2362,4524,3414,0.842
Completed,0.73,1,1610,2124,3928,0.895
Completed,0.73,2,3106,4068,178,0.432
Completed,0.72,1,4354,142,3076,0.693
Completed,0.73,3,382,3668,1826,0.228
Completed,0.73,1,32,1348,2734,0.446
Completed,0.73,2,4003,4845,1485,0.974
Completed,0.73,1,2756,928,4368,0.151
Completed,0.73,2,1260,2882,617,0.677
Completed,0.73,1,2090,482,2350,0.623
Completed,0.73,1,3274,3210,3600,0.079
Completed,0.73,3,1843,4227,1930,0.096
Completed,0.73,2,185,4219,792,0.096
Completed,0.73,1,2375,691,3269,0.373
Completed,0.73,2,5000,5000,489,0.999
Completed,0.73,2,5000,3616,520,0.561
Completed,0.73,2,5000,5000,1015,0.999
Completed,0.73,3,5000,1580,372,0.655
Completed,0.73,2,4730,4060,783,0.999
Completed,0.73,2,5000,5000,853,0.501
Completed,0.73,1,5000,1786,3756,0.0
Completed,0.73,2,4792,4129,696,0.999
Completed,0.73,1,1,1194,3046,0.1
Completed,0.73,3,5000,2410,748,0.999
Completed,0.73,1,2174,1078,2914,0.999
Completed,0.73,2,4929,3428,982,0.999
Completed,0.73,1,2394,1041,2655,0.999
Completed,0.73,3,4406,1271,454,0.209
Completed,0.73,2,5000,3183,692,0.999
Completed,0.73,1,2879,96,1626,0.127
Completed,0.73,1,1370,433,739,0.999
Completed,0.73,1,5000,598,736,0.999
Completed,0.73,1,5000,352,739,0.999
Completed,0.73,6,5000,1195,717,0.999
Completed,0.73,1,1,304,721,0.999
Completed,0.73,1,1089,916,1345,0.297
Completed,0.73,1,490,879,1365,0.659
Completed,0.74,4,5000,1312,714,0.999
Completed,0.73,1,822,428,883,0.999
Completed,0.73,1,4465,939,1344,0.0
Completed,0.73,1,4660,474,980,0.999
Completed,0.73,1,2039,162,691,0.999
Completed,0.73,1,495,1945,4507,0.999
Completed,0.73,1,2820,1229,1289,0.239
Completed,0.73,1,4913,500,738,0.999
Completed,0.73,4,1630,1222,703,0.999
Completed,0.73,1,5000,712,732,0.999
Completed,0.73,1,292,1899,4315,0.744
Completed,0.73,3,4856,1425,725,0.999
Completed,0.73,1,809,1941,4469,0.333
Completed,0.73,1,5000,433,744,0.999
Completed,0.73,1,2842,835,1459,0.999
Completed,0.73,1,4639,1222,4632,0.383
Completed,0.73,1,3366,783,1428,0.0
Completed,0.73,1,5000,549,736,0.999
Completed,0.73,1,4552,1164,4612,0.994
Completed,0.73,1,3708,2,649,0.999
Completed,0.73,1,1380,960,1325,0.514
Completed,0.73,1,1,358,787,0.999
Completed,0.73,1,2495,289,672,0.999
Completed,0.73,6,5000,1543,1164,0.999
Completed,0.73,4,5000,1795,1009,0.999
Completed,0.73,2,5000,1285,96,0.999
Completed,0.73,1,1,4700,5000,0.0
Completed,0.73,1,5000,1383,1404,0.999
Completed,0.73,1,5000,5000,5000,0.0
Completed,0.73,1,1,871,5000,0.0
Completed,0.73,1,5000,4028,5000,0.0
Completed,0.73,3,1,5000,2447,0.0
Completed,0.73,1,986,4063,5000,0.999
Completed,0.74,15,1786,5000,4696,0.0
Completed,0.73,8,5000,1762,1434,0.999
Completed,0.73,2,5000,1900,506,0.999
Completed,0.73,4,5000,2018,983,0.999
Completed,0.74,36,5000,1900,1812,0.999
Completed,0.73,3,5000,5000,3039,0.0
Completed,0.73,2,1,3804,1,0.0
Completed,0.73,1,5000,4304,5000,0.999
Completed,0.73,2,1,3191,1,0.999
Completed,0.73,8,1,4104,3606,0.0
Completed,0.73,2,444,5000,1,0.0
Completed,0.73,5,1,5000,4015,0.999
Completed,0.73,2,2025,5000,2028,0.0
Completed,0.73,2,981,2192,1,0.999
Completed,0.73,2,5000,1816,1,0.999
Completed,0.73,4,5000,1642,959,0.999
Completed,0.73,1,1,763,4211,0.999
Completed,0.73,9,1,3833,3363,0.999
Completed,0.73,1,5000,1748,2299,0.999
Completed,0.73,1,1,4537,5000,0.999
Completed,0.73,1,1,5000,5000,0.999
Completed,0.73,4,1,5000,3485,0.0
Completed,0.73,2,5000,2009,223,0.0
Completed,0.73,1,1,5000,5000,0.0
Completed,0.73,1,1,1769,2309,0.999
Completed,0.73,1,1,4250,4733,0.0
Completed,0.73,2,5000,1444,1,0.0
Completed,0.73,1,5000,1817,2339,0.0
Completed,0.73,3,5000,1704,672,0.999
Completed,0.73,1,5000,4320,4695,0.0
Completed,0.73,2,5000,2200,370,0.999
Completed,0.73,1,5000,1651,2231,0.999
Completed,0.73,2,5000,2494,1,0.999
Completed,0.73,1,5000,5000,5000,0.999
Completed,0.73,4,5000,4907,3355,0.999
Completed,0.73,3,1619,4748,2777,0.999
Completed,0.73,2,1,1636,1,0.999
Completed,0.73,14,1,4567,4289,0.999
Completed,0.74,13,5000,4715,4267,0.0
Completed,0.73,1,5000,4519,4755,0.0
Completed,0.73,1,5000,2241,5000,0.999
Completed,0.73,1,1,4862,5000,0.0
Completed,0.73,1,1,4484,4613,0.0
Completed,0.73,2,5000,1821,250,0.999
Completed,0.73,1,1,3063,5000,0.999
Completed,0.73,4,1,5000,3621,0.999
Completed,0.73,77,1,4273,4226,0.0
Completed,0.73,2,5000,2653,1,0.0
Completed,0.73,2,5000,5000,1,0.0
Completed,0.73,1,5000,2833,5000,0.0
Completed,0.73,2,412,5000,1,0.999
Completed,0.73,1,5000,1139,5000,0.0
Completed,0.73,2,5000,5000,1,0.999
Completed,0.73,1,5000,5000,5000,0.334
Completed,0.73,2,4719,5000,1,0.228
Completed,0.73,2,5000,5000,1438,0.0
Completed,0.73,1,5000,1728,5000,0.0
Completed,0.73,2,1,5000,1,0.436
Completed,0.73,2,3347,5000,1,0.0
Completed,0.73,2,5000,5000,796,0.0
Completed,0.73,2,5000,3811,1,0.0
Completed,0.73,1,5000,617,5000,0.999
Completed,0.73,1,5000,1330,5000,0.999
Completed,0.73,1,5000,3527,5000,0.0
Completed,0.73,2,1,1831,1,0.0
Completed,0.73,1,5000,2299,5000,0.0
Completed,0.73,1,249,2109,5000,0.0
Completed,0.73,1,5000,3123,5000,0.999
Completed,0.73,1,5000,3185,5000,0.0
Completed,0.73,2,2374,3147,1,0.0
Completed,0.73,37,5000,5000,4889,0.0
Completed,0.73,10,3157,5000,4461,0.0
Completed,0.73,6,5000,5000,3934,0.0
Completed,0.73,5,3191,5000,3872,0.0
Completed,0.73,2,5000,5000,2170,0.0
Completed,0.73,4,5000,5000,3497,0.0
Completed,0.73,34,1,5000,4873,0.0
