Status,ACCURACY,RUNTIME,recent_samples_size,max_window_size,min_window_size,min_p_value
Completed,0.19,23,4851,534,4060,0.856
Completed,0.58,124,1673,4161,1995,0.266
Completed,0.19,24,3512,1390,2355,0.641
Completed,0.19,22,1780,3233,4147,0.999
Completed,0.19,24,3525,3263,4844,0.62
Completed,0.19,22,4314,2473,3799,0.632
Completed,0.19,71,3768,4041,1,0.628
Completed,0.19,22,3425,67,4815,0.638
Completed,0.19,23,5000,3238,4189,0.999
Completed,0.19,23,1,3204,4232,0.999
Completed,0.19,23,3846,3060,3990,0.62
Completed,0.19,21,903,1908,5000,0.294
Completed,0.37,82,1378,5000,1,0.287
Completed,0.66,105,4012,809,1,0.635
Completed,0.54,104,3725,4098,1630,0.628
Completed,0.19,23,3474,2731,4895,0.642
Completed,0.19,25,2513,158,312,0.744
Completed,0.45,411,888,3873,3247,0.133
Completed,0.19,23,1973,1794,2323,0.836
Completed,0.19,23,3930,2922,4359,0.285
Completed,0.19,27,4569,1957,2660,0.47
Completed,0.21,103,1331,3330,662,0.904
Completed,0.19,22,268,1094,4711,0.064
Completed,0.48,115,3135,4877,1738,0.559
Completed,0.19,24,3652,1398,4581,0.977
Completed,0.19,23,548,1418,3570,0.701
Completed,0.26,106,3473,2634,607,0.175
Completed,0.19,25,3345,1114,3388,0.349
Completed,0.63,1072,1455,3851,3663,0.718
Completed,0.19,21,3015,2798,4277,0.868
Completed,0.19,21,950,511,4191,0.663
Completed,0.29,170,4230,4589,2985,0.917
Completed,0.19,22,938,1531,1697,0.008
Completed,0.19,93,1,4575,1534,0.51
Completed,0.19,22,2171,1136,1869,0.0
Completed,0.19,114,1,1709,713,0.542
Completed,0.25,771,1,1731,1606,0.021
Completed,0.19,93,1,1494,308,0.468
Completed,0.19,22,1844,654,4028,0.0
Completed,0.19,21,1281,1070,1869,0.999
Completed,0.19,22,1699,1325,2914,0.0
Completed,0.43,95,2171,1502,288,0.49
Completed,0.68,109,3513,614,1,0.368
