Status,ACCURACY,RUNTIME,recent_samples_size,max_window_size,min_window_size,min_p_value
Completed,0.58,64,716,975,18,0.783
Completed,0.34,13,4128,3765,3965,0.478
Completed,0.3,9,4889,505,2562,0.373
Completed,0.38,26,268,4542,1423,0.927
Completed,0.59,92,5000,2572,1114,0.0
Completed,0.59,74,3537,1851,173,0.999
Completed,0.6,77,3988,2300,381,0.206
Completed,0.32,12,1169,2596,4231,0.526
Completed,0.28,9,1564,248,2323,0.428
Completed,0.58,80,3281,4961,3692,0.873
Completed,0.38,10,3605,1425,1982,0.569
Completed,0.48,38,737,3210,1322,0.164
Completed,0.3,8,1975,114,3946,0.956
Completed,0.33,14,3044,2098,3263,0.387
Completed,0.58,91,2736,2924,2246,0.845
Completed,0.45,26,1064,4434,92,0.6
Completed,0.35,11,3997,1019,4910,0.029
Completed,0.45,35,2113,3013,2128,0.816
Completed,0.3,8,156,361,3801,0.228
Completed,0.46,47,4688,4437,185,0.532
Completed,0.37,14,4240,1138,1277,0.676
Completed,0.56,65,916,3968,2710,0.122
Completed,0.61,131,1353,1315,719,0.952
Completed,0.49,34,3122,4122,1054,0.419
Completed,0.31,11,923,2386,4378,0.763
Completed,0.56,56,4178,3375,622,0.363
Completed,0.62,322,4943,1811,1444,0.493
Completed,0.31,8,153,2704,3557,0.875
Completed,0.58,99,3705,4945,3756,0.63
Completed,0.59,70,3221,1989,719,0.983
Completed,0.3,10,598,362,1613,0.728
Completed,0.61,407,1553,3627,3411,0.14
Completed,0.33,11,1126,2904,2998,0.26
Completed,0.61,179,4442,1765,1179,0.149
Completed,0.6,95,4406,2150,526,0.999
Completed,0.59,104,1480,4578,3618,0.036
Completed,0.3,9,1023,329,3100,0.868
Completed,0.32,10,1278,778,3653,0.849
Completed,0.59,83,1194,2210,1022,0.874
Completed,0.48,34,1500,4776,458,0.068
Completed,0.59,104,3638,4617,3519,0.669
Completed,0.61,167,4647,1539,879,0.151
Completed,0.61,417,1478,4168,3927,0.015
Completed,0.35,11,916,931,4767,0.917
Completed,0.36,11,1213,2103,4197,0.238
Completed,0.59,77,1229,2873,1629,0.18
Completed,0.6,1473,1370,2208,2177,0.972
Completed,0.49,40,3822,4722,399,0.653
Completed,0.3,12,1370,3479,3488,0.999
Completed,0.47,36,1505,4603,136,0.076
Completed,0.36,11,1209,1916,4863,0.851
Completed,0.31,8,2120,4437,4491,0.0
Completed,0.35,10,1452,953,2541,0.999
Completed,0.28,9,4896,382,1766,0.097
Completed,0.56,62,1559,3164,845,0.005
Completed,0.62,430,1319,536,384,0.823
Completed,0.58,80,1289,3189,1990,0.248
Completed,0.61,106,1464,879,1,0.504
Completed,0.6,127,1311,616,1,0.316
Completed,0.56,105,232,4964,4579,0.454
Completed,0.6,100,4914,1484,1,0.591
Completed,0.6,117,1544,828,1,0.709
Completed,0.57,85,4202,5000,3203,0.669
Completed,0.52,55,1296,4428,2302,0.502
Completed,0.32,7,1,4234,5000,0.585
Completed,0.6,1343,5000,5000,4943,0.664
Completed,0.6,111,1420,1080,276,0.0
Completed,0.6,131,4185,5000,3808,0.999
Completed,0.58,85,5000,3676,1933,0.635
Completed,0.54,63,678,4990,3853,0.475
Completed,0.61,116,1753,1212,122,0.393
Completed,0.52,49,1002,3578,1552,0.506
Completed,0.32,9,1,4984,4990,0.0
Completed,0.32,15,1,5000,1,0.467
Completed,0.6,1060,1526,75,1,0.501
Completed,0.51,47,1265,4210,1541,0.641
Completed,0.37,19,5000,2595,5000,0.96
Completed,0.57,69,5000,4584,2478,0.343
Completed,0.32,13,1,5000,1,0.0
Completed,0.3,11,4494,5000,5000,0.999
Completed,0.32,7,1,2252,5000,0.585
Completed,0.37,22,2017,845,1,0.593
Completed,0.61,91,1588,1302,262,0.655
Completed,0.6,330,5000,2988,2647,0.227
Completed,0.59,88,4506,2778,1005,0.225
Completed,0.6,73,1711,1925,424,0.065
Completed,0.61,384,495,4822,4699,0.795
Completed,0.61,120,1672,1632,779,0.599
Completed,0.57,74,1790,2470,317,0.0
Completed,0.59,87,4557,2721,1069,0.598
Completed,0.59,100,3768,5000,3721,0.359
Completed,0.61,277,5000,2788,2362,0.359
Completed,0.54,77,396,5000,4286,0.708
Completed,0.58,83,1237,2823,1798,0.608
Completed,0.6,107,4625,2203,1110,0.478
Completed,0.58,65,4305,3263,910,0.32
Completed,0.6,119,4766,2844,1718,0.398
Completed,0.59,79,4528,3072,1311,0.74
Completed,0.6,82,4711,2356,609,0.692
Completed,0.59,99,1149,3115,2134,0.611
Completed,0.58,74,1739,2331,335,0.595
Completed,0.6,94,1700,1941,815,0.281
Completed,0.6,85,4420,2583,1038,0.395
Completed,0.61,150,1730,1618,912,0.0
Completed,0.6,89,1624,1970,691,0.501
Completed,0.59,76,1713,2416,844,0.605
Completed,0.61,235,543,4576,4359,0.671
Completed,0.54,46,913,1590,1,0.722
Completed,0.58,63,4547,3085,862,0.137
Completed,0.3,12,582,4517,4832,0.883
Completed,0.35,13,1917,2642,3154,0.073
Completed,0.58,95,3715,5000,3779,0.177
Completed,0.3,10,1191,3384,3554,0.0
Completed,0.55,61,1084,2381,639,0.355
Completed,0.61,91,1031,712,1,0.97
Completed,0.62,164,858,330,1,0.999
Completed,0.6,114,4201,1266,153,0.0
Completed,0.55,61,1219,4887,3215,0.0
Completed,0.31,10,726,4205,4635,0.0
Completed,0.57,57,1168,1970,337,0.844
Completed,0.32,12,1253,3202,3835,0.0
Completed,0.39,32,2059,4483,3225,0.0
Completed,0.57,69,3736,3249,1119,0.275
Completed,0.58,78,1722,4783,2988,0.0
Completed,0.32,9,987,3674,3779,0.0
Completed,0.6,90,5000,2100,547,0.0
Completed,0.6,171,1152,3458,3044,0.0
Completed,0.58,94,4461,4505,2642,0.999
Completed,0.57,58,3424,3086,1106,0.0
Completed,0.3,10,1104,3438,4036,0.0
Completed,0.58,61,4475,4072,1670,0.856
Completed,0.45,32,2226,2303,969,0.999
Completed,0.6,79,4013,1752,1,0.994
Completed,0.55,61,4259,4420,1899,0.216
Completed,0.56,54,3899,2901,174,0.69
Completed,0.52,58,2261,4167,3339,0.0
Completed,0.57,76,1086,4627,3294,0.0
Completed,0.58,86,1853,4386,2731,0.0
Completed,0.54,56,1209,2248,216,0.0
Completed,0.53,58,3982,5000,1926,0.999
Completed,0.52,54,4241,5000,1762,0.0
Completed,0.6,169,898,4220,3822,0.0
Completed,0.54,54,3866,3910,784,0.0
Completed,0.56,75,4307,3538,572,0.0
Completed,0.46,52,3652,3850,1,0.999
Completed,0.59,105,5000,4147,2876,0.999
Completed,0.52,57,4146,4405,929,0.0
Completed,0.51,53,4402,4614,1144,0.999
Completed,0.39,14,5000,1888,3478,0.771
Completed,0.58,84,1431,4130,2604,0.0
Completed,0.38,12,1376,1580,2384,0.0
Completed,0.6,132,1269,2638,1854,0.0
Completed,0.51,38,1436,3456,1,0.999
Completed,0.39,10,5000,1598,2753,0.999
Completed,0.56,58,4335,3707,874,0.999
Completed,0.28,11,5000,395,5000,0.0
Completed,0.45,31,3285,3975,208,0.0
Completed,0.56,54,4057,2701,22,0.0
Completed,0.3,9,4821,125,4771,0.0
Completed,0.54,51,5000,4682,1606,0.999
Completed,0.3,14,5000,4380,5000,0.0
Completed,0.51,53,3818,4257,688,0.0
Completed,0.56,67,4141,3807,1201,0.999
Completed,0.56,62,1341,3801,2113,0.0
Completed,0.54,55,1311,3863,1644,0.0
Completed,0.49,44,4201,4173,1,0.999
Completed,0.58,85,5000,4025,2362,0.999
Completed,0.39,12,5000,1416,3279,0.999
