Status,ACCURACY,RUNTIME,recent_samples_size,max_window_size,min_window_size,min_p_value
Completed,0.65,2,2403,3789,4039,0.69
Completed,0.72,12,2783,2204,1320,0.074
Completed,0.67,2,37,3723,4030,0.854
Completed,0.68,2,2069,877,1035,0.345
Completed,0.73,26,4498,4427,3617,0.569
Completed,0.7,3,1959,1333,1438,0.266
Completed,0.72,2,369,3013,4121,0.911
Completed,0.71,2,3237,734,952,0.186
Completed,0.73,90,3720,4265,4060,0.374
Completed,0.68,8,179,1992,891,0.598
Completed,0.75,135,2491,3671,3574,0.204
Completed,0.71,2,3925,85,1655,0.947
Completed,0.71,8,4572,2615,3,0.855
Completed,0.65,2,1824,1139,4421,0.111
Completed,0.7,10,2643,3207,1956,0.031
Completed,0.73,2,3813,3489,4616,0.382
Completed,0.7,2,628,1613,3787,0.134
Completed,0.68,2,943,538,2624,0.755
Completed,0.72,7,1380,3858,571,0.422
Completed,0.72,2,4723,2387,4990,0.665
Completed,0.73,13,4125,4914,3357,0.51
Completed,0.71,2,2273,258,276,0.653
Completed,0.69,9,55,4126,2920,0.039
Completed,0.73,2,3548,2122,2328,0.798
Completed,0.74,70,3407,2878,2663,0.737
Completed,0.7,2,489,879,2073,0.478
Completed,0.75,382,2180,4746,4717,0.839
Completed,0.73,14,4238,1511,376,0.069
Completed,0.73,11,4885,4003,1398,0.225
Completed,0.71,8,859,4459,2368,0.691
Completed,0.68,2,3059,1795,3037,0.466
Completed,0.73,41,4277,2703,2284,0.898
Completed,0.71,2,4220,1773,2059,0.795
Completed,0.73,2,2595,3127,3609,0.701
Completed,0.72,2,2233,4111,4785,0.0
Completed,0.69,25,2109,5000,4517,0.0
Completed,0.72,2,3480,2024,2701,0.964
Completed,0.71,19,4248,2254,1420,0.138
Completed,0.72,17,3451,3226,2317,0.464
Completed,0.7,2,2413,3098,3377,0.0
Completed,0.66,2,4269,1434,1876,0.369
Completed,0.72,80,4084,2179,1975,0.828
Completed,0.72,2,3601,3585,4273,0.8
Completed,0.57,2,2511,2804,3488,0.0
Completed,0.71,13,4145,2736,1443,0.0
Completed,0.72,2,4361,1832,2337,0.936
Completed,0.74,51,2596,3472,3257,0.0
Completed,0.53,2,4164,2469,2843,0.999
Completed,0.7,2,4308,1304,1477,0.783
Completed,0.7,2,4199,1059,1244,0.425
Completed,0.71,2,2264,3854,4779,0.999
Completed,0.73,44,4379,1588,1256,0.0
Completed,0.73,2,1950,3337,3874,0.812
Completed,0.71,2,4457,1710,2505,0.743
Completed,0.72,2,2537,2649,3472,0.999
Completed,0.69,12,3414,3998,2479,0.999
Completed,0.66,2,2357,4515,4860,0.0
Completed,0.72,2,4180,1897,2613,0.999
Completed,0.7,13,4960,4302,2921,0.493
Completed,0.72,17,4390,3106,1929,0.473
Completed,0.71,13,4487,3921,2396,0.437
Completed,0.72,2,5000,3808,4276,0.573
Completed,0.68,8,4839,4919,2030,0.619
Completed,0.66,7,5000,3063,1,0.465
Completed,0.72,7,1,5000,2827,0.638
Completed,0.69,6,999,5000,1142,0.558
Completed,0.67,6,1,4051,2035,0.732
Completed,0.7,6,5000,4404,230,0.597
Completed,0.72,7,4375,4722,1268,0.501
Completed,0.71,8,5000,4300,985,0.419
Completed,0.7,8,5000,3391,937,0.452
Completed,0.71,2,1,3936,4329,0.678
Completed,0.72,11,5000,3835,2108,0.546
Completed,0.57,2,5000,3002,3851,0.411
Completed,0.69,13,890,3990,2786,0.559
Completed,0.71,8,5000,2518,1,0.298
Completed,0.7,7,5000,3448,198,0.617
Completed,0.69,7,5000,3697,89,0.339
Completed,0.67,5,202,2071,1,0.975
Completed,0.67,8,4983,4186,1828,0.571
Completed,0.71,8,5000,3996,1014,0.6
Completed,0.69,10,3372,3523,1867,0.594
Completed,0.68,11,5000,3085,1071,0.591
Completed,0.71,11,5000,2314,562,0.433
Completed,0.69,7,5000,4889,407,0.551
Completed,0.69,13,388,5000,3785,0.493
Completed,0.73,22,5000,5000,3985,0.382
Completed,0.67,10,1,5000,3670,0.999
Completed,0.69,8,2159,5000,3143,0.999
Completed,0.72,2,1,5000,5000,0.999
Completed,0.71,4,1,5000,1,0.0
Completed,0.73,2,5000,5000,5000,0.0
Completed,0.72,2,2392,5000,5000,0.454
Completed,0.72,2,1,5000,5000,0.146
Completed,0.7,6,2403,5000,1814,0.999
Completed,0.67,4,1,3340,1,0.0
Completed,0.71,6,4553,3960,1,0.0
Completed,0.67,10,2169,5000,3348,0.817
Completed,0.7,4,2339,5000,1,0.0
Completed,0.68,2,1,3763,5000,0.999
Completed,0.71,2,1,2559,2683,0.999
Completed,0.72,2,1,5000,5000,0.534
Completed,0.73,15,2981,529,1,0.0
Completed,0.71,8,3927,5000,2127,0.999
Completed,0.69,8,2286,5000,2975,0.36
Completed,0.7,2,4454,3328,3769,0.0
Completed,0.71,11,5000,4343,2619,0.104
Completed,0.72,2,4427,3523,4354,0.64
Completed,0.69,7,4615,5000,1043,0.999
Completed,0.7,6,4237,4961,86,0.381
Completed,0.71,2,4101,43,120,0.999
Completed,0.64,9,2697,5000,3066,0.109
Completed,0.72,6,390,5000,2327,0.837
Completed,0.69,6,5000,5000,1,0.164
Completed,0.73,28,4871,464,1,0.524
Completed,0.68,4,1,5000,1163,0.999
Completed,0.72,32,820,5000,4531,0.512
Completed,0.73,2,5000,5000,5000,0.288
Completed,0.7,7,5000,5000,972,0.0
Completed,0.69,6,5000,5000,32,0.994
Completed,0.71,7,5000,4164,266,0.999
Completed,0.7,2,5000,977,2004,0.909
Completed,0.67,7,5000,5000,1933,0.839
Completed,0.71,5,1,5000,1446,0.868
Completed,0.72,42,4721,5000,4497,0.212
Completed,0.73,16,5000,5000,3705,0.0
Completed,0.7,2,1127,958,1976,0.892
Completed,0.71,2,4454,289,825,0.0
Completed,0.71,2,1,2518,3844,0.999
Completed,0.71,7,5000,4157,9,0.784
Completed,0.73,2,5000,4435,4973,0.0
Completed,0.73,2,5000,4423,5000,0.999
Completed,0.71,14,5000,170,1,0.999
Completed,0.69,5,1,745,1,0.0
Completed,0.71,2,5000,124,566,0.999
Completed,0.71,2,1,4415,4903,0.0
Completed,0.73,12,5000,1292,1,0.0
Completed,0.67,5,1,732,1,0.999
Completed,0.71,10,5000,1843,1,0.999
Completed,0.72,2,5000,4429,4661,0.0
Completed,0.71,2,1,111,454,0.0
Completed,0.72,5,1,1095,1,0.0
Completed,0.71,9,5000,2232,1,0.0
Completed,0.72,16,5000,940,1,0.999
Completed,0.72,2,726,418,621,0.999
Completed,0.73,24,5000,843,273,0.0
Completed,0.56,2,5000,2573,2999,0.999
Completed,0.73,33,5000,670,331,0.999
Completed,0.72,2,5000,4396,4704,0.999
Completed,0.71,12,5000,1327,1,0.999
Completed,0.68,4,1,1732,1,0.999
Completed,0.64,6,1,1688,438,0.999
Completed,0.7,4,1,1401,1,0.0
Completed,0.72,7,1,1240,568,0.0
Completed,0.72,17,5000,2406,1456,0.0
Completed,0.71,2,1,4281,4938,0.999
Completed,0.68,8,1,894,453,0.999
Completed,0.71,2,1,478,615,0.0
Completed,0.71,2,2439,3535,3556,0.43
Completed,0.72,18,2523,3640,3004,0.47
Completed,0.72,2,1816,4035,4488,0.522
Completed,0.73,21,3789,2820,2099,0.999
Completed,0.69,15,2486,3691,2908,0.999
Completed,0.72,2,2488,3470,4518,0.754
Completed,0.71,12,5000,4932,3143,0.681
Completed,0.72,2,2905,3535,3853,0.111
Completed,0.73,20,5000,4850,3667,0.429
Completed,0.58,2,1578,3491,3636,0.999
Completed,0.71,31,2361,3605,3107,0.115
Completed,0.73,2,3497,3302,3659,0.999
Completed,0.71,7,2324,4874,2591,0.798
Completed,0.72,2,2364,4067,4547,0.835
Completed,0.71,2,2342,3515,4900,0.964
Completed,0.71,15,2997,3734,2832,0.573
Completed,0.72,2,1582,4057,4784,0.999
Completed,0.73,32,2694,3588,3149,0.529
Completed,0.72,2,2883,3476,3726,0.551
Completed,0.72,2,1023,4011,4477,0.11
Completed,0.72,42,1825,3585,3160,0.524
Completed,0.57,3,1269,3180,3817,0.999
Completed,0.72,24,1490,3631,2926,0.999
Completed,0.7,2,3949,4002,4514,0.064
Completed,0.71,21,4191,4774,3798,0.753
Completed,0.72,2,627,3475,3778,0.585
Completed,0.74,107,1553,3558,3356,0.999
Completed,0.73,30,3712,3685,2988,0.929
Completed,0.67,10,2138,3686,2628,0.838
Completed,0.72,2,1456,3530,3774,0.206
Completed,0.71,2,1,3320,5000,0.0
Completed,0.72,4,1,4222,1,0.999
Completed,0.73,2,5000,5000,5000,0.999
Completed,0.65,4,1,4169,1,0.0
Completed,0.71,2,1,3833,5000,0.0
Completed,0.58,4,1,3139,1,0.999
