Status,ACCURACY,RUNTIME,recent_samples_size,max_window_size,min_window_size,min_p_value
Completed,0.62,216,4349,4045,2537,0.783
Completed,0.74,6150,2270,1842,1814,0.013
Completed,0.58,32,786,2597,4541,0.732
Completed,0.58,33,2554,424,1045,0.438
Completed,0.58,34,2705,2663,3193,0.974
Completed,0.58,38,644,490,2470,0.195
Completed,0.58,31,2440,3823,3962,0.542
Completed,0.61,144,4188,1620,466,0.255
Completed,0.6,147,4438,4960,1690,0.429
Completed,0.58,41,1439,2124,2725,0.649
Completed,0.61,129,425,3556,1234,0.119
Completed,0.58,35,3735,768,4418,0.832
Completed,0.6,111,3342,4354,672,0.703
Completed,0.58,31,32,1558,4988,0.498
Completed,0.6,178,1827,2911,1485,0.778
Completed,0.58,48,4825,85,2950,0.05
Completed,0.58,36,3795,3348,4213,0.126
Completed,0.59,137,2046,1134,209,0.921
Completed,0.63,458,1033,4390,3712,0.324
Completed,0.67,649,3093,2225,1935,0.596
Completed,0.61,113,3037,3184,512,0.824
Completed,0.58,32,976,1009,3891,0.096
Completed,0.58,169,2147,4553,2258,0.626
Completed,0.58,38,3895,2349,3410,0.421
Completed,0.58,34,4730,4205,4683,0.278
Completed,0.66,328,1732,1370,992,0.55
Completed,0.61,424,92,3060,2626,0.203
Completed,0.58,30,3404,273,1786,0.998
Completed,0.61,192,3635,4772,3030,0.619
Completed,0.62,280,324,1975,1370,0.332
Completed,0.58,33,1496,3744,4742,0.929
Completed,0.58,32,4493,917,933,0.149
Completed,0.65,474,4127,2539,2167,0.042
Completed,0.58,34,2380,326,3515,0.755
Completed,0.59,101,739,3947,143,0.474
Completed,0.58,32,2801,1783,4264,0.695
Completed,0.6,129,2649,3881,1490,0.233
Completed,0.58,33,882,1718,2838,0.937
Completed,0.61,137,2208,2761,740,0.284
Completed,0.58,32,4288,548,4862,0.512
Completed,0.58,32,4665,3498,3627,0.686
Completed,0.58,46,1334,671,1967,0.392
Completed,0.62,388,477,4862,4065,0.861
Completed,0.61,118,3493,2065,256,0.09
Completed,0.58,33,3261,2814,4012,0.461
Completed,0.58,33,244,27,321,0.74
Completed,0.61,334,1571,4295,3219,0.021
Completed,0.58,34,4901,1460,2379,0.807
Completed,0.59,135,4057,4488,1106,0.883
