index,predicted_transformed_accuracy,predicted_transformed_runtime,recent_samples_size,n_reference_samples,n_recent_samples,threshold,stability_offset
0,0.529789439,0.93785761,4944,1612,4834,0.704593709,0.8
1,0.530075634,0.937678971,4846,1534,4651,0.702522739,0.8
2,0.532282011,0.937649198,4938,1447,4926,0.785286278,0.8
3,0.536795653,0.937373498,282,1485,4484,0.812825521,0.8
4,0.537374356,0.936875751,211,1485,4484,0.836872942,0.8
5,0.537469672,0.936786432,560,1497,4793,0.852232854,0.8
6,0.539179912,0.936697112,282,1628,4753,0.856880675,0.8
7,0.53981073,0.936518474,560,1497,4793,0.852232854,0.9
8,0.540447861,0.935784843,4956,1628,4829,0.807287586,0.9
9,0.544833383,0.934710311,4692,1628,4829,0.807287586,0.9
10,0.671118786,0.440830717,4934,155,504,0.98309191,0.0
11,0.671878095,0.432071493,4741,32,648,0.882482409,0.9
12,0.681859031,0.429994073,4949,105,558,0.862288732,0.9
13,0.682720341,0.420941066,4858,295,447,0.826188645,0.9
14,0.69779288,0.414955407,4497,210,491,0.881838698,0.9
15,0.700387824,0.402617163,4955,373,304,0.828014059,0.9
16,0.721403001,0.37201922,4943,205,362,0.877125534,0.9
17,0.743842593,0.34076999,4969,215,195,0.861994381,0.9
18,0.749255051,0.308792868,4956,122,201,0.807287586,0.9
19,0.752003367,0.29643308,5000,124,240,0.9088238,0.9
